"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz"	"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz"	"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz"
"1CMET2-PWY"	11846.7560097233	5590.1709190842	10434.2092631666	8458.96766672149	8481.21055848375	11821.7996884027	7592.95830193637	5752.77472136495	11126.2093439131	5839.06751039242	3978.5741005319	5732.28970685537	6060.71215958581	7473.9602147022	5872.90985254444	7227.32553260718	7775.40918164807	9025.88263429033	7660.06470880838	7300.85546267785	6526.80576679565	16093.4355627049	4440.00287212169	4998.53057727682	6501.75401334785	6615.75747561657	9724.49762719209	11918.4386823345	12444.0737697406	6437.41800830422	5538.01117344303	7080.70084556485	6936.29212320884
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"	0	0	1.96855477565425	0	0	0	0	0	0	0	0	0	0	3.26593706524108	0	0	0	0	0	0	0	0	0	0	1.55036760629905	0	0	0	26.4369710627022	0	0	0	0
"AEROBACTINSYN-PWY"	0	0	0.86	0	0	0	0	0	0	0	0	0	0	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.71	0	0	0	0
"ALL-CHORISMATE-PWY"	0	0	6.36909668138818	0	0	0	0	0	0	0	0	0	0	12.0818283549324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.137049694662	0	0	0	0
"ANAEROFRUCAT-PWY"	14524.0582076844	6486.75756830649	13225.7567926738	10863.3755633433	10907.1017139107	15781.4693150006	9377.39666947864	7234.6736008915	11495.2901428036	7554.25178065185	5288.03110263628	7437.14881176517	7601.95641373097	8891.77330274602	7413.06843219382	9885.81588818287	9627.17845499447	11501.7361149992	9822.91899678163	9997.47832235957	8698.72761664837	19851.0025794872	5630.90650379578	6576.73602639412	8729.90901265371	7811.75630235405	12475.7029210158	14023.9925633155	13863.4864372962	8069.74053783949	7033.41858906761	8864.71202628948	8538.0026686199
"ANAGLYCOLYSIS-PWY"	15520.6754914795	8139.80273640232	14282.4095302074	12248.4513016158	12639.6479537674	18226.6738432925	10262.2297325873	8444.42358488983	14294.8491661368	8053.50475860744	6615.77179720286	8309.16625815681	8560.49938300226	10200.4088574135	8336.47532212359	10757.3424020838	10576.6054299314	12472.4292733731	10586.0414274266	11350.5859587736	9283.84278227003	21457.2588064265	6443.38149553447	7077.16773186325	8920.34266279173	8818.15928106995	14365.1022650522	15359.9162101994	17448.8048228621	9141.46089253137	7672.49059305347	9611.49465965769	9231.41043128972
"ARG+POLYAMINE-SYN"	405.356377925622	246.886320355594	1300.36451394827	831.325782714422	653.487230418046	1467.50147497508	614.865774253238	472.000104084374	553.670757715096	703.433966222479	373.065150996156	730.485413663381	1067.84100011448	304.104204825253	505.302449430657	726.345999654988	782.900409957466	1085.18605617295	900.012387832222	851.555287669236	966.949730953568	2436.10540506544	303.290207346338	404.847024134195	723.569823059421	704.780501270235	868.422585086823	1727.545053618	1336.40062627218	1199.94936985962	633.587304495322	811.925535887596	655.014768934745
"ARGDEG-PWY"	0	0	2.38136854766549	0	0	0	0	0	0	0	0	0	0	4.06001278714778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.6970025000172	0	0	0	0
"ARGORNPROST-PWY"	724.082128267478	188.615548891052	1349.70762897863	404.525420370263	501.254488716644	756.210374603267	390.57655219339	240.340007611353	490.594353003787	366.229881890018	296.317599280336	321.246732559139	410.235311489271	140.146393623788	179.206289485467	436.446043215406	663.902762862364	668.773535667707	589.524180812628	276.048054416587	833.36533953608	1819.45700377094	197.719061694296	320.700258054467	240.166380010871	259.905163043666	636.182639302082	1262.42472708652	380.528745925729	534.331796459528	630.73985235739	507.168997444761	485.940438514721
"ARGSYN-PWY"	7286.72475209922	2603.52278560053	8176.15890275127	5317.85848593059	5240.77410065385	8231.07765158101	3773.52905776554	3600.75781432749	10692.0022145951	4199.98423038875	2082.98386631942	3265.11214774111	4197.18290132157	4775.21840150686	4033.46097006517	4680.11177253042	6464.28944282084	6988.4524102405	5863.63822092556	4931.60503500947	4500.0097870391	12693.665077728	2365.87331527336	3876.70983562032	5721.16648685204	4583.36324120239	7697.68552967324	9372.92495696485	9827.59568627785	4287.52665781584	4264.06405867967	5210.62512591727	5226.28357148525
"ARGSYNBSUB-PWY"	7094.66301146113	2276.64135249236	7843.89876725365	5039.8208862335	4637.58417318351	7783.27174653684	3324.99024430883	3207.92214196879	10830.7329571927	4022.50799463236	1797.34768631219	3035.18174683573	4044.55187985093	4604.57970601392	3859.3197577316	4119.04270590225	6358.50636236934	6740.86563878754	5498.08957016137	4514.02953365245	4095.13339773818	12276.9890649294	2034.64982835052	3813.74983565599	5962.67240413365	4263.91032259245	7444.47571852579	9024.75057808598	8844.50571985399	4051.86225819049	4063.46515131697	5012.6941653413	5008.18874806932
"ARO-PWY"	10301.623080878	2614.60211079591	9152.26139804865	5862.47808878272	5725.75701936451	7927.15586844254	4895.89170439846	3719.17370945815	11489.2473901311	4865.19461537598	2189.93934928926	3842.65762663185	4671.45909106109	5038.25473397468	4120.631601364	5701.3685120015	6948.81533064383	8583.86723684805	6555.66497676004	5079.98498470461	5275.00975212508	14160.1310261598	2762.6710102347	4593.63611125285	6330.63590814221	5359.27863057672	7074.37150010279	10227.2040887115	10419.393742126	4570.30704002142	4328.74189666896	5786.06746869643	5931.64768727486
"ASPASN-PWY"	13324.3402533776	4868.02311219389	11289.3999696129	9171.21800943686	8696.57599747089	11692.1379091516	8502.38770382753	6221.34759207464	11171.9380006502	6683.74141757253	4296.52945074411	6205.56759476589	6076.65174151817	6790.46715443886	5752.47940003127	8283.40877833023	8316.67084806908	9984.52440136084	8733.24905405756	8077.51349146659	7613.15807932361	17329.109370656	4768.83659993713	5320.36456293617	6933.09866550979	7606.69481985567	9649.04941305936	12880.5463870018	13464.3185467789	6558.19599905876	5955.79196825329	7555.00968091177	7401.29299969349
"AST-PWY"	4.44444444444444	0	0.86	0	0	0	0	0	0	0	0	0	0	2.34812680115274	0	0	0	0	0	0	0	0	0	0	1.11111111111111	0	0	0	19.71	0	0	0	0
"BIOTIN-BIOSYNTHESIS-PWY"	41.7154285488903	0	313.924999385062	0	419.26391381878	188.030056942539	145.074443375365	180.920931464755	151.188446499798	0	117.523791317903	24.3496182579035	179.075801769683	232.826009348651	176.89102464672	195.07875147963	51.8993472576324	504.99074776097	192.684288392546	294.883627506324	162.244940230746	326.754157924257	41.4741507270852	301.233080752311	226.452217151775	696.069534183644	76.8890614854468	568.122948938569	4832.85174403257	365.300089268595	190.506803425825	173.726219499084	187.075512239939
"BRANCHED-CHAIN-AA-SYN-PWY"	12187.03141393	3786.61599284241	10636.8616141102	7920.24155332165	6357.9056790708	10236.3889619759	6782.9311221646	5276.86956736774	12369.5390583859	5709.58752560622	3238.64358556255	4953.09639182702	5211.49428098096	5597.42826414356	5241.57960987569	5800.22322538764	8099.57110814853	8797.56064651662	7736.86189615049	6711.10621542009	5831.93380416794	17637.1715936685	3621.35016223312	4751.06829341705	7782.00036120321	6511.64718772638	9339.3547563001	12735.5830219885	14731.7028391628	5533.74347321157	5879.38494168394	6756.34116094022	7006.01126753687
"CALVIN-PWY"	16231.3045140651	6172.00812536427	13739.3316982949	10712.3677555284	10362.8040940056	14932.9319157147	9234.06986510463	6773.11042448598	15279.7838981301	7600.81192207129	4688.61023504079	7188.459462517	7659.17519411897	9019.299661507	7528.23216199285	9578.38444757028	10443.4194775523	12803.2966531099	10088.6790967662	9447.39230605773	8790.88575483755	20932.5264635639	5332.72893601213	7253.8643607741	9152.05359943912	7684.87953579448	12329.4329192484	15022.340004018	15748.9023375038	8079.68937480005	7108.29734690885	9180.8105803224	9094.79166536561
"CATECHOL-ORTHO-CLEAVAGE-PWY"	4	0	15.5	0	0	64.25	0	0	0	0	1.25	0	0	0.67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"CENTFERM-PWY"	35.6574288193404	0	719.335919406474	0	20.761940601736	1319.92815374287	0	30.5132170573151	0	0	6.93221183991752	0	0	15.5945990600722	0	0	0	0	0	0	17.3172809337007	24.3867388889727	0	0	6.96696532306413	0	0	0	104.040918412582	0	0	17.386750005433	0
"CHLOROPHYLL-SYN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COA-PWY"	13233.9127817203	6679.45772912481	11499.8748533793	10416.0586098626	10608.6883099995	15039.7683713146	8543.18391315513	7104.9420138594	11722.5904501269	6483.90511236498	5606.51174158176	6977.31635183114	6961.69855599849	8364.93045450676	6582.96342241699	9099.29925812478	8363.36461665737	9893.44361088554	8923.19314198415	9473.32269015939	7532.22655111404	16519.1275248174	5319.25695233157	5516.25454538154	7205.80223475784	7313.98764241806	11917.023850128	12416.2446303014	12258.0340347013	7227.20957672187	6175.31440140298	7653.41385234072	7327.1687476016
"COBALSYN-PWY"	7256.44451987735	993.912202017486	4288.53100462916	3188.03510143235	2077.36389009689	2559.78874294984	2124.99837702754	1321.93904867096	7577.37697388406	1922.01945037644	736.407471010318	1490.33050760729	1666.20934982953	2596.53614375401	1925.2545367301	1406.51929922689	3455.9822522366	2975.39900428395	2375.29696095642	1835.94209677017	1947.49681994756	5657.53216087321	914.36753557277	1832.2713535978	2693.51889974813	973.777240720072	3613.20170136506	5352.97838771249	7050.33288892613	1871.24425932891	1957.8132045266	2621.97426526261	2604.20640549423
"CODH-PWY"	155.039159311777	76.5590838105154	188.411436949889	187.24049044217	110.414166138888	508.240808697026	194.681411382347	117.990392293302	92.6145478011532	504.884059197975	116.759130072114	77.5526141628061	75.5806817406354	113.17535664112	45.8428698091715	248.55291084272	118.175837926238	316.873493701879	204.633846775717	110.361491087512	342.063522914715	225.019315590144	53.7214724137338	81.4030189979171	141.846962644956	235.068537841037	127.320332366765	263.160095236107	650.887205057936	226.372379061015	81.4741616616617	240.155882527654	187.087574921703
"COLANSYN-PWY"	6571.44570854136	2503.33986791656	5493.54405641393	4918.68278604138	3862.02925019966	5770.36616456172	5260.87128252806	3617.87640801683	3468.46369473842	3682.22152061962	2285.40895878316	3654.98676032903	3159.92693499917	3359.51675455212	2484.31081731302	4055.00390863195	3648.48437849746	5001.0026961422	4520.17045808445	3789.72389557005	4062.9765973539	8817.86270377015	2661.59051025353	2115.07793503176	4681.67471273322	4449.94091016659	3761.47554694499	6218.00120744167	8186.89050838781	3315.19649106537	2885.02257759259	3959.33188876148	3945.28817976896
"COMPLETE-ARO-PWY"	10801.6881762082	2772.79847016682	9594.18123952736	6130.63209451948	5954.64030244522	8287.20720678904	5190.95318171147	3921.55633970719	12012.6384258878	5115.83072566931	2331.17015363179	4038.09369597896	4863.23970550915	5284.74329266666	4254.40506654305	5940.96005680649	7226.57039833684	8925.27107592826	6811.613916517	5340.98882168597	5488.64959845913	14675.0416990822	2907.49442375074	4767.1760756398	6562.70575706716	5574.75045382306	7422.51737961905	10682.3783958464	11086.651833497	4731.32041167859	4477.89158023279	6068.17269627796	6226.14390038781
"CRNFORCAT-PWY"	10.6691394658754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DAPLYSINESYN-PWY"	8837.3454562164	3909.63939283996	9050.29276305234	6877.60405708469	6795.48182418588	9299.39405394249	4356.07590601718	3588.34299086292	10525.753283169	4618.03024323536	2413.55161950431	3928.07053992862	4703.56840902606	5964.63857378403	5140.62360501894	6226.32001917593	7282.95535778332	7934.66034496844	6338.66265612533	5937.87228141316	4785.70504890289	14455.2637998926	2750.19092345858	4705.95234813072	6445.99508242337	5634.76279338286	9227.05391188616	10397.6623789771	7870.81212674411	5193.32622508732	4961.70754054676	6134.25597096389	6032.35450363029
"DENITRIFICATION-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DENOVOPURINE2-PWY"	8111.92723548848	6957.3881642815	9358.53151090997	9932.06870148953	10018.0748139071	15337.9519855984	6943.96298323457	6872.48182002984	7023.80410223354	4577.01501133188	5582.89826813797	5830.5075892016	5606.32753148698	6163.71267398593	6195.85191870674	7413.67394855048	6749.36356359565	6813.44015948098	7962.77685580834	9684.34936146219	5496.25732215907	14160.6023817487	4490.58477967594	3890.22558771642	5627.77408181695	5935.83740122468	12144.8831992137	11042.2423952214	14003.0994567945	6305.48815851055	6120.26466458744	5873.7945050384	5759.05643176766
"DHGLUCONATE-PYR-CAT-PWY"	4.44444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0.881786133960047	0	0	0	0	0	0	0	0	0	0	1.11111111111111	0	0	0	0	0	0	0	0
"DTDPRHAMSYN-PWY"	12368.5222172385	4673.28732070511	10340.9936195082	6838.20453230878	7935.91080842671	10261.7580923472	7392.73232214301	4768.02734715966	10566.4422444658	6620.43444869941	3412.65592922142	5325.88964829677	6057.33097540862	6853.71831185184	5212.75873743401	7544.25921568993	7056.20782475088	9502.47955053528	6954.17715841092	6375.39677854312	7466.36514087802	14895.4493277734	4263.47552204656	5192.09507940332	7100.69075189721	7743.12481825546	7186.3476716485	10610.5627852308	19023.624186712	6445.29707813226	4513.80355665237	6907.89384444077	6895.79291664484
"ECASYN-PWY"	0	0	2.14714297324568	0	0	0	0	0	0	0	0	0	0	3.86843586739324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.8904337682196	0	0	0	0
"ENTBACSYN-PWY"	0	0	4.58346421829917	0	0	0	0	0	0	0	0	0	0	8.35820356009701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.946712909496	0	0	0	0
"FAO-PWY"	15.3639015876041	0	361.218372449916	0	8.99155328460773	887.947312850772	0	18.8380441606093	0	0	2.99788105477149	0	0	6.7166789523337	0	0	0	0	0	0	7.49426068579297	17.9870606529298	0	0	2.99926024769508	0	0	0	56.5016639341069	0	0	10.5790933109935	0
"FASYN-ELONG-PWY"	12194.8017061139	7489.51022664258	10556.3420986004	10820.8215164133	10422.1431454041	15788.3911227009	8596.27094050258	7384.09785346039	7859.88781668891	5877.83061498159	5638.21622758114	6351.51274931469	6080.57966663793	6828.4048746213	6582.31696286429	7848.13138355866	7652.24807220963	8319.57644226062	8677.72710907709	9982.91924522822	6690.27560920727	16538.8338271896	4940.01128527176	4259.38009931944	6152.35185173885	6610.2591601939	12141.3983482397	12604.7224872042	14889.8029737888	6873.39506310716	6528.92231614879	7023.17085342364	7064.87457010344
"FASYN-INITIAL-PWY"	14.9892626381033	0	116.750393915342	0	163.227913563679	68.8071139703332	52.7972927055591	66.84868403841	57.5960228167124	0	43.4962051365291	8.74267533946981	66.869774282411	88.4071802255612	66.3649686896923	72.148838605416	18.7275333807242	195.217771346089	70.9351484053702	110.911679394893	59.4767464634937	119.550430322093	14.9722995721496	121.035530919644	84.1253175437086	273.619915735861	27.9581414483014	215.289996561455	2359.80209320327	141.856978706743	71.2836767605554	63.9523615385083	68.9107102092442
"FERMENTATION-PWY"	8631.94898427014	2977.00217006733	9004.4299829176	5792.74857396333	5382.35968893065	8496.9824871021	4429.69776955888	3871.62667976152	5222.43727334885	4279.9739015088	2392.99195248243	3579.89309898731	4380.13074748476	5214.19569374003	4291.68679337058	4401.34371458361	6057.39988264364	7150.57799425599	5981.70489901543	5222.83733868832	4157.48680711866	13700.9263466267	2702.15660882816	3364.77590346819	4733.94421641543	3776.00135467149	5999.27956933547	9920.61479546392	9053.61804752279	4405.15299418464	4591.27208412385	5576.32401297114	5665.29724727328
"FOLSYN-PWY"	10174.9387372066	1985.00057738028	7293.46461659923	5775.68813198751	3625.49003128409	7723.28838650821	5702.52765863298	3608.43683585258	5604.66009146295	2842.99136677419	2153.52115889917	3610.34804623628	3248.12308990565	4153.77009698216	2219.38899212877	3157.70245688407	3285.56122226705	4575.95920304208	4065.22059011714	3458.71777038626	3512.61639212977	9252.67716411259	2539.78198760329	2213.53219997073	5154.86485721889	4599.31752899251	4078.38352084463	8520.27471640768	12465.6843839997	3263.73734543865	2736.84799678649	3876.39468480578	3874.22023572684
"FUC-RHAMCAT-PWY"	776.187310072776	288.147011090432	1172.5463662918	823.398939018977	567.025756574097	862.60348136166	1081.34937939148	548.800783407003	290.940510815024	321.785884540113	316.87505044374	477.554476265934	352.996108118079	361.670624650403	392.411249779911	447.152578857647	457.877651109728	664.949949139898	556.145001399935	550.63783933259	453.342218664453	1494.24902370128	364.544613623805	427.377374155735	382.17100106147	609.304725191813	665.240560345801	1476.39467765534	6552.07734189249	489.362569308901	520.247479704475	553.089420981801	498.085969747856
