"Julianne.331.JEJ_S219_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.JEJ_S211_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.JEJ_S206_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.JEJ_S207_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.JEJ_S208_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.JEJ_S218_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.JEJ_S200_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.JEJ_S193_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.337.JEJ_S134_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.351.JEJ_S150_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.JEJ_S178_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.582.JEJ_S142_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.716.JEJ_S110_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.JEJ_S101_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.JEJ_S205_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.JEJ_S212_L001_R1_001_F_filt.fastq.gz"	"Julianne.665.JEJ_S210_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.JEJ_S209_L001_R1_001_F_filt.fastq.gz"	"Julianne.835.JEJ_S198_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.JEJ_S199_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.JEJ_S194_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.717.JEJ_S102_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.JEJ_S177_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.841.JEJ_S104_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.853.JEJ_S120_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.JEJ_S277_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.JEJ_S196_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.JEJ_S197_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.JEJ_S195_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.JEJ_S118_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.663.JEJ_S126_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.847.JEJ_S112_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.JEJ_S164_L001_R1_001_F_filt.fastq.gz"
"1CMET2-PWY"	12473.7073089976	2921.5715498254	10844.7472669296	5057.85472506388	9074.31293373219	4518.38976639194	15636.8051942278	13348.8258220173	8330.26180714071	10809.3424471902	6378.82275182904	11890.3994885428	7893.15568641684	15404.7570056922	15188.8470422295	11342.9574542612	6764.19415349825	8435.9770037518	7862.65494186308	3963.88108073502	15409.6174549658	9413.14093923721	7127.47245472629	8365.60128680991	5822.47041585185	5540.60710759739	6933.4430924628	13452.6282488073	12524.486561558	5852.50848975513	10265.5659320758	7973.17658548385	8390.63701470782
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"	0	1.56231812343951	8.32911866194021	0	5.72724809367388	2.55093628051919	0	0	2.32152838990085	0	0	0	0	0	0	0.828322959619155	0	0	0	0	0	0	0	2.47908633705279	0	0	0	151.049811779984	0	0	5.55541504648461	1.23724348773967	0
"AEROBACTINSYN-PWY"	0	0	7.14	0	3.43	0	0	0	0.71	0	0	0	0	0	0	0.71	0	0	0	0	0	0	0	1.43141104294479	0	0	0	129.71	0	0	0	0.71	0
"ALL-CHORISMATE-PWY"	0	0	44.6703768783746	0	33.6053720366558	0	0	0	12.0352602601465	0	0	0	0	0	0	4.08904588582338	40.9223390432705	0	0	0	0	0	0	17.7251435602961	0	0	0	575.635726132995	0	0	0	5.25561216891304	0
"ANAEROFRUCAT-PWY"	15778.3285080911	15519.4900450125	9142.58967981256	9072.87039696396	13493.3431859516	5491.17536357374	12341.848448943	12573.3521010986	11864.1178061485	11832.7360460834	7825.62852728392	17705.0830573005	9391.91628048974	1054.8484318291	3376.50953611283	10536.0317053061	8875.78035213477	9422.75525936641	7769.92647836303	6584.85380074846	29846.9402302146	13922.8332522146	11982.0546098906	10376.9001628852	13501.5623935942	5466.89103056172	7279.57124634706	10612.0842473891	1610.37845674748	6803.22743358152	15398.6715066215	9435.06533382343	20743.9852483636
"ANAGLYCOLYSIS-PWY"	19315.9261874346	16063.2187702252	16010.6102158459	16767.6247396415	15711.4542346706	7521.93861991718	23108.540589274	24366.4120897511	17542.585236275	15188.9374249835	10519.7740493068	21753.4805995502	12402.1377287374	22599.9320723746	19738.7375880171	17792.3348138798	26210.0910001118	17752.9366626577	11066.8063531816	23633.1390582988	42180.3848938509	15256.3423290416	13576.6723667695	13216.5433475863	15906.4142940745	9974.7303088801	13535.4354684561	18274.1648412671	31281.2860839383	8277.85241558921	22849.2710267651	14480.237521111	21412.1261667412
"ARG+POLYAMINE-SYN"	982.915955057933	11.5481049651301	37.2083286406024	181.95286565442	696.603841573306	83.5367726014669	316.87722316417	171.467065611423	493.405045950857	213.77827237854	425.367202589039	818.636566232874	369.250870499118	28.5250319672539	0	1487.54772347101	86.4838321996442	197.499395275247	114.093368012867	56.8967154602754	114.073509111554	201.712800936811	143.76576107473	627.360758639597	235.581501883169	69.4020669546873	28.910868762235	488.735134581889	13.7641815069148	194.907354889858	1053.66494128315	370.084305925776	556.116479341534
"ARGDEG-PWY"	0	0	16.4451727744722	0	7.98540735764772	0	0	0	3.22120250690299	0	0	0	0	0	0	1.65582019104151	3.30769147475129	0	0	0	0	0	0	3.64701153235681	0	0	0	246.838752750796	0	15.0784853657356	0	1.65567072585905	0
"ARGORNPROST-PWY"	193.106012270629	346.656991495733	167.880390304417	55.6410363451807	225.092353882533	50.3165982921253	263.478975872666	216.199310496083	1457.42499800662	177.549757912566	88.2359824900569	110.542839767591	126.01736384216	22.7859425724707	74.875214940128	137.592503679269	708.908028552733	310.078125585275	87.6175811624935	515.092682873847	70.9150005089105	246.32197773472	129.489551826832	316.109754124892	225.598916135865	68.3190877425948	15.388317660219	792.9468166237	53.9593786179521	35.3264876017417	1049.70876794883	205.144342242429	171.128480995255
"ARGSYN-PWY"	5896.2190332742	10523.6386179879	2051.07505593421	3300.10964467919	4858.77698630305	1717.5943075514	3441.37070658805	4218.08256465297	4737.32225285457	4401.58860305284	2352.5413066702	8313.47106977091	2951.84034286756	144.962826004503	580.929861370751	5041.18469557472	1188.22263456225	2084.15357327482	2130.49040021362	511.074015598304	1412.95804331702	3616.15147815591	5000.72744161409	3913.98115220372	3933.58403078273	1493.2919841676	1590.08954051159	3107.20135350481	160.610203554331	2793.85290223781	6557.6410131915	3219.93611146502	5702.72921664552
