"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz"	"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz"	"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz"
"1CMET2-PWY"	18655.6695882284	11055.5550026561	11846.7560097233	8451.79299782204	5590.1709190842	10434.2092631666	8458.96766672149	13493.6441708277	8481.21055848375	16869.2499600188	7875.88550090071	11821.7996884027	4447.4956563939	10081.0700999943	7592.95830193637	9902.24890902241	5752.77472136495	11126.2093439131	7272.65278006502	5839.06751039242	9725.28629812016	8239.15744732982	3978.5741005319	5732.28970685537	6060.71215958581	5395.36073016642	12449.9467923637	7473.9602147022	7134.61739391128	9072.20568876025	5872.90985254444	7227.32553260718	6844.45335991088	7856.21933294569	7775.40918164807	7847.33574436152	9025.88263429033	9605.05020350403	7660.06470880838	7300.85546267785	10377.2004147345	6526.80576679565	5529.20037071612	16093.4355627049	4440.00287212169	4527.03530217539	4998.53057727682	5106.69297277341	6501.75401334785	8183.77469392273	6615.75747561657	7722.91820733562	9724.49762719209	7977.38235857994	11918.4386823345	9945.90036931952	12996.718022154	12444.0737697406	8606.11296579117	8607.50633069927	13024.5931847096	5091.82126090057	6437.41800830422	7668.86776939033	5538.01117344303	7080.70084556485	6936.29212320884
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"	0	0	0	0	0	1.96855477565425	0	0	0	6.72623613109454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0305297362654	3.26593706524108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55036760629905	0	0	0	0	0	0	0	27.1122271299084	26.4369710627022	0	0	0	0	0	0	0	0	0
"AEROBACTINSYN-PWY"	0	0	0	0	0	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.29	19.71	0	0	0	0	0	0	0	0	0
"ALL-CHORISMATE-PWY"	0	0	0	0	0	6.36909668138818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.0291367672702	12.0818283549324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.527696313832	167.137049694662	0	0	0	0	0	0	0	0	0
"ANAEROFRUCAT-PWY"	22347.4885465881	10065.0271269809	14524.0582076844	10112.7721659288	6486.75756830649	13225.7567926738	10863.3755633433	13454.4067885266	10907.1017139107	20625.5315920613	10042.8273264127	15781.4693150006	4819.01064846469	12153.2418733248	9377.39666947864	11727.5075319882	7234.6736008915	11495.2901428036	9392.15906648871	7554.25178065185	11214.0880781082	8493.17054936789	5288.03110263628	7437.14881176517	7601.95641373097	6066.68691635903	12865.9158982916	8891.77330274602	9078.2416508368	11417.0540811846	7413.06843219382	9885.81588818287	8291.70929788687	9093.46868169297	9627.17845499447	9930.63601453591	11501.7361149992	12277.8765422157	9822.91899678163	9997.47832235957	13713.2326070062	8698.72761664837	6613.51452278362	19851.0025794872	5630.90650379578	6083.00322091221	6576.73602639412	6430.27277774106	8729.90901265371	9719.9979535026	7811.75630235405	9179.26699340992	12475.7029210158	9017.54080104791	14023.9925633155	12565.3826286865	14315.0452241104	13863.4864372962	10427.8440196392	8918.95156062439	11454.8847750306	6020.93686621112	8069.74053783949	9413.95082733764	7033.41858906761	8864.71202628948	8538.0026686199
"ANAGLYCOLYSIS-PWY"	25019.0239391733	13838.190861014	15520.6754914795	11260.2347936043	8139.80273640232	14282.4095302074	12248.4513016158	17939.1280275249	12639.6479537674	22968.8742046652	10817.1410299572	18226.6738432925	5815.50866147543	13189.3506545824	10262.2297325873	12881.5147422637	8444.42358488983	14294.8491661368	10036.3652186511	8053.50475860744	13072.6199374873	10710.2278260335	6615.77179720286	8309.16625815681	8560.49938300226	7012.82875405927	16060.0853996023	10200.4088574135	10083.0862586779	12483.4044159621	8336.47532212359	10757.3424020838	9241.05038084043	10357.7505462504	10576.6054299314	10808.232066182	12472.4292733731	13290.0983667711	10586.0414274266	11350.5859587736	14666.1315023909	9283.84278227003	7522.83138802326	21457.2588064265	6443.38149553447	6951.99644756002	7077.16773186325	6865.65550499317	8920.34266279173	10779.2364242315	8818.15928106995	10081.5655366089	14365.1022650522	10366.830247516	15359.9162101994	13717.729955983	18232.8408894857	17448.8048228621	11419.1376054954	11256.7175094131	16905.0924757629	6877.33459102437	9141.46089253137	10257.9470905892	7672.49059305347	9611.49465965769	9231.41043128972
"ARG+POLYAMINE-SYN"	3165.50432422789	542.403657217531	405.356377925622	936.569246159357	246.886320355594	1300.36451394827	831.325782714422	1962.0831024245	653.487230418046	2785.69714176127	1146.24746820386	1467.50147497508	530.817689660746	1027.070851086	614.865774253238	915.86844133206	472.000104084374	553.670757715096	925.430457502041	703.433966222479	1167.88077085225	1133.74402390917	373.065150996156	730.485413663381	1067.84100011448	336.470864021616	552.807991638248	304.104204825253	1242.46269797486	908.439320164743	505.302449430657	726.345999654988	391.849547972644	782.699700087825	782.900409957466	862.816417125638	1085.18605617295	1087.04770160365	900.012387832222	851.555287669236	1883.10389439637	966.949730953568	448.543527281339	2436.10540506544	303.290207346338	233.993388527808	404.847024134195	731.56498235484	723.569823059421	984.000163503939	704.780501270235	1011.47368495231	868.422585086823	977.720679018858	1727.545053618	1625.664094257	1487.99209012459	1336.40062627218	1391.27918587538	985.899980277073	2047.13347337731	753.431628759006	1199.94936985962	1101.03201411942	633.587304495322	811.925535887596	655.014768934745
"ARGDEG-PWY"	0	0	0	0	0	2.38136854766549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.8488577487229	4.06001278714778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.6549269040709	42.6970025000172	0	0	0	0	0	0	0	0	0
"ARGORNPROST-PWY"	2928.86156639532	331.567087438077	724.082128267478	776.858227692945	188.615548891052	1349.70762897863	404.525420370263	1662.88226331526	501.254488716644	2095.63941753707	478.997968614758	756.210374603267	309.321562790662	1042.97133188636	390.57655219339	684.099493459621	240.340007611353	490.594353003787	590.565669691193	366.229881890018	932.019883538625	716.62662049375	296.317599280336	321.246732559139	410.235311489271	126.608569703343	231.722806015247	140.146393623788	538.871522287842	551.011361081435	179.206289485467	436.446043215406	595.781354354397	636.886663104107	663.902762862364	560.204292885548	668.773535667707	724.307548975875	589.524180812628	276.048054416587	1602.79358334879	833.36533953608	536.177774062843	1819.45700377094	197.719061694296	160.268720131565	320.700258054467	113.737789172424	240.166380010871	751.579366683103	259.905163043666	728.749998495085	636.182639302082	734.989568212751	1262.42472708652	727.3182620311	226.391239036963	380.528745925729	501.071618016389	912.315140211671	1469.04791089134	268.830701326878	534.331796459528	1014.87014356403	630.73985235739	507.168997444761	485.940438514721
"ARGSYN-PWY"	15436.7977633655	9714.89329820965	7286.72475209922	7216.05053324229	2603.52278560053	8176.15890275127	5317.85848593059	12575.3185872053	5240.77410065385	14757.7076367818	6168.03128417141	8231.07765158101	3716.92012801347	7703.3645883065	3773.52905776554	7654.1566930976	3600.75781432749	10692.0022145951	5603.01383349541	4199.98423038875	8622.5538517634	7354.18373530251	2082.98386631942	3265.11214774111	4197.18290132157	4926.2416774783	11435.7624382356	4775.21840150686	5463.06344294521	7054.9200446223	4033.46097006517	4680.11177253042	5570.47152570413	6775.16230376307	6464.28944282084	5993.92566266385	6988.4524102405	7887.94067870652	5863.63822092556	4931.60503500947	7949.38145596421	4500.0097870391	4813.5869854794	12693.665077728	2365.87331527336	2371.13888179197	3876.70983562032	4224.41979798122	5721.16648685204	7033.65493942671	4583.36324120239	6345.16259938301	7697.68552967324	6952.09043088279	9372.92495696485	7057.56465598665	10674.6004245445	9827.59568627785	6894.37744385638	7904.35730694273	12463.3454735775	4431.39725660434	4287.52665781584	6485.68097949992	4264.06405867967	5210.62512591727	5226.28357148525
