MouseID,5_min,10_min,15_min,30_min,45_min,60_min,Cohort,SLC_Genotype,ASO_Tg,Sex
320,2,4,4,6,6,6,One,HET,Negative,Female
326,0,4,4,4,5,5,One,HET,Positive,Female
327,6,8,10,13,13,13,One,HET,Negative,Female
328,6,7,8,10,16,18,One,HET,Negative,Female
329,5,5,5,7,7,8,One,HET,Negative,Male
330,6,6,6,7,7,7,One,HET,Negative,Male
331,3,6,6,8,8,8,One,HET,Positive,Male
333,3,4,4,5,5,6,One,HET,Negative,Male
334,2,5,5,6,6,6,One,HET,Positive,Male
335,3,4,5,6,6,8,One,HET,Negative,Male
336,0,4,7,8,8,8,One,MUT,Positive,Female
337,4,8,8,8,8,8,One,HET,Positive,Male
338,8,10,10,11,11,11,One,HET,Negative,Male
339,7,7,9,12,14,14,One,HET,Negative,Male
340,5,7,9,10,10,12,One,HET,Positive,Male
341,0,6,7,10,13,15,One,HET,Negative,Male
351,0,0,0,0,0,0,One,HET,Positive,Female
536,7,8,8,10,12,12,One,HET,Positive,Male
537,2,2,4,6,6,6,One,WT,Negative,Male
539,3,6,6,6,6,6,One,HET,Negative,Female
540,2,3,3,4,4,5,One,WT,Positive,Female
542,6,7,7,10,12,14,One,MUT,Positive,Female
544,5,5,10,11,12,15,One,HET,Positive,Female
545,4,6,6,7,7,7,One,HET,Negative,Male
577,0,0,0,1,2,5,One,HET,Positive,Female
582,2,4,6,7,9,10,One,HET,Positive,Male
661,0,0,0,0,0,0,One,MUT,Positive,Male
663,0,2,3,4,5,8,One,WT,Positive,Male
665,0,0,4,5,6,7,One,MUT,Positive,Female
667,0,4,6,7,9,12,One,MUT,Positive,Female
669,0,0,0,1,1,2,One,HET,Negative,Female
670,3,4,4,4,4,4,One,WT,Negative,Female
718,7,9,9,11,13,14,One,HET,Negative,Female
719,4,5,8,10,10,10,One,HET,Positive,Female
791,0,2,3,4,4,4,One,WT,Positive,Male
332_666,1,1,1,3,4,4,One,MUT,Negative,Female
35,0,0,1,4,6,8,Three,WT,Positive,Female
36,2,2,4,6,7,10,Three,HET,Negative,Male
37,0,1,2,3,4,8,Three,HET,Negative,Male
39,0,0,1,1,1,1,Three,HET,Negative,Male
40,6,6,7,8,10,11,Three,WT,Negative,Male
41,5,7,8,11,11,13,Three,WT,Positive,Male
42,2,4,5,6,6,6,Three,MUT,Negative,Male
43,0,1,1,2,2,3,Three,MUT,Positive,Male
44,0,0,0,3,3,5,Three,HET,Positive,Male
45,5,6,6,7,10,10,Three,MUT,Negative,Female
889,0,0,0,0,1,1,Three,MUT,Negative,Female
892,1,2,2,4,5,5,Three,WT,Negative,Male
894,0,1,3,3,6,6,Three,HET,Negative,Male
962,5,6,6,9,11,11,Three,WT,Positive,Female
963,0,0,2,2,3,3,Three,HET,Negative,Male
964,0,4,4,8,9,10,Three,MUT,Negative,Male
605,3,6,7,12,13,15,Two,HET,Negative,Female
606,4,8,10,14,16,18,Two,HET,Positive,Female
607,5,8,10,14,20,21,Two,HET,Negative,Female
609,5,5,7,9,11,14,Two,HET,Negative,Male
610,0,0,1,3,4,5,Two,MUT,Positive,Female
611,2,2,4,6,6,7,Two,MUT,Negative,Female
612,0,0,3,5,7,7,Two,MUT,Positive,Female
662,3,6,7,12,15,19,Two,MUT,Positive,Female
664,1,3,5,7,9,9,Two,WT,Positive,Female
666,2,4,4,7,9,11,Two,WT,Positive,Male
668,1,1,1,1,1,1,Two,WT,Positive,Female
672,2,3,4,6,11,11,Two,HET,Negative,Male
673,0,2,6,8,13,16,Two,WT,Negative,Male
839,0,3,4,8,11,13,Two,HET,Negative,Female
844,2,4,6,10,13,14,Two,WT,Negative,Female
853,0,0,5,7,9,10,Two,MUT,Positive,Male
856,4,5,7,11,13,15,Two,HET,Positive,Male
876,1,1,1,3,5,6,Two,WT,Negative,Female
661_837,3,7,8,13,14,19,Two,MUT,Negative,Female
663_835,3,3,5,6,6,7,Two,MUT,Positive,Female
665_857,6,8,9,10,12,12,Two,WT,Negative,Male
667_845,0,3,4,6,7,9,Two,MUT,Negative,Male
669_843,5,8,9,13,15,19,Two,HET,Negative,Female
670_842,0,3,7,8,11,12,Two,HET,Positive,Female
