"","sample","x","y","MouseID","Genotype","SampleID","Site","Sex","Cohort","Subset","Omit","Average_GFAP"
"1","Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz",-0.0658528538931666,0.0766674303661454,536,"HET","Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz","COL","Male","One","Luminal_Colon","No",310.25
"2","Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz",-0.144377570142256,-0.00897981490380726,582,"HET","Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz","CEC","Male","One","Luminal_Colon","No",351.75
"3","Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz",-0.145062128194283,-0.0760679403144554,582,"HET","Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz","COL","Male","One","Luminal_Colon","No",351.75
"4","Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz",0.0158408812031683,0.0885185935757605,604,"HET","Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz","CEC","Female","One","Luminal_Colon","No",286
"5","Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz",-0.114902994031462,0.0264196381930884,663,"WT","Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz","CEC","Male","One","Luminal_Colon","No",114.1
"6","Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz",-0.319139401260461,0.0285472945970373,663,"WT","Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz","COL","Male","One","Luminal_Colon","No",114.1
"7","Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz",0.0760166563603058,0.13368413309553,667,"MUT","Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz","CEC","Female","One","Luminal_Colon","No",154
"8","Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz",0.0166274012664148,0.0918995784416746,717,"MUT","Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz","CEC","Female","One","Luminal_Colon","No",82.5
"9","Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz",-0.0177354287204737,0.0720100666170727,717,"MUT","Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz","COL","Female","One","Luminal_Colon","No",82.5
"10","Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz",-0.103901364193639,-0.0979552933521352,719,"HET","Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz","CEC","Female","One","Luminal_Colon","No",257.5
"11","Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz",-0.0897458973165336,-0.170164081918114,719,"HET","Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz","COL","Female","One","Luminal_Colon","No",257.5
"12","Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz",-0.0804855258577962,0.0134618565181617,838,"WT","Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz","CEC","Female","Two","Luminal_Colon","No",110.333333333333
"13","Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz",-0.136395912107079,-0.151477903798596,853,"MUT","Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz","CEC","Male","Two","Luminal_Colon","No",89.25
"14","Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz",-0.0942021682254722,-0.136213189767325,853,"MUT","Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz","COL","Male","Two","Luminal_Colon","No",89.25
"15","Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz",-0.0708477323069779,-0.112028208797222,882,"MUT","Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz","COL","Female","Two","Luminal_Colon","No",206.5
"16","Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz",0.12738245114656,0.0506739071775317,891,"HET","Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz","CEC","Male","Three","Luminal_Colon","No",71.6666666666667
"17","Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz",0.135163420472606,0.0244058518297444,891,"HET","Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz","COL","Male","Three","Luminal_Colon","No",71.6666666666667
"18","Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz",0.117253508759609,-0.073630385093046,899,"MUT","Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz","CEC","Male","Three","Luminal_Colon","No",156.333333333333
"19","Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz",0.148969792585017,-0.0820316474478145,899,"MUT","Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz","COL","Male","Three","Luminal_Colon","No",156.333333333333
"20","Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz",0.104371252828115,0.111780491452766,923,"WT","Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz","CEC","Female","Three","Luminal_Colon","No",142
"21","Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz",-0.0437977953088334,0.165975996908354,924,"WT","Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz","CEC","Male","Three","Luminal_Colon","No",140.375
"22","Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz",0.00471599582619953,0.217019603843145,962,"WT","Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz","CEC","Female","Three","Luminal_Colon","No",90.5
"23","Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz",-0.0151404410847403,0.1269087518943,536,"HET","Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz","CEC","Male","One","Luminal_Colon","No",310.25
"24","Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz",0.0451463829324137,-0.0580851391839559,604,"HET","Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz","COL","Female","One","Luminal_Colon","No",286
"25","Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz",0.00203034909198438,0.0406455824177704,665,"MUT","Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz","COL","Female","One","Luminal_Colon","No",141.571428571429
"26","Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz",0.0645495434454397,-0.032455281308099,667,"MUT","Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz","COL","Female","One","Luminal_Colon","No",154
"27","Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz",-0.011258270744357,0.0160345392674266,838,"WT","Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz","COL","Female","Two","Luminal_Colon","No",110.333333333333
"28","Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz",0.159982002049609,-0.139646371486431,840,"MUT","Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz","CEC","Female","Two","Luminal_Colon","No",102
"29","Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz",0.181094333700228,-0.149823725382964,840,"MUT","Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz","COL","Female","Two","Luminal_Colon","No",102
"30","Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz",0.0663223291364711,-0.10065850465751,842,"HET","Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz","CEC","Female","Two","Luminal_Colon","No",145
"31","Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz",0.115412480849509,-0.104703033916065,842,"HET","Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz","COL","Female","Two","Luminal_Colon","No",145
"32","Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz",-0.0207483610192685,0.0262408890181931,882,"MUT","Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz","CEC","Female","Two","Luminal_Colon","No",206.5
