MouseID,T1 (s),T2 (s),T3 (s),Average_Latency,SLC_Genotype,ASO_Tg,Sex,Day,Cohort
338,37.3,43,58.1,46.13333333,HET,Negative,Male,One,One
339,59.5,85.8,106,83.76666667,HET,Negative,Male,One,One
669,50.4,51.3,42.9,48.2,HET,Negative,Female,One,One
330,36.6,41.2,37.5,38.43333333,HET,Negative,Male,One,One
329,45.5,79.7,44.7,56.63333333,HET,Negative,Male,One,One
539,25,77.5,78.1,60.2,HET,Negative,Female,One,One
332,67.4,15.9,51,44.76666667,MUT,Negative,Female,One,One
335,20.7,17.2,54.7,30.86666667,HET,Negative,Male,One,One
333,36.2,49,13.3,32.83333333,HET,Negative,Male,One,One
545,37.8,49.8,57.4,48.33333333,HET,Negative,Male,One,One
670,71.6,56.5,52,60.03333333,WT,Negative,Female,One,One
328,56.3,117,106,93.1,HET,Negative,Female,One,One
320,22.8,117,83.1,74.3,HET,Negative,Female,One,One
327,47,88.6,61.5,65.7,HET,Negative,Female,One,One
537,36.8,77.6,90.9,68.43333333,WT,Negative,Male,One,One
718,45.6,37.8,73.3,52.23333333,HET,Negative,Female,One,One
341,41.9,69.1,103,71.33333333,HET,Negative,Male,One,One
665,60.3,68.4,99.2,75.96666667,MUT,Positive,Female,One,One
336,107,57.9,135,99.96666667,MUT,Positive,Female,One,One
667,110,NA,97.9,103.95,MUT,Positive,Female,One,One
337,103,65.9,97.9,88.93333333,HET,Positive,Male,One,One
661,2,1,37.9,13.63333333,MUT,Positive,Male,One,One
331,47.7,51.8,59.9,53.13333333,HET,Positive,Male,One,One
663,8.7,29.8,23.5,20.66666667,WT,Positive,Male,One,One
544,1.7,1.3,1.2,1.4,HET,Positive,Female,One,One
604,102,101,108,103.6666667,HET,Positive,Female,One,One
791,33.4,35.6,32.4,33.8,WT,Positive,Male,One,One
542,130,121,166,139,MUT,Positive,Female,One,One
334,42.2,33.7,56.2,44.03333333,HET,Positive,Male,One,One
540,22,59.8,31.7,37.83333333,WT,Positive,Female,One,One
326,150,135,94.6,126.5333333,HET,Positive,Female,One,One
719,70.6,108,86.5,88.36666667,HET,Positive,Female,One,One
351,44.5,83.7,109,79.06666667,HET,Positive,Female,One,One
582,39.4,70.8,84.6,64.93333333,HET,Positive,Male,One,One
536,29.1,50.2,44.3,41.2,HET,Positive,Male,One,One
340,26.5,20.2,9.3,18.66666667,HET,Positive,Male,One,One
327,94.7,89.8,100,94.83333333,HET,Negative,Female,Two,One
320,67.3,126,104,99.1,HET,Negative,Female,Two,One
328,134,118,166,139.3333333,HET,Negative,Female,Two,One
539,86.5,72.7,49.2,69.46666667,HET,Negative,Female,Two,One
718,9.6,71.1,108,62.9,HET,Negative,Female,Two,One
