feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz	-1.17150822004705	-0.89223917932839	-6.64372008004861	-13.4564827630503	-7.68514000742859	-8.81705168293417	-12.3716405346118
Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz	-0.929618321584828	-1.14610722739063	-6.83803962825566	-11.3253054550897	-6.83803962825566	-7.59350156603926	-13.1326603771473
Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz	-1.97953884902154	-1.15446560762106	-4.76231109496735	-2.08791696383503	-5.37406180640281	-14.2259605272362	-9.94174631569213
Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz	-1.98487114837531	-1.02353056122081	-6.87723237300508	-2.18020086585348	-5.34331747787432	-13.2259605272362	-9.31906993162764
Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz	-1.12660810955009	-0.977466406490869	-6.25569668009798	-13.4564827630503	-6.34699251411753	-6.8338700151565	-14.408550887516
Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz	-0.851305325233968	-1.20628542992582	-6.78292488323705	-10.5270859788075	-9.20515788392009	-10.1485743555537	-14.408550887516
Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz	-0.779670045120444	-1.34150846385688	-6.28837553517634	-10.6158418136051	-7.06835401830264	-9.27188741238777	-11.3162815317462
Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz	-0.616719721913423	-1.69370913136171	-5.96672762576813	-6.62139909830069	-8.52472307888902	-6.66490073693728	-14.408550887516
Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz	-0.955117726195812	-1.10394952843218	-8.49573013444534	-13.4564827630503	-6.65024008350097	-7.32580513300303	-14.408550887516
Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz	-0.835668035622599	-1.23752547168584	-6.92351657264877	-13.4564827630503	-8.27861153147133	-7.92351657264877	-14.408550887516
Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz	-1.00480987864232	-1.0438773440172	-7.37851162325373	-13.4564827630503	-8.31341659503184	-7.06102943339756	-14.408550887516
Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz	-1.14019253357003	-0.918915302271835	-8.05767937222769	-10.2986874717315	-6.96370322401867	-7.69202989991101	-14.408550887516
Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz	-1.25231398874181	-0.820580717227253	-8.40700862695291	-10.5946356301287	-7.35516969543329	-8.03664017700779	-10.9572057095134
