"","MouseID","SampleID","Genotype","Sex","Site","k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus","Average_Latency"
"1",331,"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.0550442663680582,53.13333333
"2",337,"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.0278494069107788,88.93333333
"3",337,"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz","HET","Male","COL",0.0646256640560819,88.93333333
"4",351,"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz","HET","Female","CEC",0.0101694915254237,79.06666667
"5",351,"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz","HET","Female","COL",0.0314728534753257,79.06666667
"6",536,"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz","HET","Male","COL",0.0599083429959693,41.2
"7",536,"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.0424717811364071,41.2
"8",540,"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz","WT","Female","COL",0.0208413106504021,37.83333333
"9",540,"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz","WT","Female","CEC",0.0181013676588898,37.83333333
"10",542,"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz","MUT","Female","CEC",0.0399564111877951,139
"11",542,"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0432782576042058,139
"12",544,"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz","HET","Female","CEC",0.0132809086937527,1.4
"13",544,"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz","HET","Female","COL",0.0193978185618183,1.4
"14",547,"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz","HET","Male","COL",0.0647416214803685,44.03333333
"15",547,"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.0321305267847199,44.03333333
"16",579,"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz","HET","Male","COL",0.0760869565217391,18.66666667
"17",579,"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.0386583285957931,18.66666667
"18",582,"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.0249412100049882,64.93333333
"19",582,"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz","HET","Male","COL",0.0422584758805681,64.93333333
"20",604,"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz","HET","Female","CEC",0.035322952710496,103.6666667
"21",604,"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz","HET","Female","COL",0.0961256363793252,103.6666667
"22",661,"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz","MUT","Male","CEC",0.0494735650401902,13.63333333
"23",661,"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz","MUT","Male","COL",0.0958412354375508,13.63333333
"24",663,"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz","WT","Male","CEC",0.00409256641119131,20.66666667
"25",663,"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz","WT","Male","COL",0,20.66666667
"26",665,"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0219183961251954,75.96666667
"27",667,"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz","MUT","Female","CEC",0.0893158971621742,103.95
"28",667,"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0996313963573287,103.95
"29",716,"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz","HET","Female","COL",0.062041564792176,126.5333333
"30",716,"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz","HET","Female","CEC",0.0384412013536379,126.5333333
"31",717,"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0312455516014235,99.96666667
"32",717,"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz","MUT","Female","CEC",0.0192964824120603,99.96666667
"33",719,"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz","HET","Female","CEC",0.0129132482159328,88.36666667
"34",719,"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz","HET","Female","COL",0.0333075734157651,88.36666667
"35",791,"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz","WT","Male","COL",0,33.8
"36",791,"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz","WT","Male","CEC",0,33.8
"37",835,"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz","MUT","Female","CEC",0.154449406382747,161
"38",835,"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0840152126310937,161
"39",838,"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz","WT","Female","COL",0.0910743658557701,83.56666667
"40",838,"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz","WT","Female","CEC",0.0796681883977285,83.56666667
"41",840,"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz","MUT","Female","CEC",0.0498913351601625,82.33333333
"42",840,"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0531943330660251,82.33333333
"43",841,"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz","MUT","Female","CEC",0.0536999321113374,184.9333333
"44",841,"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0597006198105485,184.9333333
"45",842,"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz","HET","Female","CEC",0.0783103558832959,92.8
"46",842,"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz","HET","Female","COL",0.0868214378182446,92.8
"47",853,"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz","MUT","Male","COL",0.0083980551872198,58.03333333
"48",853,"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz","MUT","Male","CEC",0,58.03333333
"49",856,"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.0165822784810127,31.33333333
"50",856,"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz","HET","Male","COL",0.0131712259371834,31.33333333
"51",858,"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz","WT","Male","CEC",0,95.6
"52",858,"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz","WT","Male","COL",0,95.6
"53",872,"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz","HET","Female","COL",0.151392315826577,132.3333333
"54",872,"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz","HET","Female","CEC",0.0692695214105793,132.3333333
"55",882,"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz","MUT","Female","COL",0.0222682894208907,113.5666667
"56",882,"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz","MUT","Female","CEC",0.0144739684597105,113.5666667
"57",891,"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz","HET","Male","COL",0.0844497967785639,74.66666667
"58",891,"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz","HET","Male","CEC",0.080039011703511,74.66666667
