MouseID,T1,T2,T3,Average_Latency,Standard_Deviation,Batch,SLC_Genotype,Genotype-Treatment,Treatment,Sex,Weight,,
171,123,298,293,238,99.62429423,Three,HET,HET-MPTP,MPTP,Female,21,,
172,120,185,213,172.6666667,47.71093515,Three,HET,HET-MPTP,MPTP,Female,23.6,,
179,103,79.2,118,100.0666667,19.5656161,Three,HET,HET-MPTP,MPTP,Female,23,,
1378,36.2,33.1,33.8,34.36666667,1.62583312,Two,HET,HET-MPTP,MPTP,Female,24,,
1383,54.8,65.8,67.8,62.8,7,Two,HET,HET-MPTP,MPTP,Female,23.6,,
1385,74.4,84.4,11.9,56.9,39.29058411,Two,HET,HET-MPTP,MPTP,Female,20.8,,
1394,38.3,88.6,66,64.3,25.1930546,Two,HET,HET-MPTP,MPTP,Female,22.4,,
491,309,246,346,300.3333333,50.56019515,five,MUT,MUT-MPTP,MPTP,Female,24,,
531,135,57.4,362,184.8,158.2887235,five,MUT,MUT-MPTP,MPTP,Female,23.3,,
1367,22.7,63.4,84.9,57,31.59003007,One,MUT,MUT-MPTP,MPTP,Female,23.1,,
1369,91.3,78.1,56.2,75.2,17.72879014,One,MUT,MUT-MPTP,MPTP,Female,23.8,,
595,106,313,245,221.3333333,105.5098732,six,MUT,MUT-MPTP,MPTP,Female,21.7,,
609,171,105,194,156.6666667,46.19884558,six,MUT,MUT-MPTP,MPTP,Female,22.7,,
177,142,102,167,137,32.78719262,Three,MUT,MUT-MPTP,MPTP,Female,22.1,,
1381,32.9,63,69.5,55.13333333,19.52698987,Two,MUT,MUT-MPTP,MPTP,Female,22.2,,
1393,88,94.8,95.7,92.83333333,4.209908946,Two,MUT,MUT-MPTP,MPTP,Female,20.9,,
473,67.3,144,123,111.4333333,39.6366413,Four,WT,WT-MPTP,MPTP,Female,20.4,,
427,98.4,89.8,257,148.4,94.14860594,Four,WT,WT-MPTP,MPTP,Female,23,,
599,122,114,166,134,28,six,WT,WT-MPTP,MPTP,Female,24.1,,
593,155,119,196,156.6666667,38.52704678,six,WT,WT-MPTP,MPTP,Female,24.4,,
178,102,224,235,187,73.81734214,Three,WT,WT-MPTP,MPTP,Female,21.1,,
119,189,270,326,261.6666667,68.87912117,Three,WT,WT-MPTP,MPTP,Female,21.6,,
509,154,286,256,232,69.19537557,five,HET,HET-MPTP,MPTP,Male,30.7,,
465,123,191,140,151.3333333,35.38832199,Four,HET,HET-MPTP,MPTP,Male,30.5,,
433,30.7,38.6,194,87.76666667,92.08552184,Four,HET,HET-MPTP,MPTP,Male,29.3,,
1351,23.8,56.9,39.9,40.2,16.55203915,One,HET,HET-MPTP,MPTP,Male,27,,
1364,22.4,28.9,56.4,35.9,18.04854565,One,HET,HET-MPTP,MPTP,Male,26.1,,
612,30.4,40,57.5,42.63333333,13.74057253,six,HET,HET-MPTP,MPTP,Male,27.9,,
613,8.1,72.1,122,67.4,57.09527126,six,HET,HET-MPTP,MPTP,Male,26.8,,
168,127,155,76.1,119.3666667,40.00004167,Three,HET,HET-MPTP,MPTP,Male,27.8,,
169,53.2,80.3,113,82.16666667,29.94366934,Three,HET,HET-MPTP,MPTP,Male,31.6,,
165,99,130,139,122.6666667,20.98412098,Three,HET,HET-MPTP,MPTP,Male,28,,
175,40.6,103,166,103.2,62.70023923,Three,HET,HET-MPTP,MPTP,Male,30.4,,
1386,18.7,49,50.5,39.4,17.94240787,Two,HET,HET-MPTP,MPTP,Male,30.4,,
515,96.9,186,263,181.9666667,83.12342229,Four,MUT,MUT-MPTP,MPTP,Male,29.9,,
1358,21.5,35.2,27.7,28.13333333,6.860272103,One,MUT,MUT-MPTP,MPTP,Male,31.5,,
590,185,111,78.4,124.8,54.62343819,six,MUT,MUT-MPTP,MPTP,Male,27.4,,
611,167,15.3,183,121.7666667,92.54924815,six,MUT,MUT-MPTP,MPTP,Male,30,,
117,23.6,146,135,101.5333333,67.71597547,Three,MUT,MUT-MPTP,MPTP,Male,26.9,,
167,32.3,134,22.3,62.86666667,61.80585193,Three,MUT,MUT-MPTP,MPTP,Male,25.8,,
174,42.2,76.5,125,81.23333333,41.60244384,Three,MUT,MUT-MPTP,MPTP,Male,29.3,,
1387,50.6,63.6,58.1,57.43333333,6.52559065,Two,MUT,MUT-MPTP,MPTP,Male,30,,
507,103,94.5,88.4,95.3,7.332803011,five,WT,WT-MPTP,MPTP,Male,26.7,,
508,121,177,207,168.3333333,43.65012409,five,WT,WT-MPTP,MPTP,Male,29.5,,
514,190,66.8,97.8,118.2,64.08338318,five,WT,WT-MPTP,MPTP,Male,29.4,,
1357,33.4,18.6,58.9,36.96666667,20.38537057,One,WT,WT-MPTP,MPTP,Male,27.2,,
173,70,200,231,167,85.42247948,Three,WT,WT-MPTP,MPTP,Male,32,,
121,64.2,112,58,78.06666667,29.5501833,Three,WT,WT-MPTP,MPTP,Male,31.3,,
1392,47.3,59.5,65.6,57.46666667,9.317903913,Two,WT,WT-MPTP,MPTP,Male,24.6,,
436,167,58.1,244,156.3666667,93.40504983,Four,HET,HET-SALINE,SALINE,Female,21.4,,
434,167,86,176,143,49.56813493,Four,HET,HET-SALINE,SALINE,Female,23.1,,
435,179,140,293,204,79.50471684,Four,HET,HET-SALINE,SALINE,Female,22.6,,
1398,79.6,78.6,63.6,73.93333333,8.96288644,Two,HET,HET-SALINE,SALINE,Female,21,,
1399,31.4,48.1,61.4,46.96666667,15.03207681,Two,HET,HET-SALINE,SALINE,Female,23,,
1400,16.2,28.2,37.8,27.4,10.82219941,Two,HET,HET-SALINE,SALINE,Female,22.9,,
502,52.1,120,296,156.0333333,125.8793205,five,MUT,MUT-SALINE,SALINE,Female,24.8,,
503,216,213,412,280.3333333,114.0365439,five,MUT,MUT-SALINE,SALINE,Female,23.5,,
1366,40.1,52.1,57.5,49.9,8.906177631,One,MUT,MUT-SALINE,SALINE,Female,21.4,,
