MouseID,T1,T2,T3,Average_Latency,Standard_Deviation,Batch,SLC_Genotype,Genotype-Treatment,Treatment,Sex,Weight,,
1384,23.8,28.6,50.9,34.43333333,14.46109724,Two,MUT,MUT-SALINE,SALINE,Female,23.9,,
1397,28,47.8,57.2,44.33333333,14.90547998,Two,MUT,MUT-SALINE,SALINE,Female,25.9,WT- Mean,MUT-Mean
494,283,258,410,317,81.5046011,five,WT,WT-SALINE,SALINE,Female,25,218.5222222,113.0066667
505,191,251,322,254.6666667,65.57692684,five,WT,WT-SALINE,SALINE,Female,24.6,67.92379281,105.7375929
432,112,275,233,206.6666667,84.63056973,Four,WT,WT-SALINE,SALINE,Female,21.7,,
474,163,103,204,156.6666667,50.79698154,Four,WT,WT-SALINE,SALINE,Female,21.9,,
606,207,36.6,153,132.2,87.08340829,six,WT,WT-SALINE,SALINE,Female,22.4,,
608,75.8,300,356,243.9333333,148.2754644,six,WT,WT-SALINE,SALINE,Female,22.5,,
437,116,190,57.9,121.3,66.20928938,Four,HET,HET-SALINE,SALINE,Male,24.7,,
469,96.1,75.9,194,122,63.16652595,Four,HET,HET-SALINE,SALINE,Male,27.7,,
1350,50.1,62.3,51.5,54.63333333,6.676326335,One,HET,HET-SALINE,SALINE,Male,29.7,,
1353,23.7,33.3,31.7,29.56666667,5.143280406,One,HET,HET-SALINE,SALINE,Male,30,,
1370,34.4,43.4,78,51.93333333,23.01854325,One,HET,HET-SALINE,SALINE,Male,28.6,,
596,73.8,57.7,71.7,67.73333333,8.752333022,six,HET,HET-SALINE,SALINE,Male,27.2,,
597,97.9,173,254,174.9666667,78.06858096,six,HET,HET-SALINE,SALINE,Male,31.3,,
115,19.2,125,116,86.73333333,58.65844639,Three,HET,HET-SALINE,SALINE,Male,26.4,,
116,90.7,155,124,123.2333333,32.15685515,Three,HET,HET-SALINE,SALINE,Male,29.8,,
118,95.1,126,142,121.0333333,23.84121082,Three,HET,HET-SALINE,SALINE,Male,29.6,,
1390,47.2,52.8,59.1,53.03333333,5.953430384,Two,HET,HET-SALINE,SALINE,Male,28.6,,
1396,27.9,27.6,47.4,34.3,11.34592438,Two,HET,HET-SALINE,SALINE,Male,30.3,,
511,106,18.5,20.7,48.4,49.89519015,five,MUT,MUT-SALINE,SALINE,Male,33.5,,
513,126,22.9,88.7,79.2,52.20239458,five,MUT,MUT-SALINE,SALINE,Male,32.1,,
1359,58.6,29,54.8,47.46666667,16.10507166,One,MUT,MUT-SALINE,SALINE,Male,28.4,,
587,110,79,149,112.6666667,35.07610773,six,MUT,MUT-SALINE,SALINE,Male,29.2,,
583,63.2,137,134,111.4,41.76936677,six,MUT,MUT-SALINE,SALINE,Male,30.1,,
586,45.1,29,60.8,44.96666667,15.90041928,six,MUT,MUT-SALINE,SALINE,Male,28.3,,
585,25.2,46.8,55.9,42.63333333,15.76842837,six,MUT,MUT-SALINE,SALINE,Male,29.9,,
1349,38.3,32,63.2,44.5,16.49818172,One,WT,WT-SALINE,SALINE,Male,30.6,,
1352,51.2,15.3,40.9,35.8,18.48539964,One,WT,WT-SALINE,SALINE,Male,29,,
584,176,188,319,227.6666667,79.32422917,six,WT,WT-SALINE,SALINE,Male,29.7,,
550,116,59,110,95,31.32091953,six,WT,WT-SALINE,SALINE,Male,31.9,,
