Cohort,MouseID,5,10,15,30,45,60,Sex ,SLC_Genotype
1,755,3,3,4,4,4,4,Male,HET
1,778,0,0,0,0,0,0,Male,HET
1,779,0,2,2,3,3,4,Male,HET
1,780,0,0,0,2,2,2,Male,HET
1,810,0,0,4,7,7,7,Male,HET
2,797,0,5,5,5,5,5,Female,HET
2,798,0,0,0,0,0,0,Female,HET
2,799,0,0,1,4,7,7,Female,HET
2,827,0,6,7,8,10,12,Female,HET
2,851,2,6,6,8,10,10,Male,HET
2,869,0,0,0,0,0,0,Female,HET
3,903,0,0,0,0,0,0,Male,HET
3,908,0,0,2,2,3,3,Male,HET
3,909,0,0,5,10,12,14,Male,HET
3,954,0,0,0,3,5,5,Female,HET
3,975,0,2,2,2,2,2,Female,HET
1,805,0,6,6,8,8,8,Female,MUT
2,878,0,1,2,5,6,6,Female,MUT
3,885,1,1,1,1,1,1,Female,MUT
3,901,2,4,5,7,11,11,Male,MUT
3,905,0,0,0,1,4,4,Female,MUT
3,906,0,1,4,7,7,7,Female,MUT
3,952,0,1,1,1,3,3,Male,MUT
3,969,3,3,3,3,5,8,Male,MUT
3,973,0,0,0,0,1,1,Female,MUT
3,974,0,0,0,0,0,3,Female,MUT
1,754,0,4,4,6,8,10,Male,WT
1,756,1,2,2,2,2,4,Male,WT
1,777,0,0,0,0,0,0,Male,WT
1,808,5,5,5,10,10,13,Female,WT
1,809,0,0,0,2,3,3,Male,WT
2,795,6,8,9,10,13,13,Female,WT
2,803,1,4,4,4,4,4,Male,WT
2,812,5,7,8,9,12,12,Female,WT
2,877,6,6,6,6,6,6,Female,WT
2,879,1,1,3,4,8,8,Male,WT
2,880,6,7,7,7,7,7,Male,WT
3,902,0,0,1,1,1,1,Male,WT
3,904,3,3,5,6,7,6,Female,WT
3,907,5,5,5,6,6,6,Male,WT
3,951,5,5,6,8,9,13,Male,WT
3,972,1,2,2,3,5,5,Female,WT
