MouseID,Day,T1_S,T1_RPM,T2_S,T2_RPM,T3_S,T3_RPM,Average_Latency,Standard_Deviation,Cohort,SLC_Genotype,Sex
907,One,25.5,9.4,56.7,14.9,43.7,12.7,41.96666667,15.67205581,Three,WT,Male
951,One,68.3,17.1,29.3,9.4,13.8,17.2,37.13333333,28.08172597,Three,WT,Male
904,One,44.2,12.7,47.7,12.7,37.8,11.6,43.23333333,5.020292156,Three,WT,Female
972,One,41.8,11.6,79.9,19.3,79,19.3,66.9,21.74189504,Three,WT,Female
975,One,52.2,13.8,89.5,20.4,89.6,20.4,77.1,21.56409052,Three,HET,Female
903,One,40.4,11.6,76.3,18.2,82.9,19.3,66.53333333,22.87145237,Three,HET,Male
952,One,25.1,9.4,55.9,14.9,62.1,16,47.7,19.81615503,Three,MUT,Male
953,One,33,10.5,35.7,10.5,43.5,12.7,37.4,5.452522352,Three,MUT,Male
113,One,20.8,8.3,35.2,10.5,35,10.5,30.33333333,8.256714439,Three,MUT,Female
974,One,41,11.6,77,18.2,91.6,21.5,69.86666667,26.04329728,Three,MUT,Female
973,One,24.3,9.4,57.9,14.9,78.3,19.3,53.5,27.26756315,Three,MUT,Female
902,One,29,9.4,46.7,12.7,20.6,8.3,32.1,13.32328788,Three,WT,Male
901,One,22.9,8.3,72.2,18.2,82.7,19.3,59.26666667,31.9290359,Three,MUT,Male
954,One,25.9,9.4,70.2,17.1,75,18.2,57.03333333,27.0688628,Three,HET,Female
905,One,71.6,17.1,79.5,19.3,69.4,17.1,73.5,5.31130869,Three,MUT,Female
906,One,52.1,13.8,62.1,16,63.3,16,59.16666667,6.149254697,Three,MUT,Female
908,One,31.4,10.5,8.8,6.1,82.8,19.3,41,37.92255266,Three,HET,Male
909,One,51.4,13.8,43.2,12.7,73.2,18.2,55.93333333,15.50526792,Three,HET,Male
877,One,30.6,10.5,61.8,16,91.3,21.5,61.23333333,30.35396734,Two,WT,Female
797,One,71.2,17.1,64,16,54.5,14.9,63.23333333,8.376355612,Two,HET,Female
798,One,27.9,9.4,34.5,10.5,109,24.8,57.13333333,45.0389091,Two,HET,Female
799,One,45.3,12.7,47.5,12.7,79.9,19.3,57.56666667,19.37248908,Two,HET,Female
803,One,42.5,12.7,43.6,12.7,67.2,17.1,51.1,13.95385251,Two,WT,Male
795,One,7.8,6.1,71.7,17.1,65.4,16,48.3,35.21519558,Two,WT,Female
812,One,51.7,13.8,23.1,8.3,36.4,11.6,37.06666667,14.31165027,Two,HET,Female
878,One,57.4,14.9,40.7,11.6,85.2,20.4,61.1,22.47954626,Two,MUT,Female
869,One,49.7,13.8,72.8,18.2,93,21.5,71.83333333,21.66617948,Two,HET,Female
851,One,28.2,9.4,68.5,17.1,58.7,14.9,51.8,21.01737377,Two,HET,Male
880,One,72.5,18.2,100,22.4,73,18.2,81.83333333,15.73478101,Two,WT,Male
879,One,74.9,18.2,68.9,17.1,82.8,19.3,75.53333333,6.971609092,Two,WT,Male
827,One,81.4,19.3,92.3,21.5,92.2,21.5,88.63333333,6.264449963,Two,HET,Female
