"PFF_Cecum_11"	"PFF_Cecum_12"	"PFF_Cecum_13"	"PFF_Cecum_14"	"PFF_Cecum_15"	"PFF_Cecum_16"	"PFF_Cecum_17"	"PFF_Cecum_18"	"PFF_Cecum_19"	"PFF_Cecum_1904"	"PFF_Cecum_1906"	"PFF_Cecum_1907"	"PFF_Cecum_1908"	"PFF_Cecum_1910"	"PFF_Cecum_1913"	"PFF_Cecum_1914"	"PFF_Cecum_1917"	"PFF_Cecum_1920"	"PFF_Cecum_1921"	"PFF_Cecum_1937"	"PFF_Cecum_1938"	"PFF_Cecum_1941"	"PFF_Cecum_1942"	"PFF_Cecum_1943"	"PFF_Cecum_1944"	"PFF_Cecum_1945"	"PFF_Cecum_21"	"PFF_Cecum_25"	"PFF_Cecum_27"	"PFF_Cecum_28"	"PFF_Cecum_30"	"PFF_Cecum_32"	"PFF_Cecum_35"	"PFF_Cecum_36"	"PFF_Cecum_37"	"PFF_Colon_11"	"PFF_Colon_12"	"PFF_Colon_13"	"PFF_Colon_14"	"PFF_Colon_15"	"PFF_Colon_16"	"PFF_Colon_17"	"PFF_Colon_18"	"PFF_Colon_19"	"PFF_Colon_1904"	"PFF_Colon_1906"	"PFF_Colon_1907"	"PFF_Colon_1908"	"PFF_Colon_1910"	"PFF_Colon_1913"	"PFF_Colon_1914"	"PFF_Colon_1917"	"PFF_Colon_1920"	"PFF_Colon_1921"	"PFF_Colon_1937"	"PFF_Colon_1938"	"PFF_Colon_1941"	"PFF_Colon_1942"	"PFF_Colon_1943"	"PFF_Colon_1944"	"PFF_Colon_1945"	"PFF_Colon_1946"	"PFF_Colon_21"	"PFF_Colon_25"	"PFF_Colon_27"	"PFF_Colon_28"	"PFF_Colon_30"	"PFF_Colon_32"	"PFF_Colon_35"	"PFF_Colon_36"	"PFF_Colon_37"
"OANTIGEN-PWY"	16842.0966	19409.1402	13959.368	21798.2232	17252.0128	17026.0392	36333.2128	56338.5382	18757.4234	14662.9372	18760.7062	15925.7266	14161.4466	18194.2046	16879.2578	14742.7699	12860.9245	23095.6906	19230.2633	19421.9054	12512.2167	14821.3282	14200.6542	13186.5649	15171.2808	15541.8133	22999.0096	18153.3712	26422.5475	22880.4911	18340.266	12841.1187	17438.5828	20559.5829	22962.4094	18615.868	23430.4871	12318.9714	16770.3101	13044.4762	20776.8773	14210.0191	17491.6057	15604.013	20996.6899	13630.0694	11737.317	12703.1503	20340.2935	10099.3004	11568.7099	12558.9746	14500.6043	15868.5272	10072.935	9357.5734	19609.2877	12437.747	16240.9703	12097.1351	10102.7243	10000.9081	15311.2561	15278.1632	20601.2943	18181.5771	8602.9898	12389.8244	14068.7986	23255.5414	18298.3007
"ORNARGDEG-PWY"	0	0	0	0	0	0	0	15.984	0	0	0	0	0	0	0	2.3213	0	3.3352	0	0	0	0	0	0	1.5599	0	0	3.6477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9469	0	0	0	0	0	0	0	4.3078	0	4.6609	10.9702	0	0	0	0	0	0	0	8.8436	0	8.5209	0	0	0	0	0	30.6038	0
"ORNDEG-PWY"	0	0	0	0	0	0	0	13.7178	0	0	0	0	0	0	0	1.9995	0	2.8596	0	0	0	0	0	0	1.3397	0	0	3.1397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2773	0	0	0	0	0	0	0	3.7191	0	3.9994	9.4108	0	0	0	0	0	0	0	7.714	0	7.4186	0	0	0	0	0	43.689	0
"P101-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P105-PWY"	0	0	0	0	0	0	0	102.2689	0	0	0	0	0	0	0	14.7645	0	21.4041	0	0	0	0	0	0	9.9812	112.4409	0	23.2275	0	0	0	0	0	0	0	0	0	0	0	0	22.3462	0	75.8175	0	0	0	0	0	0	0	27.2441	0	29.8377	766.0765	0	0	0	0	0	0	58.7426	54.7517	0	52.8691	0	0	42.5745	0	0	162.4884	0
"P108-PWY"	13818.204	6831.5164	10943.3922	12042.3553	13807.9748	10398.6873	18763.8795	23416.0161	10083.4691	7777.8929	14671.9431	12559.2837	8276.1326	5444.236	11782.5381	11419.9306	10139.6856	8108.998	14333.9895	11559.8734	9195.1337	6104.1282	9085.7517	9416.4794	11702.7256	11598.902	9760.562	10962.682	13149.4703	9554.6113	8015.6563	7495.1538	9797.2671	8238.3352	14386.6573	15488.9466	8142.7556	13120.6858	9541.5854	12814.4085	9608.7733	7847.6866	6757.3664	9590.1012	11412.4431	12234.0274	9339.711	7224.4211	8901.6067	5066.6906	10168.3235	9963.6404	5302.3936	9714.4936	7239.0887	10033.0088	8192.7888	8541.7385	12750.9581	12974.425	6741.1683	13670.3053	6732.9256	10033.8144	11739.1109	8983.4019	5490.7952	8399.9995	16425.1857	15196.2382	13370.543
"P122-PWY"	7581.9207	7123.1933	5013.9646	17140.9308	6026.9478	13266.0434	24079.6641	63385.5921	29140.3918	11674.4286	8529.3893	8979.5849	12688.5963	12211.2163	15734.6948	8113.7083	7400.27	17205.1397	11917.8429	12146.1288	4307.3564	12591.8401	16315.3158	12154.5284	8799.085	14806.9363	23273.8938	21250.3119	26663.8318	13980.7654	11172.0827	6079.2087	8529.8733	7015.8839	15001.4378	21512.9986	14638.1209	10675.0367	26520.0228	5408.9379	30198.5352	13308.1131	25378.9817	21604.7167	21434.4555	9809.835	11942.8828	13431.2637	23575.5547	16145.8979	11833.007	10720.5174	16705.0966	12202.4761	11803.9495	7233.7639	22731.1942	18448.9438	19102.0121	11974.899	14164.1025	10148.9357	18180.2161	24648.0097	18346.7016	27334.6709	11519.9718	13058.4716	9841.8064	9383.8556	21343.6605
"P124-PWY"	9587.2716	9650.7814	6292.3236	22010.4149	7548.515	16795.84	31331.2737	79651.4055	35748.2859	15099.2077	10741.8695	11356.6747	15984.743	15821.989	19903.6133	10540.0739	9248.6261	22333.7344	14929.6369	15628.5406	5417.5877	16268.1951	20265.2645	15282.2283	11269.5714	18202.6763	28860.9543	26197.43	33919.9838	18490.4438	14670.5511	7725.2182	10957.3556	9262.14	19020.9256	26589.4627	19058.5236	13037.8782	32182.924	6585.3924	36226.096	16867.0049	31150.181	26640.5905	27037.61	12182.6635	14802.6657	16700.0865	29407.563	19657.8337	14784.7345	13277.9761	20672.1062	15340.0151	14875.5792	8890.6866	28450.2371	22458.1564	23600.9825	14757.9191	17033.0893	12178.0767	22292.6819	29903.3015	23499.094	33349.252	14029.892	16362.9059	12108.746	11822.2723	26101.5679
"P125-PWY"	90.6665	0	0	3.7497	0	654.5091	79.3952	88.462	123.5853	65.8754	65.7069	52.3565	58.4102	0	22.4891	122.0924	231.7521	84.5915	6.7483	83.7847	59.1385	13.4951	53.9438	10.4969	14.988	401.1709	8.9989	61.4445	82.4188	68.8682	0	46.3119	76.1981	35.9056	0	121.2666	0	0	0	19.4558	2606.0725	50.9333	47.9728	106.3335	119.7838	89.6574	46.4377	83.8296	16.4962	32.9787	176.0686	220.2088	35.9742	68.8114	61.4004	104.282	0	106.3036	38.9739	60.6349	302.4066	22.4803	0	25.4914	107.7834	80.9259	0	41.9519	79.2242	223.4128	23.9911
"P161-PWY"	10191.7429	15843.2244	9775.8479	21828.1739	14889.7842	16516.9923	29334.0692	79565.9385	36669.0164	16388.0529	15402.6619	12055.0276	15993.5174	17623.8883	17819.2826	11888.5584	9834.9685	25113.8147	12940.0905	14323.2966	7914.146	18156.8663	19555.4929	13633.7383	10856.8113	16351.7054	31823.489	26166.5225	32077.021	21265.1426	13280.8143	9836.3236	13250.8693	18140.5939	18313.5701	23582.7746	24333.3932	11188.7444	33029.9817	10945.3061	39221.3165	16686.7291	32385.8021	26433.6579	29214.352	12760.5774	14377.9383	16711.0666	29348.7957	21132.0092	13928.657	12451.8714	21499.4691	12495.1597	13771.0604	6893.5896	30703.9999	21895.6998	21181.35	11977.5863	16690.4831	8850.6887	23757.504	29877.6661	21033.7825	34179.086	13556.4449	16765.6619	11204.1006	25530.5739	23638.3998
"P162-PWY"	978.1914	680.9302	706.9073	886.916	972.5033	1369.7872	1103.229	2137.4759	264.0766	441.7331	992.2395	883.4011	487.7935	332.0649	865.8816	1087.6899	733.0275	453.2791	779.445	317.0536	42.5474	612.3164	601.6514	574.9672	1039.6337	1036.9564	604.4871	360.0094	1759.6401	1182.1861	1185.8505	661.9484	465.4638	703.5832	1232.9177	350.6884	542.9777	161.3601	0	555.3273	450.1635	263.2431	448.2195	227.9298	401.7817	468.6317	257.8299	309.2683	119.1428	78.968	349.3268	444.1087	88.0444	499.4967	98.9988	117.9471	330.8297	329.9376	527.7001	319.8	90.4654	135.7893	301.0241	59.244	1243.6221	204.2159	147.8145	197.9889	167.3251	864.6871	466.9687
"P163-PWY"	158.0748	44.3903	55.1621	92.2378	121.5803	196.8694	322.5159	352.6152	120.8157	119.5356	174.3989	81.4992	58.9943	82.6927	102.2682	236.0684	154.935	134.7165	226.6935	330.7329	136.6412	93.1758	51.1146	75.8449	99.2712	293.77	67.3136	51.6732	152.3619	181.3254	94.3991	27.6153	158.4783	57.3479	98.395	92.3423	85.346	37.754	71.8791	80.2718	81.5998	60.3954	74.7031	136.2887	102.3622	102.1701	27.6379	52.9572	63.4479	31.595	178.7428	84.5271	33.9061	78.543	27.229	116.2616	59.8418	27.6261	59.239	52.7461	62.8489	149.1934	32.7483	43.3315	102.938	181.0408	36.6837	68.0491	186.9121	241.0267	141.3108
"P164-PWY"	4985.0735	5534.9316	5266.7649	5639.3734	7166.4665	3750.2555	7097.7004	16989.1441	2083.1129	2914.3188	6787.0641	4732.2772	2931.8497	3790.6742	3800.7735	5497.6493	4656.6509	9008.5329	4128.6585	4059.6244	4957.8478	5540.4095	2184.8475	2732.8461	4227.7598	3908.8564	7278.5578	2337.1343	5957.5617	8403.002	4202.5976	6528.8859	7289.3042	7984.5874	3322.3117	2908.6842	6106.262	2132.8725	1505.2871	4743.8506	6161.8119	2699.207	3744.1528	2363.5511	1788.2046	4096.1463	2400.1212	2469.0758	2579.5208	714.3471	2815.4366	3409.044	2997.8896	4815.4285	1062.2368	914.7224	5647.9748	886.5633	2424.1108	1844.221	1350.6673	997.5342	3733.9243	884.1766	4374.3226	2082.446	724.1425	4866.2137	3783.0306	15796.948	1281.9204
"P221-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.6511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P23-PWY"	1585.9424	514.1333	1025.6608	1248.2209	680.221	450.0229	10096.2959	7628.0446	3103.5833	1076.2365	1287.5352	4920.5633	3219.8044	2837.836	1372.3065	4257.7927	4977.6674	5274.082	6638.15	1406.5982	1785.6652	1933.9695	1041.2306	1480.819	985.1636	104.0704	343.2198	703.7515	1698.4864	1311.467	1064.6341	2925.0224	5697.1868	4520.051	2662.9263	1560.6493	552.6852	1162.4345	1306.7764	1378.0908	1396.7246	3330.9001	2297.394	2983.6021	1139.5851	2771.3833	4211.2123	3315.4918	1743.522	1930.9957	3728.9088	4046.3466	1522.7322	6448.437	1148.3863	2072.3421	3084.02	859.3322	2368.6131	1449.9505	426.2973	1400.8799	242.8801	795.9046	647.0497	980.7575	555.9438	2868.5985	5321.8256	5334.7544	3771.5012
"P281-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.6829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P341-PWY"	3391.2751	1016.7088	1026.2833	1120.0266	809.3744	1802.9926	862.4523	4717.7066	825.6238	2094.521	1041.4605	1479.6003	1314.2123	1210.836	1415.1423	756.1039	304.9603	1429.0898	2966.4613	1005.4172	1821.0439	388.7933	458.4591	1358.2634	2576.2366	1029.7713	2623.3479	568.7813	3928.972	6282.7758	1910.5428	1308.7583	3540.6967	3720.7018	1073.6628	1457.2786	1155.1335	358.7915	392.0406	494.9912	719.0587	233.5935	977.4687	880.1566	1252.6578	383.9209	569.311	1102.8271	554.2728	453.5373	114.5842	0	260.6353	1388.1728	72.3241	442.4225	355.2492	150.6363	739.1798	688.6957	279.7644	394.7673	1392.4466	511.8557	2493.646	1477.2866	414.3283	533.9976	1186.081	3141.2933	507.3094
"P381-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401.7245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P4-PWY"	5400.1582	5637.3533	965.5293	1087.6294	9087.0639	3044.4497	11401.5507	11228.1626	3845.7971	2936.5883	5630.1178	4433.901	3148.8724	9410.0977	2061.9379	3292.5596	4856.8594	11371.6279	9376.716	4192.8825	4325.6536	4051.9722	1700.5952	1266.9708	3486.0256	905.5751	3505.6709	1787.4683	4292.8851	4740.6363	3639.7472	3552.3312	4525.1238	4194.9447	11086.711	3185.6605	7284.2822	590.7759	454.3075	7835.9573	3633.5467	5609.8344	3499.3574	3232.471	5628.7625	3125.7511	3363.7465	3881.4628	12657.3281	3086.0037	1290.4982	5633.2457	7655.2768	7286.4782	1260.2659	5230.2273	5598.6889	1060.6471	1344.873	2970.4089	315.6547	3017.7476	2020.2832	2690.572	3161.4321	3656.7811	606.6052	1905.1159	7198.5233	5725.5314	5850.0931
"P42-PWY"	17327.0975	9541.2807	14738.054	16757.5642	17755.6864	14055.1811	24121.3398	34994.8007	16234.3168	11121.1844	21711.7796	17459.909	11985.6541	7665.7878	16153.5927	15866.1436	13586.6246	11073.8842	17719.6433	14434.469	10773.5858	9027.1285	13220.6228	12776.7259	15637.1508	16485.6866	15192.6608	16411.9079	19472.3765	13169.2183	10956.0756	9733.0065	13377.6701	10353.2959	19567.1774	21620.5119	12842.6752	18015.3452	14937.6244	16509.8848	15415.2365	10468.3451	10263.1229	15089.6367	18290.5913	18474.7551	13681.8363	11219.0303	13838.7899	7992.416	14723.3542	14031.1388	8152.6319	13558.7022	9268.6624	13294.003	12840.3229	12360.4556	17766.6421	17390.745	9877.2163	16456.4563	11399.5109	13962.6521	16804.2768	13998.6321	8033.7186	12975.0469	22292.4423	18625.8747	19320.9483
"P441-PWY"	13946.2206	16651.695	14272.6594	23125.2101	19131.4469	21432.4982	25581.841	70951.7592	11424.426	15301.6269	20850.4121	18103.8596	16785.2805	8175.5486	22924.0589	17104.5188	11415.9503	14093.3658	15199.9619	9272.0946	5824.0947	13121.8222	20100.9958	18390.4245	17326.1978	18879.4436	20622.1185	13070.874	33132.5626	25687.5062	20356.6303	12461.3552	12894.7065	23016.3399	24197.2114	8232.1269	18874.5951	5429.8093	5125.1727	13986.8063	2993.044	7573.1887	17885.7164	7717.601	14319.233	13330.9894	15194.4456	11847.0142	3784.5281	5618.5868	7511.2711	8623.5283	3679.159	13694.5934	2277.7161	3701.1531	12922.5264	13619.2126	16428.9388	7552.5605	2724.1658	7464.0948	11208.2897	4455.5048	21878.2852	4651.2041	4386.5793	6354.8561	8971.9703	24481.9148	15709.2424
"P461-PWY"	3564.3958	4751.9468	2631.1741	11730.7242	3288.1018	12513.059	10224.3954	38482.5328	4158.325	7560.6893	7132.2952	7137.5569	9335.4193	2790.1577	14473.2275	7067.1733	4429.7048	5185.7384	4179.4646	3363.5663	1329.5861	5813.5344	12366.2675	11634.7015	7229.825	10725.0392	9052.6215	5177.5857	18509.4426	12757.2134	9491.2365	4738.979	5546.8735	4122.9015	11971.3397	2906.5282	7876.9708	1920.2213	1665.9442	3249.7211	924.0027	2809.5413	7743.7175	2724.194	5695.5541	5938.1129	9137.8256	5423.7549	1199.9736	1991.8874	2966.0934	3466.4551	1205.5155	5599.9795	728.8996	1269.6977	4958.4351	6281.482	7697.8393	2923.0601	883.4827	3060.4777	4445.6793	1445.7202	11174.9233	1488.0576	1561.4266	2332.7169	3521.051	5035.7105	6834.7871
"P562-PWY"	180.637	55.8314	199.4008	297.8001	154.9649	426.3711	120.2783	1514.7505	223.359	146.03	293.5366	193.5717	173.3855	96.4046	571.7257	144.2356	171.9209	198.519	97.5442	180.241	245.02	71.6881	29.9706	391.8811	284.1565	132.0271	384.5544	158.9863	489.477	976.1196	375.0522	606.1353	334.6882	732.5107	59.3459	177.4075	119.2951	41.6479	53.57	144.7439	249.1133	0	347.3246	268.0254	97.1004	131.484	73.8344	118.4731	35.0688	96.7966	37.7674	96.3305	0	102.0813	11.9282	51.3135	52.8252	26.5611	170.8318	91.1592	41.2234	28.3904	195.9488	33.788	272.9921	179.8236	77.2358	212.5628	188.409	623.4896	16.2605
"P621-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PANTO-PWY"	11180.9754	5894.8347	11977.5815	10507.1386	11995.935	8775.0924	17500.2443	21678.6831	8778.2293	7415.2044	17728.2966	10617.5152	7423.4395	5249.3543	9197.8733	12527.7656	9061.3009	9117.6955	11200.9231	10127.0944	7411.0635	6774.8976	7597.5726	7187.0324	10141.6162	8575.6571	9856.0551	8304.5376	11765.8025	10254.2021	8403.3449	7165.8138	8773.0969	8645.0456	11784.3176	12428.6168	7163.0661	10245.2231	7500.87	10678.6364	8092.0124	6527.3334	5559.8227	8193.0862	10092.8074	12036.4002	7738.7709	6223.7843	8342.4781	4058.9239	8831.2487	7880.0637	4991.0171	9400.4324	5216.7191	7827.0893	7810.1221	6961.1176	9346.4529	10021.1847	5346.6738	10720.4244	6447.5136	8217.691	9979.9925	7240.3771	4310.1556	7635.8306	12922.9574	12422.0988	9926.2518
"PANTOSYN-PWY"	13449.1186	7849.6703	13836.2707	13612.7382	14337.0584	11013.5683	22383.6055	29336.013	11896.016	9667.9774	20000.4954	12895.2922	9678.1324	7071.542	12056.5055	14073.6187	10864.3209	11829.6659	13713.0334	12843.597	9016.879	8804.0491	9696.9234	9426.3101	12330.8452	10837.3699	13211.8328	11466.4915	15802.5534	13170.5889	10716.8973	8845.9224	11034.3533	11209.679	14949.6589	15500.3149	9638.4607	11840.7117	10495.142	12672.426	11265.4011	8678.864	7957.9765	10890.1482	13054.6929	14226.8844	9277.053	8355.0516	11124.1294	5690.9865	10579.1865	9957.8312	6818.9613	11595.7745	7102.4766	9188.7704	10628.9426	9181.8457	12097.7735	11999.1145	7166.5068	12346.9855	8886.79	11277.4783	13121.5401	10313.8155	5898.7012	9710.7959	14856.7481	15862.2302	12935.4044
"PENTOSE-P-PWY"	12362.8619	9394.533	10589.6979	16483.4088	11784.3702	14129.9859	23465.3253	44346.6774	12344.1857	10735.3011	16225.6364	12903.7523	11553.8149	13860.8959	13305.9649	12428.7456	11513.3243	18423.4667	15515.6192	13795.7402	8346.8818	12091.5789	10920.8009	10148.3302	12003.9364	12822.1563	19087.9422	13252.2171	21021.7951	16959.451	12121.4535	9595.1143	12895.1121	10610.5243	17030.3213	15012.6619	15679.8809	11444.3708	9797.4198	11465.9588	19528.9276	9549.9221	12013.3973	10768.5131	13725.3995	14381.8082	9278.2956	10168.0858	17343.7068	5818.5308	10576.0714	11182.4527	10571.0807	13200.8024	6484.3842	7912.9232	15116.4737	7039.4816	10625.7005	9172.7722	6618.6051	10981.3474	11821.1513	6932.5892	15788.4149	13286.0653	6233.9039	11014.3264	14987.9382	16682.8993	13435.7475
"PEPTIDOGLYCANSYN-PWY"	23253.4537	24772.4146	20612.1669	30740.3989	24246.9564	23435.5497	48405.1883	87066.7275	35508.5292	21484.1225	28405.1874	21664.5147	20460.5991	23536.5578	25191.5416	21265.0162	17846.3941	30213.188	25407.2151	26049.2054	16848.5499	21272.9407	22599.7631	19546.8567	21335.9588	22953.4285	34778.9001	29402.9983	40740.0517	31023.5799	24272.5472	17098.1065	22599.1139	27165.4502	31214.2844	29171.9246	31294.4233	18784.0537	32052.5858	19526.0183	36411.9221	20494.2038	31318.395	27321.0659	32341.5198	21052.8957	17544.2875	19124.6372	29370.8504	19816.39	18302.7803	17865.9561	20322.6445	21168.8643	16301.2881	14294.1576	31163.2495	22565.7239	26072.0043	19281.1557	17390.5839	17050.0285	24544.9556	29273.1816	30393.7011	33333.1664	14809.4125	19007.9483	21344.1226	33537.6747	28592.7578
"PHOSLIPSYN-PWY"	23705.1401	27481.1546	21318.9527	31837.8833	25387.173	24062.8594	50628.7213	89882.2539	34507.4291	22045.3049	28688.9377	21860.5617	20725.7406	25498.3282	25181.4015	21327.8749	17640.2057	32208.8614	25459.0962	27250.4596	17436.5208	22249.3037	22422.1297	19609.1544	21769.1259	22330.3712	35883.9785	29033.2159	41787.4998	33554.6244	25840.3686	17920.4185	23722.1826	29359.3629	32227.0356	26650.8112	33915.5234	17013.1726	30955.6149	19462.7577	35729.7326	21002.4431	31819.5699	26247.2933	31726.4886	20115.3148	16587.7249	19016.2171	29031.189	19482.9558	16694.3059	16966.5474	20395.6241	21781.4081	16451.2229	12329.8008	31864.3822	21504.3098	25198.132	17612.7526	16366.0074	14600.4211	24757.5566	27406.4914	31043.1161	32836.181	14230.8202	18213.0433	19122.924	34468.2341	27118.3008
"POLYAMINSYN3-PWY"	489.7355	173.3258	446.9315	322.5421	998.2939	564.7248	1631.7119	2526.5769	604.1553	366.1272	859.3712	592.4855	153.4657	140.7055	477.2133	484.1604	556.9861	811.157	641.7301	1280.031	685.009	193.0682	504.6204	394.69	1040.4778	455.2829	1035.5864	350.4282	1051.2638	1354.6861	657.6853	1189.8176	912.803	749.8851	405.5508	784.8953	130.5767	363.2188	126.9567	922.3388	1123.5078	835.7855	492.3372	594.6878	287.3657	1082.7056	314.2535	200.6545	223.1821	128.9865	468.4408	459.3943	320.172	1063.2462	871.8731	580.3571	404.6411	419.5896	669.009	974.5623	260.4139	336.316	586.0394	312.522	959.2771	666.336	157.2327	958.388	1109.2272	1510.1251	409.9544
"POLYAMSYN-PWY"	1121.1952	577.0442	685.6141	946.1233	1016.1399	1628.7669	2771.5643	2800.7538	1109.456	982.8764	1145.9043	936.3034	632.1499	627.7437	865.8873	1241.0785	1013.1296	1836.1669	1073.0656	1344.6441	1109.6944	898.9216	544.9963	440.1291	1391.8264	1050.0143	1146.8348	1062.9304	1909.7648	1654.5305	919.7997	1447.4792	1115.5584	783.6495	771.8806	1296.9637	789.0675	498.921	497.1119	940.2183	3596.3895	1069.4452	574.2837	942.6616	1004.2043	1411.6679	445.3803	609.916	437.0875	660.3415	1271.3026	797.4533	338.7151	1065.7327	872.5529	1070.0231	950.9219	435.3168	694.4639	1000.2059	518.7689	356.9062	698.8297	679.426	1687.6485	1052.4711	170.3264	1385.6097	1328.3516	1546.176	450.0823
"POLYISOPRENSYN-PWY"	13752.7614	8909.7887	11843.2992	20002.4652	15335.8652	16108.6719	28962.4141	68245.0895	29724.5197	13875.9017	16979.3096	13952.6385	14638.4444	14698.8037	18486.7372	13311.2431	10890.9207	19584.116	14874.7613	15664.767	9439.5164	14080.1848	17737.4849	14416.7527	13454.7654	16442.0622	25347.5409	22365.3341	29867.9972	18419.2779	14247.1187	8509.1283	13191.6472	13131.4913	18718.0178	22309.0681	17406.7431	13440.4671	26717.9664	13717.8466	30629.9015	14971.2555	26084.1627	22300.575	23581.2279	13781.0686	13376.5963	14530.7951	24187.6842	16433.853	13780.7702	12275.811	16933.8428	13767.7267	12778.1299	10465.1571	23816.5522	18641.3329	20273.3426	13747.7183	14208.9066	13697.3184	19036.3823	24379.7213	20700.2398	27875.2607	11998.6195	14351.6239	16132.6195	17730.8497	22386.6841
"PPGPPMET-PWY"	416.7378	44.9694	14.9951	24.991	99.8319	24.9879	129.8511	147.0398	74.9299	44.9572	54.9528	32.4784	0	14.9965	0	109.7264	72.3763	133.3408	69.92	194.3868	0	0	12.4969	12.4963	29.1565	14.9957	9.9987	3.9248	32.4883	24.9909	186.8715	34.9686	216.6423	0	27.4902	348.1449	127.3017	17.4931	19.9945	261.0749	239.3007	152.012	62.7946	84.8834	62.4442	813.42	37.4641	0	22.4935	0	198.6872	62.4093	17.4938	388.7585	331.9785	9.997	49.9663	14.9956	139.6649	22.4884	0	42.1055	0	19.2694	97.3602	42.476	77.323	29.9795	475.2338	99.838	37.4789
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284.3054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRPP-PWY"	4512.4335	3833.5164	3113.4606	4457.1344	10121.9918	4763.2244	16128.8228	16441.5593	6865.911	5343.9052	6266.2754	6620.9691	3522.5626	4870.3968	6416.3912	4924.2815	5105.7804	7889.7667	7334.927	10186.0972	3928.2473	6794.9855	7321.5955	4798.2031	7100.1759	6857.3602	7599.9357	9802.4374	10945.5823	5106.8919	5408.5498	4919.0814	6448.1305	5504.2542	5408.31	8363.4072	3805.3995	4889.6656	3906.3062	9075.2429	5609.292	7008.0999	3740.5716	5603.4235	7261.2746	7598.4508	4750.3277	3492.2619	7147.7462	2098.8958	4653.0251	5005.8812	5422.8583	12600.2615	9052.7553	5929.9806	7258.7389	7012.2482	9750.8012	9851.9621	4125.823	5502.8133	5942.3893	7350.1932	9938.5378	3410.5578	3514.7433	5957.739	9822.4992	11273.2056	6598.2433
"PWY-1269"	6697.264	3182.3246	5427.4594	5583.7501	7694.1941	5683.6881	8601.1482	11812.2752	5801.2939	3656.6666	8122.3976	7142.3909	4165.2882	2376.1254	6525.8648	6684.8887	5362.7883	3376.1809	7106.6622	5510.5918	4433.0129	2790.8161	5309.7524	5325.6671	6791.4383	6575.4954	4495.1519	5628.6944	6929.4926	4895.333	4314.8062	3603.003	4897.812	5186.2401	7466.121	9831.6385	3801.0445	7822.2605	5508.4511	7727.9647	6223.415	3592.2503	3260.5497	5594.1413	6013.1181	7524.7101	5912.3186	3744.6167	4678.956	2597.4443	6315.8369	5588.1444	2586.3914	4405.5527	3863.3426	6500.7468	3678.4504	5361.7765	7206.4305	7953.8411	4276.0243	9471.826	3448.6505	6434.5017	5924.6017	4928.2837	3136.875	4859.6571	10352.1433	7712.6804	7986.3639
"PWY-1422"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1700.5802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-1622"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-181"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
