"PFF_Cecum_11"	"PFF_Cecum_12"	"PFF_Cecum_13"	"PFF_Cecum_14"	"PFF_Cecum_15"	"PFF_Cecum_16"	"PFF_Cecum_17"	"PFF_Cecum_18"	"PFF_Cecum_19"	"PFF_Cecum_1904"	"PFF_Cecum_1906"	"PFF_Cecum_1907"	"PFF_Cecum_1908"	"PFF_Cecum_1910"	"PFF_Cecum_1913"	"PFF_Cecum_1914"	"PFF_Cecum_1917"	"PFF_Cecum_1920"	"PFF_Cecum_1921"	"PFF_Cecum_1937"	"PFF_Cecum_1938"	"PFF_Cecum_1941"	"PFF_Cecum_1942"	"PFF_Cecum_1943"	"PFF_Cecum_1944"	"PFF_Cecum_1945"	"PFF_Cecum_21"	"PFF_Cecum_25"	"PFF_Cecum_27"	"PFF_Cecum_28"	"PFF_Cecum_30"	"PFF_Cecum_32"	"PFF_Cecum_35"	"PFF_Cecum_36"	"PFF_Cecum_37"	"PFF_Colon_11"	"PFF_Colon_12"	"PFF_Colon_13"	"PFF_Colon_14"	"PFF_Colon_15"	"PFF_Colon_16"	"PFF_Colon_17"	"PFF_Colon_18"	"PFF_Colon_19"	"PFF_Colon_1904"	"PFF_Colon_1906"	"PFF_Colon_1907"	"PFF_Colon_1908"	"PFF_Colon_1910"	"PFF_Colon_1913"	"PFF_Colon_1914"	"PFF_Colon_1917"	"PFF_Colon_1920"	"PFF_Colon_1921"	"PFF_Colon_1937"	"PFF_Colon_1938"	"PFF_Colon_1941"	"PFF_Colon_1942"	"PFF_Colon_1943"	"PFF_Colon_1944"	"PFF_Colon_1945"	"PFF_Colon_1946"	"PFF_Colon_21"	"PFF_Colon_25"	"PFF_Colon_27"	"PFF_Colon_28"	"PFF_Colon_30"	"PFF_Colon_32"	"PFF_Colon_35"	"PFF_Colon_36"	"PFF_Colon_37"
"ARGSYNBSUB-PWY"	19716.3902	22693.4926	18054.6823	21381.3229	22559.0124	16173.3668	35442.1797	46861.4796	9317.0347	13811.7391	24470.6978	16677.5179	12517.0313	17335.0099	15767.6014	17283.3139	13330.7334	21245.1519	18542.7749	20106.4794	15295.5933	14748.5067	11541.7376	12382.189	17412.2999	13455.3547	20110.3522	13633.7601	25151.0771	25266.9604	19721.7932	13853.9388	17812.4421	20503.5938	23682.1558	9852.3057	25091.8321	9183.1812	7331.9878	16987.4523	10551.2197	11588.8992	11936.1102	8155.9062	14422.5078	15091.0224	7845.0551	9352.6078	10078.4079	5286.27	8064.376	9846.6099	6719.7421	15736.65	8402.3906	8975.3006	16110.3295	6319.4499	11858.679	10168.133	4250.631	6088.4256	11434.9865	4426.4051	20110.1349	9831.4157	4900.9319	8293.9546	11552.1425	22026.7292	10908.5364
"ARO-PWY"	22698.0572	24594.5354	20757.9336	21684.5783	24747.9197	16314.9729	37559.4823	41316.9827	9876.5281	14703.482	27198.2662	18246.7773	12681.465	18096.548	15305.6867	18693.9228	15360.2367	22068.7904	20688.2911	20701.0406	17323.2879	14360.5371	10713.9561	11875.838	18141.8007	13642.4813	19683.6315	13882.8765	23320.0127	26108.0541	19951.3924	15602.3925	19882.6436	25321.3269	24904.246	12719.0053	25843.384	12099.3351	8477.879	19049.1086	11193.6611	11987.866	10060.8559	9269.969	16740.5101	16932.3212	8910.086	9742.3365	10453.8487	5591.3163	10000.5715	11638.4791	6787.9971	17170.3396	7706.6831	10808.7546	14863.832	6654.5461	11991.0786	11607.09	5273.9283	8070.7551	11071.1408	6482.5411	19714.2905	9878.2748	5344.8877	9849.6256	15535.8014	30626.7774	12111.0383
"ASPASN-PWY"	22077.4644	23224.2416	20174.8716	26611.5286	22985.083	20925.3498	42753.1122	62243.2577	21106.9052	18293.4161	27528.1972	20563.2731	17125.3633	19501.0083	21897.9437	20131.7549	17154.7562	24671.5143	23989.2652	23484.3626	15780.7562	17249.1329	17469.7437	17042.6872	19358.8211	20437.8015	25969.5829	21193.7709	31978.5637	27979.7866	21163.4113	15368.9918	19785.8117	24659.4667	29073.28	25215.889	27634.1357	18690.7366	19152.9165	18819.1249	23172.0736	16019.8622	17847.8696	18782.2796	25221.1385	20069.9659	15706.1945	14900.9046	18863.0655	11142.4806	16916.0255	16643.2733	11826.5555	18757.4853	11623.5478	13375.1129	21453.4716	15339.9584	20991.6149	17916.2522	12302.075	17554.8276	16720.7441	18356.7233	25418.1473	20244.5967	10314.0264	16057.4005	21378.9073	31183.2816	23456.2499
"AST-PWY"	0	0	0	0	0	0	0	6.86	0	0	0	0	0	0	0	1	0	1.43	0	0	0	0	0	0	0.67	0	0	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14	0	0	0	0	0	0	0	1.86	0	2	4.71	0	0	0	0	0	0	0	3.86	0	3.71	0	0	0	0	0	11	0
"BIOTIN-BIOSYNTHESIS-PWY"	691.8004	96.6676	509.1375	281.7963	332.9126	673.9363	1081.6914	1532.7273	418.025	505.4279	1774.8403	2208.1019	332.0167	279.8174	222.4654	240.1155	488.6711	866.9755	634.7715	146.0797	713.5923	147.4943	256.4044	135.2219	176.5959	607.9764	254.1486	408.5935	335.5152	258.4343	287.6474	386.5155	482.5406	159.118	255.8059	1239.9778	110.612	908.0929	284.5394	190.1724	481.7551	317.8809	399.1323	219.8318	972.1236	1545.243	1117.3491	483.6594	688.8696	77.3682	213.3811	322.1343	826.5089	808.475	34.7981	807.3655	194.3439	201.9444	133.1075	341.3653	343.1574	328.7188	273.9006	638.9654	292.0875	306.4885	376.0768	397.0793	1706.5794	680.0025	730.9731
"BRANCHED-CHAIN-AA-SYN-PWY"	26163.3976	26818.0138	23170.3633	26862.5729	28537.9629	21380.2053	43039.8128	58791.7452	16166.3387	17142.9302	31157.3144	21982.1716	16360.029	19945.5017	20837.3902	22405.16	17713.7286	25137.2848	24558.4482	25415.0125	19303.3417	17817.1807	15680.4863	16431.3126	22599.6159	18900.3253	25109.5523	19747.525	31680.8061	31559.18	24045.4491	17816.9701	23338.3643	25802.6016	30014.8424	20393.3277	29798.0799	16661.6566	14223.6434	22739.2365	18194.3148	14392.5119	15472.971	14691.9692	19583.3415	20898.8193	12828.5813	13130.4427	14773.58	8196.1973	14062.9396	14677.2708	9171.6515	19961.7077	11159.7435	13736.5295	20086.1652	11770.9034	18143.5532	16741.4114	9274.7211	15264.4312	15169.6547	12923.8681	25634.0781	15874.3101	8290.4164	13549.6876	20638.917	30233.2733	18884.0826
"CALVIN-PWY"	30230.8558	30222.3737	26964.8823	33929.0121	29840.4439	27070.2106	56341.5608	79713.4385	21986.7879	23082.8414	36125.4052	25485.9808	20910.048	27297.897	25562.2879	24892.2824	21308.9649	33494.743	31411.6157	31974.032	22408.0288	21829.3529	19584.6093	20204.9221	25585.5441	22992.2366	33749.0378	25005.1419	39233.5599	39449.094	30197.3756	21757.9061	26929.9719	38071.6678	35771.927	23998.7798	34211.1975	19046.9393	19719.2998	22900.5905	26156.2399	19524.2883	22308.834	18977.2014	28130.3094	23617.375	15613.2785	17240.925	22182.8251	12130.0537	15986.2078	18328.1382	14018.0029	24802.0614	13276.327	14262.6151	25968.0011	14830.6848	21569.4286	17969.531	12083.6488	15760.4706	20553.4283	16480.9902	30879.3938	21549.9474	10962.6485	16716.3406	22239.3537	43942.6675	23391.3809
"CATECHOL-ORTHO-CLEAVAGE-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.5385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CENTFERM-PWY"	118.7716	0	0	0	138.5516	93.455	0	47.9243	0	0	31.406	0	0	0	27.888	69.4084	20.9456	27.4549	0	90.2847	0	0	31.2577	0	4.6875	69.3104	0	10.9703	32.2937	0	0	31.3878	0	0	0	502.6827	0	0	0	295.3054	324.1192	0	35.7501	6.9866	0	20.9227	10.4668	0	0	0	141.5094	53.7559	24.3421	547.9503	117.1697	98.9289	0	90.2129	38.2114	38.1719	57.8855	66.877	0	35.7321	9.617	24.3866	31.0613	89.4113	27.8782	114.5408	240.2716
"CHLOROPHYLL-SYN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4208	0	0	3.0905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573.3717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.3316
"COA-PWY"	20811.5986	23123.6945	19272.7268	28248.707	23249.7182	21157.4862	44196.5139	77908.7425	32148.1162	19682.4619	26360.5251	19683.4812	18533.3092	21863.3581	22775.3136	19706.012	16538.1822	27314.517	23238.4351	24404.0716	15268.2098	19388.3291	20776.3635	17773.2637	19008.8862	20537.3218	31217.5777	26920.9209	36644.9504	28235.3201	21230.2605	15102.5476	19064.2534	25075.0092	29262.7551	26986.045	28948.5821	17711.1571	29220.2384	18998.6732	32364.382	18913.9021	28057.7308	24816.9269	29597.4674	19686.8438	16273.695	17364.3813	26965.7622	17862.1286	16918.5852	16646.1543	18708.8431	19597.9054	15494.9303	13284.5368	28310.0558	20725.006	24077.9727	18228.2016	15832.7375	16303.0845	21973.9199	26813.9165	27278.6929	30383.2336	13412.0389	17359.8278	19959.3598	31013.9464	26574.0266
"COBALSYN-PWY"	11131.1396	16385.5748	11067.2769	9932.1738	15375.1851	7327.3372	14606.4129	19924.4136	4426.5176	5981.3931	15726.859	8562.8003	5965.9132	11389.9619	7079.4013	10475.9456	7420.0046	11763.029	10231.01	8589.3334	7805.0011	7778.6747	5733.8677	5344.4757	9630.9178	6283.8084	9706.9035	5684.2243	11997.8545	13622.3587	9200.3232	6918.7129	10863.0711	7343.821	13894.6946	5681.6643	17318.0004	4569.8402	3272.6037	12230.7659	5888.1165	4366.5179	4837.8545	3878.2958	5883.3494	9160.5858	3583.5861	4482.3074	4995.5502	1836.411	4606.6561	5121.3288	2564.1878	8286.8497	3380.5846	2960.3712	7487.6904	3052.4153	4799.7942	5273.6096	1967.8086	4934.7449	5377.4097	1836.2306	9638.3861	5431.3027	2606.7732	4083.1799	6513.4665	9173.314	5808.558
"CODH-PWY"	261.3846	82.8486	180.1338	254.82	200.0891	105.7243	130.8033	538.1042	173.5264	208.8539	688.6467	470.1192	202.8588	102.753	198.0976	445.5126	526.3265	232.0114	221.9216	34.9744	416.5086	136.5066	55.9209	109.642	146.4094	439.1853	446.7815	245.837	148.6885	122.7269	42.9563	114.5627	249.4581	69.8936	104.8035	506.1143	67.9196	256.1105	214.2085	108.6711	46.9665	24.9832	121.7352	151.5321	413.0636	768.3039	194.7625	209.7154	266.6451	115.6263	272.7431	406.8677	180.1127	137.4609	25.9774	616.5658	187.3726	65.8931	137.5977	100.7141	211.5765	80.7922	417.0245	359.5339	165.4847	25.9888	11.9946	150.3307	613.0203	72.9087	178.3812
"COLANSYN-PWY"	7827.2773	7255.8679	6886.2176	12091.3074	9611.8675	10599.1515	19031.9311	28373.8098	11209.7795	8053.3884	10704.1383	11657.2723	8448.8211	6611.7904	11970.7059	10772.4429	9053.6619	9219.9918	11794.9714	10675.518	5908.0745	6542.9825	9465.5579	9491.0369	10623.3482	11217.5397	10352.704	10807.3011	14747.7137	11189.1973	9448.7427	7559.03	10275.6913	11830.4948	13826.4136	15075.3786	9789.7811	10400.3563	10392.3558	8415.9767	10263.5454	7591.7111	8130.1565	10172.9097	11598.8874	10177.5416	9134.7932	7388.8041	9503.9669	5586.2105	9745.0719	9290.1352	5397.4321	10926.047	6435.3841	8042.8732	8509.2256	8985.1949	12141.8085	10867.8375	7031.42	10143.5102	7385.3447	10776.8063	12168.0347	9981.2754	5621.1877	8578.1653	13328.5385	15723.191	13440.7442
"COMPLETE-ARO-PWY"	23655.9023	25746.2815	21663.5431	22493.3001	25995.318	17054.3081	39287.2415	43609.6448	10798.3476	15334.3459	28398.5819	19040.2585	13274.1399	18882.7728	15990.1698	19460.2147	16042.578	23025.8646	21622.671	21714.4287	17997.7064	14989.8114	11355.7461	12446.7295	18899.0346	14328.3879	20487.187	14717.4794	24211.962	27070.9875	20819.7948	16262.3672	20748.7048	26457.6773	26124.5621	13567.4443	27063.4752	12847.8623	9291.4405	20101.1409	12183.1551	12530.5844	10905.771	10040.3389	17463.8015	17791.5124	9418.4526	10216.9007	11106.4487	6101.1316	10535.1339	12229.7029	7182.4566	17892.8567	8186.5397	11301.7531	15668.1861	7262.5355	12753.7557	12336.6475	5746.0341	8754.5257	11751.4341	7151.4561	20513.3488	10764.1546	5764.3117	10311.0772	16452.8971	32041.1529	12923.4908
