feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.331.JEJ_S219_L001_R1_001_F_filt.fastq.gz	-0.731163206735457	-1.66007070327531	-4.61082593441516	-10.6726021320018	-6.37003936198142	-5.19147544226523	-12.5794927276104
Julianne.536.JEJ_S211_L001_R1_001_F_filt.fastq.gz	-0.24030910461029	-10.5347389091829	-13.0592693419761	-12.49001516158	-13.0749776623012	-2.70701695265958	-14.2804083112585
Julianne.547.JEJ_S206_L001_R1_001_F_filt.fastq.gz	-0.266206365427418	-2.75073809778335	-6.02453369699761	-13.49001516158	-8.38067750722289	-9.32409397885652	-14.2804083112585
Julianne.579.JEJ_S207_L001_R1_001_F_filt.fastq.gz	-0.196534372535045	-3.11992998342657	-8.68496238152215	-11.7205862912529	-9.79458687269664	-6.88264304936184	-14.2804083112585
Julianne.604.JEJ_S208_L001_R1_001_F_filt.fastq.gz	-0.786683357702386	-1.49503184708324	-4.52565130477974	-11.6024669018306	-6.79511197977297	-6.31091245598673	-12.1874294025517
Julianne.719.JEJ_S218_L001_R1_001_F_filt.fastq.gz	-0.940410372359857	-1.13104593333544	-5.72993539209868	-10.1222528148774	-9.29217781631975	-9.97024972143239	-14.2804083112585
Julianne.856.JEJ_S200_L001_R1_001_F_filt.fastq.gz	-0.432162342791703	-2.12113806536169	-5.77058374851585	-12.3373989025267	-7.28428756606718	-7.94508147974798	-14.2804083112585
Julianne.891.JEJ_S193_L001_R1_001_F_filt.fastq.gz	-0.432087196422262	-2.07113417995743	-7.69827405092298	-12.3421302406977	-6.39727179489016	-7.97755780840185	-14.2804083112585
Rep1.Julianne.337.JEJ_S134_L001_R1_001_F_filt.fastq.gz	-0.27317541995624	-2.60949199322234	-8.61188809913917	-11.5815144500956	-8.10038776035903	-8.95702358518786	-13.1664769508168
Rep1.Julianne.351.JEJ_S150_L001_R1_001_F_filt.fastq.gz	-0.924644288711299	-1.21650770112964	-4.82097669262124	-12.2804083112585	-8.57996859311745	-7.77261367105984	-13.2804083112585
Rep1.Julianne.544.JEJ_S178_L001_R1_001_F_filt.fastq.gz	-0.561171231493044	-1.93086574531113	-4.76191382492514	-13.49001516158	-7.25787131958755	-5.91391691837019	-14.2804083112585
