	pielou_evenness
Rep1-Julianne-661-CEC_S111_L001_R1_001_F_filt-fastq-gz	0.8642712098196976
Rep1-Julianne-663-JEJ_S126_L001_R1_001_F_filt-fastq-gz	0.5114589914022679
Rep1-Julianne-665-COL_S180_L001_R1_001_F_filt-fastq-gz	0.7356194213800489
Rep1-Julianne-667-COL_S173_L001_R1_001_F_filt-fastq-gz	0.7469614774713911
Rep1-Julianne-716-JEJ_S110_L001_R1_001_F_filt-fastq-gz	0.7396420404303751
Rep1-Julianne-717-JEJ_S102_L001_R1_001_F_filt-fastq-gz	0.6915501149566143
Rep1-Julianne-835-CEC_S158_L001_R1_001_F_filt-fastq-gz	0.7307744969980845
Rep1-Julianne-835-COL_S151_L001_R1_001_F_filt-fastq-gz	0.8166247425425835
Rep1-Julianne-838-COL_S128_L001_R1_001_F_filt-fastq-gz	0.8132913730519892
Rep1-Julianne-840-CEC_S109_L001_R1_001_F_filt-fastq-gz	0.7881707479770402
Rep1-Julianne-840-COL_S141_L001_R1_001_F_filt-fastq-gz	0.7277486449329006
Rep1-Julianne-840-JEJ_S177_L001_R1_001_F_filt-fastq-gz	0.6603286802521106
Rep1-Julianne-841-JEJ_S104_L001_R1_001_F_filt-fastq-gz	0.7105311148876227
Rep1-Julianne-842-CEC_S117_L001_R1_001_F_filt-fastq-gz	0.8102423542814589
Rep1-Julianne-842-COL_S133_L001_R1_001_F_filt-fastq-gz	0.7891208177262291
Rep1-Julianne-847-JEJ_S112_L001_R1_001_F_filt-fastq-gz	0.631672521021812
Rep1-Julianne-853-JEJ_S120_L001_R1_001_F_filt-fastq-gz	0.5015254554209949
Rep1-Julianne-856-CEC_S172_L001_R1_001_F_filt-fastq-gz	0.7792314492250738
Rep1-Julianne-858-CEC_S171_L001_R1_001_F_filt-fastq-gz	0.780425405397701
Rep1-Julianne-858-COL_S149_L001_R1_001_F_filt-fastq-gz	0.7505125172271226
Rep1-Julianne-858-JEJ_S164_L001_R1_001_F_filt-fastq-gz	0.4029283151928249
Rep1-Julianne-872-CEC_S125_L001_R1_001_F_filt-fastq-gz	0.6303274534223073
Rep1-Julianne-872-COL_S157_L001_R1_001_F_filt-fastq-gz	0.761076745289875
Rep1-Julianne-872-JEJ_S101_L001_R1_001_F_filt-fastq-gz	0.5542661863485787
Rep1-Julianne-882-CEC_S165_L001_R1_001_F_filt-fastq-gz	0.8112759578471596
Rep1-Julianne-923-COL_S135_L001_R1_001_F_filt-fastq-gz	0.822210073144359
Rep1-Julianne-924-COL_S143_L001_R1_001_F_filt-fastq-gz	0.8162097043346341
