"","MouseID","Weight","SLC_Genotype","Sex"
"1",1907,22.6,"HET","F"
"2",1908,21.4,"HET","F"
"3",1942,23.2,"HET","F"
"4",18,NA,"HET","F"
"5",32,26,"HET","F"
"6",36,33.5,"HET","F"
"7",1938,30,"HET","M"
"8",1945,28.4,"HET","M"
"9",1943,24.9,"HET","M"
"10",28,25.9,"HET","M"
"11",11,27.7,"HET","M"
"12",16,25.5,"HET","M"
"13",1910,24.9,"MUT","F"
"14",1917,23,"MUT","F"
"15",1921,20.8,"MUT","F"
"16",1946,31.6,"MUT","F"
"17",35,24.3,"MUT","F"
"18",37,24.7,"MUT","F"
"19",1904,NA,"MUT","M"
"20",1913,28.5,"MUT","M"
"21",1944,28.5,"MUT","M"
"22",15,27.3,"MUT","M"
"23",21,28.1,"MUT","M"
"24",30,23.6,"MUT","M"
"25",1920,24.2,"WT","F"
"26",1941,NA,"WT","F"
"27",17,22,"WT","F"
"28",19,21.3,"WT","F"
"29",25,23,"WT","F"
"30",27,24.9,"WT","F"
"31",1906,31.2,"WT","M"
"32",1914,26.6,"WT","M"
"33",1937,29.3,"WT","M"
"34",12,25.3,"WT","M"
"35",13,26.9,"WT","M"
"36",14,30,"WT","M"
