Mouse ID ,Batch,Score_HB,SLC_Genotype,Sex ,Score_Truncate_HB,Score_Severe_HB,Score_Truncate_ID,Score_Severe_ID,Score_ID
18,4,1,HET,Female,1,1,1,1,1
32,5,0.5,HET,Female,0,1,0,0,0
36,6,0,HET,Female,0,0,0,0,0
1907,1,0,HET,Female,0,0,0,0,0
1908,2,1,HET,Female,1,1,0,0,0
1942,3,0.5,HET,Female,0,1,1,1,1
11,5,0,HET,Male,0,0,1,1,1
16,6,1,HET,Male,1,1,1,1,1
28,4,0.5,HET,Male,0,1,1,2,1.5
1938,1,0.5,HET,Male,0,1,0,0,0
1943,3,1,HET,Male,1,1,0,0,0
1945,2,1,HET,Male,1,1,1,1,1
35,5,0.5,MUT,Female,0,1,1,1,1
37,6,1.5,MUT,Female,1,2,1,1,1
1910,1,0.5,MUT,Female,0,1,0,0,0
1917,2,0.5,MUT,Female,0,1,0,0,0
1921,3,1,MUT,Female,1,1,0,1,0.5
1946,4,0,MUT,Female,0,0,0,0,0
15,4,0.5,MUT,Male,0,1,1,1,1
21,5,0.5,MUT,Male,0,1,1,2,1.5
30,6,0.5,MUT,Male,0,1,2,2,2
1904,1,0.5,MUT,Male,0,1,1,1,1
1913,2,0.5,MUT,Male,0,1,1,1,1
1944,3,1.5,MUT,Male,1,2,1,1,1
17,3,1.5,WT,Female,1,2,0,0,0
19,4,1,WT,Female,1,1,1,1,1
25,5,1,WT,Female,1,1,1,2,1.5
27,6,1,WT,Female,1,1,0,0,0
1920,1,0.5,WT,Female,0,1,0,0,0
1941,2,0,WT,Female,0,0,2,2,2
12,4,1.5,WT,Male,1,2,1,1,1
13,5,0,WT,Male,0,0,0,1,0.5
14,6,2,WT,Male,2,2,0,1,0.5
1906,1,1,WT,Male,1,1,0,0,0
1914,2,1,WT,Male,1,1,1,1,1
1937,3,1,WT,Male,1,1,0,0,0
