	chao1
Julianne-331-CEC_S246_L001_R1_001_F_filt-fastq-gz	187.9090909090909
Julianne-331-JEJ_S219_L001_R1_001_F_filt-fastq-gz	78.0
Julianne-337-CEC_S242_L001_R1_001_F_filt-fastq-gz	110.5
Julianne-337-COL_S269_L001_R1_001_F_filt-fastq-gz	126.5
Julianne-351-CEC_S244_L001_R1_001_F_filt-fastq-gz	138.2
Julianne-351-COL_S271_L001_R1_001_F_filt-fastq-gz	93.0
Julianne-536-COL_S265_L001_R1_001_F_filt-fastq-gz	158.42857142857142
Julianne-536-JEJ_S211_L001_R1_001_F_filt-fastq-gz	18.0
Julianne-540-COL_S267_L001_R1_001_F_filt-fastq-gz	76.0
Julianne-542-CEC_S232_L001_R1_001_F_filt-fastq-gz	135.33333333333334
Julianne-542-COL_S259_L001_R1_001_F_filt-fastq-gz	111.0
Julianne-542-JEJ_S205_L001_R1_001_F_filt-fastq-gz	37.75
Julianne-544-COL_S255_L001_R1_001_F_filt-fastq-gz	112.0
Julianne-547-CEC_S233_L001_R1_001_F_filt-fastq-gz	173.16666666666666
Julianne-547-COL_S260_L001_R1_001_F_filt-fastq-gz	125.0
Julianne-547-JEJ_S206_L001_R1_001_F_filt-fastq-gz	45.5
Julianne-579-CEC_S234_L001_R1_001_F_filt-fastq-gz	218.23076923076923
Julianne-579-JEJ_S207_L001_R1_001_F_filt-fastq-gz	80.5
Julianne-582-CEC_S243_L001_R1_001_F_filt-fastq-gz	140.75
Julianne-582-COL_S270_L001_R1_001_F_filt-fastq-gz	136.85714285714286
Julianne-604-CEC_S235_L001_R1_001_F_filt-fastq-gz	112.0
Julianne-604-JEJ_S208_L001_R1_001_F_filt-fastq-gz	104.2
Julianne-661-COL_S266_L001_R1_001_F_filt-fastq-gz	117.11111111111111
Julianne-661-JEJ_S212_L001_R1_001_F_filt-fastq-gz	51.5
Julianne-663-CEC_S241_L001_R1_001_F_filt-fastq-gz	140.0
Julianne-663-COL_S268_L001_R1_001_F_filt-fastq-gz	150.2
Julianne-665-JEJ_S210_L001_R1_001_F_filt-fastq-gz	24.25
Julianne-667-CEC_S236_L001_R1_001_F_filt-fastq-gz	124.0
Julianne-667-JEJ_S209_L001_R1_001_F_filt-fastq-gz	61.0
Julianne-716-CEC_S231_L001_R1_001_F_filt-fastq-gz	149.5
Julianne-716-COL_S258_L001_R1_001_F_filt-fastq-gz	107.5
Julianne-717-CEC_S230_L001_R1_001_F_filt-fastq-gz	148.75
Julianne-717-COL_S257_L001_R1_001_F_filt-fastq-gz	142.16666666666666
Julianne-719-CEC_S245_L001_R1_001_F_filt-fastq-gz	123.0
Julianne-719-COL_S272_L001_R1_001_F_filt-fastq-gz	108.2
Julianne-719-JEJ_S218_L001_R1_001_F_filt-fastq-gz	68.0
Julianne-791-CEC_S229_L001_R1_001_F_filt-fastq-gz	142.0
Julianne-791-COL_S256_L001_R1_001_F_filt-fastq-gz	159.11111111111111
Julianne-835-JEJ_S198_L001_R1_001_F_filt-fastq-gz	43.0
Julianne-838-CEC_S281_L001_R1_001_F_filt-fastq-gz	120.6
Julianne-838-JEJ_S277_L001_R1_001_F_filt-fastq-gz	51.0
Julianne-841-CEC_S278_L001_R1_001_F_filt-fastq-gz	138.0
Julianne-841-COL_S282_L001_R1_001_F_filt-fastq-gz	137.75
Julianne-847-CEC_S279_L001_R1_001_F_filt-fastq-gz	45.0
Julianne-847-COL_S283_L001_R1_001_F_filt-fastq-gz	41.0
Julianne-853-CEC_S280_L001_R1_001_F_filt-fastq-gz	132.33333333333334
Julianne-853-COL_S284_L001_R1_001_F_filt-fastq-gz	122.0
Julianne-856-COL_S254_L001_R1_001_F_filt-fastq-gz	113.0
Julianne-856-JEJ_S200_L001_R1_001_F_filt-fastq-gz	56.0
Julianne-882-COL_S253_L001_R1_001_F_filt-fastq-gz	116.0
Julianne-882-JEJ_S199_L001_R1_001_F_filt-fastq-gz	31.0
Julianne-891-CEC_S220_L001_R1_001_F_filt-fastq-gz	129.6
Julianne-891-COL_S247_L001_R1_001_F_filt-fastq-gz	117.25
Julianne-891-JEJ_S193_L001_R1_001_F_filt-fastq-gz	57.5
Julianne-899-CEC_S221_L001_R1_001_F_filt-fastq-gz	141.42857142857142
Julianne-899-COL_S248_L001_R1_001_F_filt-fastq-gz	110.0
Julianne-899-JEJ_S194_L001_R1_001_F_filt-fastq-gz	28.0
Julianne-923-CEC_S223_L001_R1_001_F_filt-fastq-gz	145.42857142857142
Julianne-923-JEJ_S196_L001_R1_001_F_filt-fastq-gz	52.0
Julianne-924-CEC_S224_L001_R1_001_F_filt-fastq-gz	152.75
Julianne-924-JEJ_S197_L001_R1_001_F_filt-fastq-gz	52.0
Julianne-962-CEC_S222_L001_R1_001_F_filt-fastq-gz	196.5
Julianne-962-JEJ_S195_L001_R1_001_F_filt-fastq-gz	16.0
Rep1-Julianne-337-JEJ_S134_L001_R1_001_F_filt-fastq-gz	100.125
Rep1-Julianne-351-JEJ_S150_L001_R1_001_F_filt-fastq-gz	82.2
Rep1-Julianne-536-CEC_S103_L001_R1_001_F_filt-fastq-gz	170.6
Rep1-Julianne-540-CEC_S119_L001_R1_001_F_filt-fastq-gz	90.0
Rep1-Julianne-540-JEJ_S118_L001_R1_001_F_filt-fastq-gz	53.0
Rep1-Julianne-544-CEC_S179_L001_R1_001_F_filt-fastq-gz	126.0
Rep1-Julianne-544-JEJ_S178_L001_R1_001_F_filt-fastq-gz	47.0
Rep1-Julianne-579-COL_S159_L001_R1_001_F_filt-fastq-gz	95.0
Rep1-Julianne-582-JEJ_S142_L001_R1_001_F_filt-fastq-gz	44.0
Rep1-Julianne-604-COL_S166_L001_R1_001_F_filt-fastq-gz	110.5
Rep1-Julianne-661-CEC_S111_L001_R1_001_F_filt-fastq-gz	136.0
Rep1-Julianne-663-JEJ_S126_L001_R1_001_F_filt-fastq-gz	128.5
Rep1-Julianne-665-COL_S180_L001_R1_001_F_filt-fastq-gz	171.75
Rep1-Julianne-667-COL_S173_L001_R1_001_F_filt-fastq-gz	87.0
Rep1-Julianne-716-JEJ_S110_L001_R1_001_F_filt-fastq-gz	55.0
Rep1-Julianne-717-JEJ_S102_L001_R1_001_F_filt-fastq-gz	52.0
Rep1-Julianne-835-CEC_S158_L001_R1_001_F_filt-fastq-gz	79.0
Rep1-Julianne-835-COL_S151_L001_R1_001_F_filt-fastq-gz	104.0
Rep1-Julianne-838-COL_S128_L001_R1_001_F_filt-fastq-gz	111.0
Rep1-Julianne-840-CEC_S109_L001_R1_001_F_filt-fastq-gz	95.0
Rep1-Julianne-840-COL_S141_L001_R1_001_F_filt-fastq-gz	99.0
Rep1-Julianne-840-JEJ_S177_L001_R1_001_F_filt-fastq-gz	58.75
Rep1-Julianne-841-JEJ_S104_L001_R1_001_F_filt-fastq-gz	93.6
Rep1-Julianne-842-CEC_S117_L001_R1_001_F_filt-fastq-gz	126.0
Rep1-Julianne-842-COL_S133_L001_R1_001_F_filt-fastq-gz	111.0
Rep1-Julianne-847-JEJ_S112_L001_R1_001_F_filt-fastq-gz	85.0
Rep1-Julianne-853-JEJ_S120_L001_R1_001_F_filt-fastq-gz	96.0
