Merged_ID,Date of Experiment_Day_1,Date_Imaged,Exclude,MouseID,Genotype,Sex,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Stitch.tif found? ,Comments,Category,Area,Mean,Min,Max,IntDen,RawIntDen
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,TRUE,,Background_4,10184,25.487,0,132,259562,259562
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,TRUE,,Contralateral,1695147,79.448,0,255,134675624,134675624
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,TRUE,,Ipsilateral,1333346,58.058,0,255,77410873,77410873
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,TRUE,,Background_1,12492,38.405,0,150,479756,479756
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,TRUE,,Background_2,12452,44.387,0,255,552706,552706
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,TRUE,,Background_3,11872,40.029,0,207,475221,475221
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,TRUE,,Background_4,10756,41.808,0,192,449685,449685
2.22.23_P3_C,2.22.23,2.26.23,Yes,11,HET,Male,P3,C,TRUE,,Contralateral,1014870,131.365,0,255,133318005,133318005
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,TRUE,,Ipsilateral,1251345,104.146,0,255,130322140,130322140
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,TRUE,,Background_1,59592,24.888,0,255,1483132,1483132
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,TRUE,,Background_2,59592,23.039,0,187,1372961,1372961
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,TRUE,,Background_3,59592,23.325,0,233,1390007,1390007
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,TRUE,,Background_4,59592,18.649,0,187,1111331,1111331
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,TRUE,,Contralateral,1770837,73.409,0,255,129995725,129995725
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,TRUE,,Ipsilateral,1467444,65.15,0,255,95604554,95604554
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,TRUE,,Background_1,73412,14.059,0,255,1032121,1032121
