"","MouseID","Category","Average_Mean","Genotype","Sex"
"1",11,"Ipsilateral",28.9948333333333,"HET","Male"
"2",12,"Ipsilateral",68.23375,"WT","Male"
"3",13,"Ipsilateral",30.0525,"WT","Male"
"4",15,"Ipsilateral",17.133,"MUT","Male"
"5",16,"Ipsilateral",10.98325,"HET","Male"
"6",17,"Ipsilateral",15.6215,"WT","Female"
"7",18,"Ipsilateral",10.83175,"HET","Female"
"8",19,"Ipsilateral",51.434875,"WT","Female"
"9",21,"Ipsilateral",22.6330625,"MUT","Male"
"10",25,"Ipsilateral",32.62325,"WT","Female"
"11",35,"Ipsilateral",46.296625,"MUT","Female"
"12",37,"Ipsilateral",28.63875,"MUT","Female"
"13",1904,"Ipsilateral",20.2735625,"MUT","Male"
"14",1906,"Ipsilateral",42.313875,"WT","Male"
"15",1907,"Ipsilateral",13.7721875,"HET","Female"
"16",1908,"Ipsilateral",10.47175,"HET","Female"
"17",1910,"Ipsilateral",59.419375,"MUT","Female"
"18",1913,"Ipsilateral",11.595125,"MUT","Male"
"19",1914,"Ipsilateral",16.4679375,"WT","Male"
"20",1917,"Ipsilateral",4.23375,"MUT","Female"
"21",1920,"Ipsilateral",25.78325,"WT","Female"
"22",1921,"Ipsilateral",19.4265416666667,"MUT","Female"
"23",1937,"Ipsilateral",44.64975,"WT","Male"
"24",1938,"Ipsilateral",18.161875,"HET","Male"
"25",1941,"Ipsilateral",12.7905,"WT","Female"
"26",1943,"Ipsilateral",35.027875,"HET","Male"
"27",1944,"Ipsilateral",12.513875,"MUT","Male"
"28",1945,"Ipsilateral",33.598375,"HET","Male"
