"","MouseID","Category","Average_Count","Genotype","Sex"
"1","11","Ipsilateral",108.5,"HET","Male"
"2","12","Ipsilateral",432,"WT","Male"
"3","13","Ipsilateral",136,"WT","Male"
"4","15","Ipsilateral",976,"MUT","Male"
"5","16","Ipsilateral",1443,"HET","Male"
"6","17","Ipsilateral",209,"WT","Female"
"7","18","Ipsilateral",501,"HET","Female"
"8","1904","Ipsilateral",329.8,"MUT","Male"
"9","1906","Ipsilateral",506.25,"WT","Male"
"10","1907","Ipsilateral",622.5,"HET","Female"
"11","1908","Ipsilateral",1192,"HET","Female"
"12","1910","Ipsilateral",600.5,"MUT","Female"
"13","1913","Ipsilateral",627,"MUT","Male"
"14","1914","Ipsilateral",494,"WT","Male"
"15","1917","Ipsilateral",427,"MUT","Female"
"16","1920","Ipsilateral",610.666666666667,"WT","Female"
"17","1921","Ipsilateral",956.75,"MUT","Female"
"18","1937","Ipsilateral",564.5,"WT","Male"
"19","1938","Ipsilateral",365.5,"HET","Male"
"20","1941","Ipsilateral",309.5,"WT","Female"
"21","1943","Ipsilateral",432.5,"HET","Male"
"22","1944","Ipsilateral",972.5,"MUT","Male"
"23","1945","Ipsilateral",281,"HET","Male"
"24","21","Ipsilateral",698.666666666667,"MUT","Male"
"25","25","Ipsilateral",402.5,"WT","Female"
"26","35","Ipsilateral",200.5,"MUT","Female"
"27","37","Ipsilateral",533,"MUT","Female"
