Date Tested,DOB,Mouse ID,Sex,Genotype,Batch,Trial 1 ,Trial 2,Trial 3,Trial 4,Trial 5,Average
10.25.21,2.28.21,1920,F,WT,1,1.41,1.1,0.93,1,1.03,1.094
10.25.21,2.16.21,1908,F,HET,2,0.86,0.62,0.68,0.79,0.96,0.782
10.25.21,2.16.21,1910,F,MUT,1,1.37,0.75,1.03,0.72,0.72,0.918
10.25.21,2.16.21,1907,F,HET,1,0.68,0.86,0.58,1.1,0.79,0.802
10.25.21,2.16.21,1917,F,MUT,2,0.89,0.93,1.1,1.13,0.82,0.974
10.25.21,3.5.21,1941,F,WT,2,1.37,1.24,0.75,1.75,1.37,1.296
10.25.21,3.4.21,1945,M,HET,2,0.96,0.65,0.68,0.55,0.89,0.746
10.25.21,2.16.21,1904,M,MUT,1,1.2,1.17,0.96,0.58,0.72,0.926
10.25.21,2.16.21,1906,M,WT,1,1.27,0.82,1,1.17,1.37,1.126
10.25.21,3.5.21,1938,M,HET,1,0.82,0.41,0.93,1.2,0.89,0.85
10.25.21,2.16.21,1914,M,WT,2,1.24,1.14,0.82,0.65,0.89,0.948
10.25.21,2.16.21,1913,M,MUT,2,1.27,0.68,0.82,0.93,0.72,0.884
11.7.21,3.5.21,1942,F,HET,3,0.96,1.1,0.72,1.1,1.34,1.044
11.7.21,3.25.21,17,F,WT,3,0.79,1.03,0.79,0.86,1,0.894
11.7.21,3.4.21,1944,M,MUT,3,1.06,0.82,1,0.79,1.31,0.996
11.7.21,3.4.21,1943,M,HET,3,1.03,1.06,0.93,0.58,0.82,0.884
11.7.21,2.28.21,1921,F,MUT,3,1.41,1.13,0.82,0.82,0.86,1.008
11.7.21,3.5.21,1937,M,WT,3,1.34,0.93,1.24,0.89,0.79,1.038
11.11.21,3.31.21,28,M,HET,4,0.89,0.86,0.72,0.72,0.79,0.796
11.11.21,3.25.21,15,M,MUT,4,0.79,1,1.17,1.2,0.82,0.996
11.11.21,3.4.21,1946,F,MUT,4,0.77,0.96,0.68,0.86,0.82,0.818
11.11.21,3.25.21,12,M,WT,4,0.75,0.93,1,0.93,0.86,0.894
11.11.21,3.25.21,19,F,WT,4,1.03,0.89,0.96,0.93,1.03,0.968
11.11.21,3.25.21,18,F,HET,4,0.89,0.82,0.89,0.75,1.1,0.89
11.22.21,3.27.21,32,F,HET,5,0.75,0.93,0.82,0.62,0.96,0.816
11.22.21,3.24.21,21,M,MUT,5,1.06,0.79,0.82,0.86,0.79,0.864
11.22.21,3.25.21,11,M,HET,5,1.13,1.17,1.03,0.96,1.06,1.07
11.22.21,3.31.21,25,F,WT,5,1.1,1.06,0.93,1.2,0.96,1.05
11.22.21,3.27.21,35,F,MUT,5,1.03,1.03,1,1.13,1.06,1.05
11.22.21,3.25.21,13,M,WT,5,0.93,1.27,1,1.03,1,1.046
11.27.21,3.30.21,37,F,MUT,6,0.96,1.06,1,1.2,1.17,1.078
11.27.21,3.25.21,16,M,HET,6,1.2,1.37,1.24,1.06,1.1,1.194
11.27.21,3.27.21,30,M,MUT,6,1.62,1.13,1.06,1.1,1.27,1.236
11.27.21,3.27.21,36,F,HET,6,1.17,0.86,0.82,0.51,0.71,0.814
11.27.21,3.31.21,27,F,WT,6,1.44,0.82,1.06,0.96,1,1.056
11.27.21,3.25.21,14,M,WT,6,0.89,0.79,0.44,0.89,0.86,0.774
