MouseID ,SLC_Genotype,Sex,Batch,Total_Hang_Time,DPI
32,HET,Female,five,357,90
35,MUT,Female,five,420.2,90
25,WT,Female,five,267.08,90
32,HET,Female,five,31.74,120
35,MUT,Female,five,293.72,120
13,WT,Female,five,169.41,120
35,MUT,Female,five,247.34,180
32,HET,Female,five,299.38,180
25,WT,Female,five,286.53,180
18,HET,Female,four,193.44,90
1946,MUT,Female,four,31.19,90
19,WT,Female,four,314.01,90
12,WT,Female,four,228.27,120
19,WT,Female,four,585.53,120
1946,MUT,Female,four,35.45,120
18,HET,Female,four,453.93,180
1946,MUT,Female,four,79.48,180
19,WT,Female,four,600,180
1907,HET,Female,one,25.34,90
1910,MUT,Female,one,24.83,90
1920,WT,Female,one,182.2,90
1904,MUT,Female,one,30.32,120
1910,MUT,Female,one,137.27,120
1910,MUT,Female,one,256.03,180
1920,WT,Female,one,267.38,180
1907,HET,Female,one,375.87,180
36,HET,Female,six,274.26,90
37,MUT,Female,six,79.72,90
27,WT,Female,six,182.77,90
36,HET,Female,six,397.84,120
37,MUT,Female,six,157.62,120
27,WT,Female,six,278,120
27,WT,Female,six,368.11,180
37,MUT,Female,six,117.06,180
36,HET,Female,six,313.06,180
1942,HET,Female,three,35.96,90
1921,MUT,Female,three,600,90
17,WT,Female,three,381.58,90
1942,HET,Female,three,126.39,120
1943,HET,Female,three,600,120
17,WT,Female,three,319.14,120
1937,WT,Female,three,160.13,120
17,WT,Female,three,600,180
1921,MUT,Female,three,554.62,180
1942,HET,Female,three,600,180
1908,HET,Female,two,22.91,90
1917,MUT,Female,two,40.25,90
1941,WT,Female,two,600,90
1945,HET,Female,two,103.44,120
1917,MUT,Female,two,418.54,120
1908,HET,Female,two,18.73,120
1917,MUT,Female,two,468.58,180
1941,WT,Female,two,600,180
1908,HET,Female,two,97.22,180
32,HET,Female,five,381.5,150
35,MUT,Female,five,243.38,150
25,WT,Female,five,373.2,150
18,HET,Female,four,378.66,150
1946,MUT,Female,four,50.37,150
19,WT,Female,four,600,150
1907,HET,Female,one,523.51,150
1910,MUT,Female,one,245.53,150
1920,WT,Female,one,311.92,150
36,HET,Female,six,328.49,150
37,MUT,Female,six,80.86,150
27,WT,Female,six,521.73,150
1942,HET,Female,three,551.26,150
1921,MUT,Female,three,600,150
17,WT,Female,three,273.22,150
1908,HET,Female,two,418.5,150
1917,MUT,Female,two,600,150
1941,WT,Female,two,600,150
11,HET,Male,five,124.89,90
21,MUT,Male,five,242.92,90
13,WT,Male,five,85.68,90
11,HET,Male,five,189.08,120
21,MUT,Male,five,329.68,120
25,WT,Male,five,422.82,120
13,WT,Male,five,173.83,180
21,MUT,Male,five,349.49,180
11,HET,Male,five,211.77,180
28,HET,Male,four,201.64,90
15,MUT,Male,four,22.07,90
12,WT,Male,four,139.51,90
18,HET,Male,four,600,120
28,HET,Male,four,352.21,120
15,MUT,Male,four,57.29,120
28,HET,Male,four,437.07,180
15,MUT,Male,four,143.37,180
12,WT,Male,four,272.39,180
1938,HET,Male,one,143.54,90
1904,MUT,Male,one,107.84,90
1906,WT,Male,one,24.4,90
1907,HET,Male,one,202.87,120
1938,HET,Male,one,91.44,120
1906,WT,Male,one,39.26,120
1920,WT,Male,one,369.17,120
1904,MUT,Male,one,71.1,180
1938,HET,Male,one,83.07,180
1906,WT,Male,one,79.86,180
16,HET,Male,six,424.14,90
14,WT,Male,six,143.28,90
30,MUT,Male,six,8.95,90
16,HET,Male,six,390.18,120
14,WT,Male,six,294.92,120
30,MUT,Male,six,13.47,120
14,WT,Male,six,320.83,180
16,HET,Male,six,267.48,180
30,MUT,Male,six,149.15,180
1943,HET,Male,three,600,90
1944,MUT,Male,three,31.78,90
1937,WT,Male,three,83.7,90
1921,MUT,Male,three,565.14,120
1944,MUT,Male,three,86.51,120
1943,HET,Male,three,518.07,180
1937,WT,Male,three,194.14,180
1944,MUT,Male,three,86,180
1945,HET,Male,two,119.68,90
1913,MUT,Male,two,41.18,90
1914,WT,Male,two,175.44,90
1913,MUT,Male,two,97.11,120
1914,WT,Male,two,46.27,120
1941,WT,Male,two,600,120
1913,MUT,Male,two,246.26,180
1945,HET,Male,two,132.91,180
1914,WT,Male,two,191.31,180
11,HET,Male,five,242.02,150
21,MUT,Male,five,270.64,150
13,WT,Male,five,250.36,150
28,HET,Male,four,276.01,150
15,MUT,Male,four,97.93,150
12,WT,Male,four,263.64,150
1938,HET,Male,one,245.53,150
1904,MUT,Male,one,102.72,150
1906,WT,Male,one,523.51,150
16,HET,Male,six,458.48,150
30,MUT,Male,six,243.34,150
14,WT,Male,six,285.15,150
1943,HET,Male,three,494.57,150
1944,MUT,Male,three,75.07,150
1937,WT,Male,three,252.89,150
1945,HET,Male,two,156.62,150
1913,MUT,Male,two,289.8,150
1914,WT,Male,two,155.97,150
