"","MouseID","min.sec.csec","Trial","Trial.start.time","Notes","Cohort","Sincerity_Score","Sincerity_Score_Relaxed","SLC_Genotype","ASO_Tg","Sex","min","sec","csec","Time","Weight","Exclusion"
"58","609","2.30.00","Two","12:24",":)","Two","Sincere","Sincere","HET","Negative","Male",2,30,0,150,34.4,"No"
"59","612","2.30.00","Two","12:04",":)","Two","Sincere","Sincere","MUT","Positive","Female",2,30,0,150,26.8,"No"
"60","662","2.30.00","Two","12:12",":)","Two","Sincere","Sincere","MUT","Positive","Female",2,30,0,150,25.5,"No"
"61","664","2.30.00","Two","12:20",":)","Two","Sincere","Sincere","WT","Positive","Female",2,30,0,150,31.3,"No"
"62","894","02.30.53","Two","","","Three","Sincere","Sincere","HET","Negative","Male",2,30,53,150.53,30.3,"No"
"63","889","02.30.00","One","","","Three","Sincere","Sincere","MUT","Negative","Female",2,30,0,150,20.4,"No"
"64","661_837","2.30.00","One","11:19",":)","Two","Sincere","Sincere","MUT","Negative","Female",2,30,0,150,25.1,"No"
"65","605","2.30.00","One","11:43",":)","Two","Sincere","Sincere","HET","Negative","Female",2,30,0,150,27.5,"No"
"66","839","2.30.00","One","11:57",":)","Two","Sincere","Sincere","HET","Negative","Female",2,30,0,150,28.5,"No"
"67","673","2.30.00","One","11:41",":)","Two","Sincere","Sincere","WT","Negative","Male",2,30,0,150,30.2,"No"
"68","320","2.30.00","One","2:36",":)","One","Sincere","Sincere","HET","Negative","Female",2,30,0,150,30.3,"No"
"69","328","2.30.00","One","2:31",":)","One","Sincere","Sincere","HET","Negative","Female",2,30,0,150,24.6,"No"
"70","542","2.30.00","One","2:12","✓","One","Sincere","Sincere","MUT","Positive","Female",2,30,0,150,29.8,"No"
