Date of Experiment_Day_1,Date of Experiment_Day_1,Date_Imaged,Date_Imaged_GFAP,MouseID,Cohort,Genotype,Sex,Well_ID,Plate (X of X for the week),"Section (A,B,C,D,E,F)",Category,Slice ,Count,Total Area,Average Size,%Area,Mean,IntDen,Particle_Size,Threshold,Comments
8.7.23_8.9.23_P1_A,8.7.23,8.9.23,8.9.23,663,One,WT,Female,B2,P1,A,Striatum_1,P1_A_8.7.23_Ms_GFAP_Stitch.tif,911,4112,4.514,0.287,255,1150.999,0-Inf,60,
8.7.23_8.9.23_P1_A,8.7.23,8.9.23,8.9.23,663,One,WT,Female,B2,P1,A,Striatum_1,P1_A_8.7.23_Ms_GFAP_Stitch.tif,827,1686,2.039,0.118,255,519.867,1-10,60,
8.7.23_8.9.23_P1_A,8.7.23,8.9.23,8.9.23,663,One,WT,Female,B2,P1,A,Striatum_1,P1_A_8.7.23_Ms_GFAP_Stitch.tif,114,679,5.956,0.047,255,1518.816,3.5-10,60,
8.7.23_8.9.23_P1_A,8.7.23,8.9.23,8.9.23,663,One,WT,Female,B2,P1,A,Striatum_2,P1_A_8.7.23_Ms_GFAP_Stitch.tif,744,3547,4.767,0.28,255,1215.706,0-Inf,60,
8.7.23_8.9.23_P1_A,8.7.23,8.9.23,8.9.23,663,One,WT,Female,B2,P1,A,Striatum_2,P1_A_8.7.23_Ms_GFAP_Stitch.tif,660,1405,2.129,0.111,255,542.841,1-10,60,
8.7.23_8.9.23_P1_A,8.7.23,8.9.23,8.9.23,663,One,WT,Female,B2,P1,A,Striatum_2,P1_A_8.7.23_Ms_GFAP_Stitch.tif,102,628,6.157,0.05,255,1570,3.5-10,60,
8.7.23_9.23.23_P1_F,8.7.23,9.23.23,9.23.23,667,One,MUT,Female,D2,P1,F,Striatum_1,P1_F_87.23_Ms_GFAP_Stitch-1.tif,531,2420,4.557,0.244,255,1162.147,0-Inf,70,
8.7.23_9.23.23_P1_F,8.7.23,9.23.23,9.23.23,667,One,MUT,Female,D2,P1,F,Striatum_1,P1_F_87.23_Ms_GFAP_Stitch-1.tif,473,1065,2.252,0.107,255,574.154,1-10,70,
8.7.23_9.23.23_P1_F,8.7.23,9.23.23,9.23.23,667,One,MUT,Female,D2,P1,F,Striatum_1,P1_F_87.23_Ms_GFAP_Stitch-1.tif,82,496,6.049,0.05,255,1542.439,3.5-10,70,
8.7.23_9.23.23_P1_F,8.7.23,9.23.23,9.23.23,667,One,MUT,Female,D2,P1,F,Striatum_2,P1_F_87.23_Ms_GFAP_Stitch-1.tif,1304,7165,5.495,0.481,255,1401.131,0-Inf,70,
8.7.23_9.23.23_P1_F,8.7.23,9.23.23,9.23.23,667,One,MUT,Female,D2,P1,F,Striatum_2,P1_F_87.23_Ms_GFAP_Stitch-1.tif,1147,2614,2.279,0.175,255,581.142,1-10,70,
8.7.23_9.23.23_P1_F,8.7.23,9.23.23,9.23.23,667,One,MUT,Female,D2,P1,F,Striatum_2,P1_F_87.23_Ms_GFAP_Stitch-1.tif,226,1308,5.788,0.088,255,1475.841,3.5-10,70,
