"","Cohort...1","MouseID","SLC_Genotype","ASO_Tg","Sex","Cohort...6","Trial_1_Tturn","Trial_1_Ttotal","Trial_1_Mode","Trial_1_Orientation","Trial_2_Tturn","Trial_2_Ttotal","Trial_2_Mode","Trial_2_Orientation","Trial_3_Tturn","Trial_3_Ttotal","Trial_3_Mode","Trial_3_Orientation","Trial_4_Tturn","Trial_4_Ttotal","Trial_4_Mode","Trial_4_Orientation","Trial_5_Tturn","Trial_5_Ttotal","Trial_5_Mode","Trial_5_Orientation","Weight","Average_Tturn","Fastest_Tturn","Average_Ttotal","Fastest_Ttotal","Best_Performance"
"1","One","667","MUT","Positive","Female","One",10,15,"S","S",1.78,7.19,"C","T",10,15,"S","S",10,15,"S","S",2.31,5.37,"C","T",25.3,6.818,1.78,11.512,5.37,"C"
"2","One","577","HET","Positive","Female","One",10,15,"S","S",10,15,"S","S",10,15,"S","S",5.39,6.14,"C","T",3.39,4.39,"C","T",28.5,7.756,3.39,11.106,4.39,"C"
"3","One","351","HET","Positive","Female","One",2.55,3.15,"C","T",10,15,"S","S",3.55,3.9,"C","T",10,15,"S","S",10,15,"F","S",27.4,7.22,2.55,10.41,3.15,"C"
"4","One","544","HET","Positive","Female","One",10,15,"S","S",10,15,"S","S",10,15,"S","U",10,15,"S","S",10,15,"F","U",46.8,10,10,15,15,"S"
"5","One","542","MUT","Positive","Female","One",3.3,3.8,"C","T",5.33,6.24,"C","T",10,15,"S","S",10,15,"S","S",10,15,"S","S",29.8,7.726,3.3,11.008,3.8,"C"
"6","One","665","MUT","Positive","Female","One",3.11,5.22,"C","T",10,15,"S","S",3.12,4.61,"C","T",10,15,"S","S",10,15,"S","S",40.8,7.246,3.11,10.966,4.61,"C"
"7","One","331","HET","Positive","Male","One",3.98,5.39,"C","T",10,15,"S","S",10,15,"S","S",10,15,"S","S",10,15,"S","S",33.2,8.796,3.98,13.078,5.39,"C"
"8","One","661","MUT","Positive","Male","One",10,15,"F","S",10,15,"S","S",10,15,"F","U",10,15,"F","U",10,15,"S","S",46.1,10,10,15,15,"S"
"9","One","337","HET","Positive","Male","One",10,15,"S","S",4.14,7.96,"C","T",4.22,5.37,"C","T",10,15,"S","S",10,15,"S","S",38.5,7.672,4.14,11.666,5.37,"C"
"10","One","334","HET","Positive","Male","One",10,15,"S","S",2.92,5.26,"C","T",10,15,"S","S",10,15,"S","U",10,15,"S","S",37.7,8.584,2.92,13.052,5.26,"C"
