"","MouseID","Weight","SLC_Genotype","Sex"
"1","326",24.9,"HET","Female"
"2","331",33.5,"HET","Male"
"3","334",38.8,"HET","Male"
"4","336",32.8,"MUT","Female"
"5","337",38.3,"HET","Male"
"6","340",45.5,"HET","Male"
"7","351",28.1,"HET","Female"
"8","536",40.2,"HET","Male"
"9","540",36.8,"WT","Female"
"10","542",31.7,"MUT","Female"
"11","544",43.3,"HET","Female"
"12","577",28.2,"HET","Female"
"13","582",46,"HET","Male"
"14","661",46.8,"MUT","Male"
"15","663",45.5,"WT","Male"
"16","665",40.6,"MUT","Female"
"17","667",27.5,"MUT","Female"
"18","719",39,"HET","Female"
"19","791",35.5,"WT","Male"
"20","35",28.1,"WT","Female"
"21","41",41.4,"WT","Male"
"22","43",45.5,"MUT","Male"
"23","44",34.1,"HET","Male"
"24","962",22.9,"WT","Female"
"25","606",26.1,"HET","Female"
"26","610",25.7,"MUT","Female"
"27","612",26.8,"MUT","Female"
"28","662",25,"MUT","Female"
"29","664",30.9,"WT","Female"
"30","666",35.3,"WT","Male"
"31","668",25.3,"WT","Female"
"32","853",34.7,"MUT","Male"
"33","856",51.9,"HET","Male"
"34","663_835",24.5,"MUT","Female"
"35","670_842",28.2,"HET","Female"
