MouseID,Average_Count,Genotype,Sex
35,142,WT,Female
43/899,156.3333333,MUT,Male
44/891,71.66666667,HET,Male
536,310.25,HET,Male
582,351.75,HET,Male
604,286,HET,Female
663,114.1,WT,Male
665,141.5714286,MUT,Female
667,154,MUT,Female
717,82.5,MUT,Female
719,257.5,HET,Female
838,110.3333333,WT,Female
840,102,MUT,Female
842,145,HET,Female
847,192,WT,Female
853,89.25,MUT,Male
882,206.5,MUT,Female
924,140.375,WT,Male
962,90.5,WT,Female
