Batch,MouseID,Day,No_Move_Object ,Move_Object ,Genotype,Sex,Treatment,Percent_Investigation_Time,Discrimination_Index,Day_Treatment
Two,"1,399.00",Testing,47.2,13,HET,Female,Saline,21.59468439,-56.81063123,TestingSaline
Two,"1,386.00",Training,30.8,26.2,HET,Male ,MPTP,45.96491228,-8.070175439,TrainingMPTP
Two,"1,386.00",Testing,7.3,33.5,HET,Male ,MPTP,82.10784314,64.21568627,TestingMPTP
Two,"1,390.00",Training,7.3,16.3,HET,Male ,Saline,69.06779661,38.13559322,TrainingSaline
Two,"1,390.00",Testing,11.5,3.9,HET,Male ,Saline,25.32467532,-49.35064935,TestingSaline
Two,596.00,Training,19.9,8.2,HET,Male ,Saline,29.18149466,-41.63701068,TrainingSaline
Two,597.00,Training,4.4,5.6,HET,Male ,Saline,56,12,TrainingSaline
Two,"1,381.00",Training,19.5,35,MUT,Female,MPTP,64.22018349,28.44036697,TrainingMPTP
Two,"1,393.00",Training,22.4,23.5,MUT,Female,MPTP,51.19825708,2.396514161,TrainingMPTP
Two,"1,381.00",Testing,9.9,13.1,MUT,Female,MPTP,56.95652174,13.91304348,TestingMPTP
Two,"1,393.00",Testing,2.3,13.2,MUT,Female,MPTP,85.16129032,70.32258065,TestingMPTP
Two,"1,384.00",Training,15.7,16.7,MUT,Female,Saline,51.54320988,3.086419753,TrainingSaline
Two,"1,397.00",Training,37.1,23.7,MUT,Female,Saline,38.98026316,-22.03947368,TrainingSaline
Two,"1,384.00",Testing,2.8,123.2,MUT,Female,Saline,97.77777778,95.55555556,TestingSaline
Two,"1,397.00",Testing,27,19.5,MUT,Female,Saline,41.93548387,-16.12903226,TestingSaline
Two,"1,387.00",Training,22.6,6.9,MUT,Male ,MPTP,23.38983051,-53.22033898,TrainingMPTP
Two,"1,387.00",Testing,25.2,25.5,MUT,Male ,MPTP,50.29585799,0.5917159763,TestingMPTP
Two,611.00,Training,13.2,9.4,MUT,Male ,MPTP,41.59292035,-16.81415929,TrainingMPTP
Two,590.00,Training,10.8,11.3,MUT,Male ,MPTP,51.13122172,2.262443439,TrainingMPTP
Two,583.00,Training,11.5,46.1,MUT,Male ,Saline,80.03472222,60.06944444,TrainingSaline
Two,585.00,Training,15.2,38.2,MUT,Male ,Saline,71.53558052,43.07116105,TrainingSaline
Two,606.00,Training,11.1,37.7,WT,Female,Saline,77.25409836,54.50819672,TrainingSaline
Two,608.00,Training,22.6,9.6,WT,Female,Saline,29.8136646,-40.37267081,TrainingSaline
Two,"1,392.00",Training,7.7,17.7,WT,Male ,MPTP,69.68503937,39.37007874,TrainingMPTP
Two,"1,392.00",Testing,0,10,WT,Male ,MPTP,100,100,TestingMPTP
Three,171.00,Training,64.5,19.1,HET,Female,MPTP,22.84688995,-54.3062201,TrainingMPTP
Three,172.00,Training,21.1,49.1,HET,Female,MPTP,69.94301994,39.88603989,TrainingMPTP
Three,179.00,Training,27.4,20.6,HET,Female,MPTP,42.91666667,-14.16666667,TrainingMPTP
Three,179.00,Testing,12.4,14.8,HET,Female,MPTP,54.41176471,8.823529412,TestingMPTP
Three,171.00,Testing,18.8,30.8,HET,Female,MPTP,62.09677419,24.19354839,TestingMPTP
Three,172.00,Testing,18.5,13.5,HET,Female,MPTP,42.1875,-15.625,TestingMPTP
Three,165.00,Training,139.1,6.1,HET,Male ,MPTP,4.201101928,-91.59779614,TrainingMPTP
Three,175.00,Training,8.1,32,HET,Male ,MPTP,79.80049875,59.60099751,TrainingMPTP
Three,169.00,Training,27,13.9,HET,Male ,MPTP,33.98533007,-32.02933985,TrainingMPTP
Three,168.00,Training,56.8,9,HET,Male ,MPTP,13.67781155,-72.6443769,TrainingMPTP
Three,169.00,Testing,15.8,16.7,HET,Male ,MPTP,51.38461538,2.769230769,TestingMPTP
Three,168.00,Testing,23,34.7,HET,Male ,MPTP,60.13864818,20.27729636,TestingMPTP
Three,165.00,Testing,15.2,14.2,HET,Male ,MPTP,48.29931973,-3.401360544,TestingMPTP
Three,175.00,Testing,11.7,30.8,HET,Male ,MPTP,72.47058824,44.94117647,TestingMPTP
Three,115.00,Training,32.4,42,HET,Male ,Saline,56.4516129,12.90322581,TrainingSaline
Three,118.00,Training,21.8,26.5,HET,Male ,Saline,54.86542443,9.730848861,TrainingSaline
Three,116.00,Training,7.5,29.8,HET,Male ,Saline,79.89276139,59.78552279,TrainingSaline
Three,115.00,Testing,20.3,24,HET,Male ,Saline,54.17607223,8.35214447,TestingSaline
Three,118.00,Testing,17.2,27.6,HET,Male ,Saline,61.60714286,23.21428571,TestingSaline
