MouseID,Time spent mobile (min.sec.csec),Min,Sec,Csec,Total_Time,,SLC_Genotype,Sex,Cage,Treatment,Batch
172,2.03.83,2,3,83,123.83,172,HET,Female,H10,MPTP,3
1378,4.52.45,4,52,45,292.45,1378,HET,Female,SLC17,MPTP,2
1383,2.19.89,2,19,89,139.89,1383,HET,Female,SLC17,MPTP,2
165,2.06.47,2,6,47,126.47,165,HET,Male ,H11,MPTP,3
168,1.40.00,1,40,0,100,168,HET,Male ,H11,MPTP,3
169,2.43.55,2,43,55,163.55,169,HET,Male ,H11,MPTP,3
175,2.20.43,2,20,43,140.43,175,HET,Male ,H11,MPTP,3
433,2.04.66,2,4,66,124.66,433,HET,Male ,H13,MPTP,4
465,1.31.42,1,31,42,91.42,465,HET,Male ,H13,MPTP,4
612,1.53.19,1,53,19,113.19,612,HET,Male ,H21,MPTP,6
1351,4.08.64,4,8,64,248.64,1351,HET,Male ,SLC11,MPTP,1
1364,3.42.32,3,42,32,222.32,1364,HET,Male ,SLC12,MPTP,1
1386,2.23.53,2,23,53,143.53,1386,HET,Male ,SLC15,MPTP,2
177,1.25.23,1,25,23,85.23,177,MUT,Female,M6,MPTP,3
595,1.53.16,1,53,16,113.16,595,MUT,Female,M15,MPTP,6
609,1.53.17,1,53,17,113.17,609,MUT,Female,M15,MPTP,6
1381,2.38.74,2,38,74,158.74,1381,MUT,Female,SLC18,MPTP,2
117,3.11.60,3,11,60,191.6,117,MUT,Male ,M7,MPTP,3
174,1.56.39,1,56,39,116.39,174,MUT,Male ,M7,MPTP,3
167,1.34.56,1,34,56,94.56,167,MUT,Male ,M7,MPTP,3
515,1.21.99,1,21,99,81.99,515,MUT,Male ,M10,MPTP,4
590,1.53.11,1,53,11,113.11,590,MUT,Male ,M14,MPTP,6
611,1.53.10,1,53,10,113.1,611,MUT,Male ,M14,MPTP,6
1358,2.35.25,2,35,25,155.25,1358,MUT,Male ,SLC8,MPTP,1
1387,2.12.98,2,12,98,132.98,1387,MUT,Male ,SLC16,MPTP,2
427,2.52.32,2,52,32,172.32,427,WT,Female,W11,MPTP,4
473,2.29.14,2,29,14,149.14,473,WT,Female,W11,MPTP,4
593,1.53.13,1,53,13,113.13,593,WT,Female,W15,MPTP,6
599,1.53.14,1,53,14,113.14,599,WT,Female,W15,MPTP,6
121,1.41.73,1,41,73,101.73,121,WT,Male ,W9,MPTP,3
1357,3.17.83,3,17,83,197.83,1357,WT,Male ,SLC10,MPTP,1
1392,2.35.44,2,35,44,155.44,1392,WT,Male ,SLC14,MPTP,2
434,1.56.24,1,56,24,116.24,434,HET,Female,H14,SALINE,4
435,2.15.05,2,15,5,135.05,435,HET,Female,H14,SALINE,4
496,3.23.15,3,23,15,203.15,436,HET,Female,H14,SALINE,4
1398,5.49.31,5,49,31,349.31,1398,HET,Female,SLC9,SALINE,2
1400,5.11.09,5,11,9,311.09,1400,HET,Female,SLC9,SALINE,2
115,1.30.08,1,30,8,90.08,115,HET,Male ,H9,SALINE,3
116,2.12.83,2,12,83,132.83,116,HET,Male ,H9,SALINE,3
118,1.25.39,1,25,39,85.39,118,HET,Male ,H9,SALINE,3
437,3.46.82,3,46,82,226.82,437,HET,Male ,H15,SALINE,4
469,1.38.56,1,38,56,98.56,469,HET,Male ,H15,SALINE,4
596,1.53.21,1,53,21,113.21,596,HET,Male ,H20,SALINE,6
597,1.53.18,1,53,18,113.18,597,HET,Male ,H20,SALINE,6
613,1.53.20,1,53,20,113.2,613,HET,Male ,H21,SALINE,6
1350,2.26.06,2,26,6,146.06,1350,HET,Male ,SLC11,SALINE,1
1353,2.34.97,2,34,97,154.97,1353,HET,Male ,SLC8,SALINE,1
1370,4.03.76,4,3,76,243.76,1370,HET,Male ,SLC11,SALINE,1
1390,2.14.77,2,14,77,134.77,1390,HET,Male ,SLC15,SALINE,2
1396,2.46.22,2,46,22,166.22,1396,HET,Male ,SLC12,SALINE,2
583,1.53.22,1,53,22,113.22,583,MUT,Male ,M13,SALINE,6
585,1.53.26,1,53,26,113.26,585,MUT,Male ,M13,SALINE,6
586,1.53.25,1,53,25,113.25,586,MUT,Male ,M13,SALINE,6
587,1.53.23,1,53,23,113.23,587,MUT,Male ,M13,SALINE,6
1359,2.41.40,2,41,40,161.4,1359,MUT,Male ,SLC8,SALINE,1
474,1.59.32,1,59,32,119.32,474,WT,Female,W11,SALINE,4
606,1.53.24,1,53,24,113.24,606,WT,Female,W15,SALINE,6
608,2.13.76,2,13,76,133.76,608,WT,Female,W15,SALINE,6
432,2.36.79,2,36,79,156.79,432,WT,Female,W11,SALINE,4
550,1.53.15,1,53,15,113.15,550,WT,Male ,W14,SALINE,6
584,1.53.12,1,53,12,113.12,584,WT,Male ,W14,SALINE,6
1349,2.16.79,2,16,79,136.79,1349,WT,Male ,SLC10,SALINE,1
1352,3.32.43,3,32,43,212.43,1352,WT,Male ,SLC13,SALINE,1
