MouseID,Genotype-Treatment,Apparatus,Distance,Center_Entries,Center_Time,Periphery_Time,SLC_Genotype,Treatment,Sex,Batch
1394,HET-MPTP,1394,26.928,78,110.6,489.4,HET,MPTP,Female,two
1378,HET-MPTP,1378,59.313,34,23.5,576.5,HET,MPTP,Female,two
1385,HET-MPTP,1385,12.588,78,164.6,435.4,HET,MPTP,Female,two
1383,HET-MPTP,1383,14.728,60,83.3,516.7,HET,MPTP,Female,two
179,HET-MPTP,179,21.414,88,160.3,439.7,HET,MPTP,Female,three
172,HET-MPTP,172,19.408,91,343.4,256.6,HET,MPTP,Female,three
171,HET-MPTP,171,20.192,52,86.3,513.7,HET,MPTP,Female,three
1398,HET-SALINE,1398,16.729,85,254.4,345.6,HET,SALINE,Female,two
1399,HET-SALINE,1399,12.683,67,193.7,406.3,HET,SALINE,Female,two
1400,HET-SALINE,1400,9.253,45,65.2,534.8,HET,SALINE,Female,two
434,Het_Saline,434,9.293,52,292.2,307.8,HET,SALINE,Female,four
436_496,Het_Saline,496,12.357,33,172.3,427.7,HET,SALINE,Female,four
435,Het_Saline,435,9.131,34,66.5,533.5,HET,SALINE,Female,four
1364,HET-MPTP,1364,16.433,49,104.8,495.2,HET,MPTP,Male ,one
1351,HET-MPTP,1351,13.699,62,170.1,429.9,HET,MPTP,Male ,one
1386,HET-MPTP,1386,21.608,116,160.3,439.7,HET,MPTP,Male ,two
175,HET-MPTP,175,24.8,97,193,407,HET,MPTP,Male ,three
169,HET-MPTP,169,21.175,75,201.6,398.4,HET,MPTP,Male ,three
165,HET-MPTP,165,21.125,89,242.2,357.8,HET,MPTP,Male ,three
168,HET-MPTP,168,23.296,99,367.4,232.6,HET,MPTP,Male ,three
433,Het_MPTP,433,11.649,54,117.6,482.4,HET,MPTP,Male ,four
465,Het_MPTP,465,27.486,134,277.4,322.6,HET,MPTP,Male ,four
509,HET-MPTP,509,21.552,88,219.9,380.1,HET,MPTP,Male ,five
510,HET-MPTP,510,28.432,111,161.1,438.9,HET,MPTP,Male ,five
612,HET_MPTP,612,16.278,69,177.4,422.6,HET,MPTP,Male ,six
613,HET_MPTP,613,2.681,11,71.2,528.8,HET,MPTP,Male ,six
1353,HET-SALINE,1353,7.335,54,274.2,325.8,HET,SALINE,Male ,one
1370,HET-SALINE,1370,11.954,76,223,377,HET,SALINE,Male ,one
1350,HET-SALINE,1350,8.46,57,349.9,250.1,HET,SALINE,Male ,one
1396,HET-SALINE,1396,9.394,67,169.6,430.4,HET,SALINE,Male ,two
1390,HET-SALINE,1390,10.468,45,149.3,450.7,HET,SALINE,Male ,two
116,HET-SALINE,116,11.826,60,383.4,216.6,HET,SALINE,Male ,three
118,HET-SALINE,118,19.377,72,85.6,514.4,HET,SALINE,Male ,three
115,HET-SALINE,115,18.217,69,181.9,418.1,HET,SALINE,Male ,three
437,Het_Saline,437,11.984,45,110.9,489.1,HET,SALINE,Male ,four
469,Het_Saline,469,9.583,46,183.1,416.9,HET,SALINE,Male ,four
596,HET_Saline,596,8.652,49,113.3,486.7,HET,SALINE,Male ,six
597,HET_Saline,597,6.395,37,204.1,395.9,HET,SALINE,Male ,six
1369,MUT-MPTP,1369,16.287,67,245.8,354.2,MUT,MPTP,Female,one
1367,MUT-MPTP,1367,8.797,31,117.1,482.9,MUT,MPTP,Female,one
1393,MUT-MPTP,1393,24.409,99,328.1,271.9,MUT,MPTP,Female,two
1381,MUT-MPTP,1381,20.339,79,194.6,405.4,MUT,MPTP,Female,two
177,MUT-MPTP,177,30.911,138,186,414,MUT,MPTP,Female,three
504,MUT-MPTP,504,21.245,60,71.1,528.9,MUT,MPTP,Female,five
531,MUT-MPTP,531,16.605,68,379.2,220.8,MUT,MPTP,Female,five
491,MUT-MPTP,491,26.772,92,187.2,412.8,MUT,MPTP,Female,five
595,MUT_MPTP,595,18.955,50,171.5,428.5,MUT,MPTP,Female,six
609,MUT_MPTP,609,22.648,80,235.5,364.5,MUT,MPTP,Female,six
1366,MUT-SALINE,1366,16.753,72,171.3,428.7,MUT,SALINE,Female,one
1384,MUT-SALINE,1384,16.541,76,264.1,335.9,MUT,SALINE,Female,two
1397,MUT-SALINE,1397,15.562,88,228.4,371.6,MUT,SALINE,Female,two
501,MUT-Saline,501,12.59,67,200.7,399.3,MUT,SALINE,Female,five
503,MUT-Saline,503,16.187,80,179.9,420.1,MUT,SALINE,Female,five
502,MUT-Saline,502,15.215,56,177.6,422.4,MUT,SALINE,Female,five
1358,MUT-MPTP,1358,13.858,65,201.6,398.4,MUT,MPTP,Male ,one
1387,MUT-MPTP,1387,22.799,105,267.2,332.8,MUT,MPTP,Male ,two
167,MUT-MPTP,167,21.556,90,195.7,404.3,MUT,MPTP,Male ,three
174,MUT-MPTP,174,24.237,133,279.3,320.7,MUT,MPTP,Male ,three
117,MUT-MPTP,117,31.557,149,206.6,393.4,MUT,MPTP,Male ,three
515,Mut_MPTP,515,19.27,44,59.5,540.5,MUT,MPTP,Male ,four
611,MUT_MPTP,611,14.525,40,97.7,502.3,MUT,MPTP,Male ,six
590,MUT_MPTP,590,10.839,39,97.3,502.7,MUT,MPTP,Male ,six
1359,MUT-SALINE,1359,11.668,37,93.6,506.4,MUT,SALINE,Male ,one
511,MUT-Saline,511,8.801,52,261.8,338.2,MUT,SALINE,Male ,five
513,MUT-Saline,513,18.419,89,249.1,350.9,MUT,SALINE,Male ,five
585,MUT_Saline,585,7.963,24,211,389,MUT,SALINE,Male ,six
586,MUT_Saline,586,4.689,28,231.9,368.1,MUT,SALINE,Male ,six
583,MUT_Saline,583,5.417,25,117.1,482.9,MUT,SALINE,Male ,six
587,MUT_Saline,587,5.319,34,261,339,MUT,SALINE,Male ,six
178,WT-MPTP,178,25.211,111,249.6,350.4,WT,MPTP,Female,three
119,WT-MPTP,119,24.119,102,353.5,246.5,WT,MPTP,Female,three
473,WT_MPTP,473,16.585,52,80.7,519.3,WT,MPTP,Female,four
427,WT_MPTP,427,34.23,128,218.9,381.1,WT,MPTP,Female,four
593,WT_MPTP,593,8.274,19,45.6,554.4,WT,MPTP,Female,six
599,WT_MPTP,599,13.113,70,245.8,354.2,WT,MPTP,Female,six
432,WT_Saline,432,11.857,63,263.4,336.6,WT,SALINE,Female,four
474,WT_Saline,474,34.172,55,93.2,506.8,WT,SALINE,Female,four
494,WT-Saline,494,18.139,59,76.3,523.7,WT,SALINE,Female,five
505,WT-Saline,505,14.473,54,127.2,472.8,WT,SALINE,Female,five
1357,WT-MPTP,1357,14.282,63,165.2,434.8,WT,MPTP,Male ,one
1392,WT-MPTP,1392,16.931,82,135.5,464.5,WT,MPTP,Male ,two
121,WT-MPTP,121,15.527,93,273.8,326.2,WT,MPTP,Male ,three
173,WT-MPTP,173,20.673,101,265.1,334.9,WT,MPTP,Male ,three
507,WT-MPTP,507,18.823,71,159,441,WT,MPTP,Male ,five
514,WT-MPTP,514,15.433,94,365.6,234.4,WT,MPTP,Male ,five
508,WT-MPTP,508,20.821,56,129.9,470.1,WT,MPTP,Male ,five
1349,WT-SALINE,1349,18.213,66,156.8,443.2,WT,SALINE,Male ,one
1352,WT-SALINE,1352,10.861,46,162.1,437.9,WT,SALINE,Male ,one
584,WT_Saline,584,10.167,67,154.8,445.2,WT,SALINE,Male ,six
550,WT_Saline,550,12.393,48,100,500,WT,SALINE,Male ,six
