"","sample","x","y","SampleID","MouseID","Site","Genotype","Sex","Cohort","Subset","Omit"
"1","Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz",-0.0650796761247381,-0.0104735105596688,"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz",331,"CEC","HET","Male","One","Luminal_Colon","No"
"2","Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz",0.00701161130567955,0.117678584277241,"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz",337,"CEC","HET","Male","One","Luminal_Colon","No"
"3","Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz",0.0554676546009983,0.0257563850159161,"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz",337,"COL","HET","Male","One","Luminal_Colon","No"
"4","Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz",-0.0854889005158472,-0.0138302502954876,"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz",351,"CEC","HET","Female","One","Luminal_Colon","No"
"5","Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz",0.00360162257759068,-0.10276718245497,"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz",351,"COL","HET","Female","One","Luminal_Colon","No"
"6","Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz",-0.0608466430700114,0.0525149822009374,"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz",536,"COL","HET","Male","One","Luminal_Colon","No"
"7","Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz",0.287159794124449,-0.0806585209219287,"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz",540,"COL","WT","Female","One","Luminal_Colon","No"
"8","Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz",-0.0456780460274467,0.0027653316742924,"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz",542,"CEC","MUT","Female","One","Luminal_Colon","No"
"9","Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz",-0.0346293328575114,-0.0537578767123189,"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz",542,"COL","MUT","Female","One","Luminal_Colon","No"
"10","Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz",-0.0659728489809234,-0.0645055492861459,"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz",544,"COL","HET","Female","One","Luminal_Colon","No"
"11","Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz",-0.148049223790393,0.257342456888077,"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz",547,"CEC","HET","Male","One","Luminal_Colon","No"
"12","Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz",-0.0168364979541262,0.0250101004195258,"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz",547,"COL","HET","Male","One","Luminal_Colon","No"
"13","Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz",-0.0923399368472034,0.0513238173661122,"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz",579,"CEC","HET","Male","One","Luminal_Colon","No"
"14","Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz",-0.0628656594884056,-0.0550243749606016,"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz",582,"CEC","HET","Male","One","Luminal_Colon","No"
"15","Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz",-0.0140300816705162,-0.101464135811302,"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz",582,"COL","HET","Male","One","Luminal_Colon","No"
"16","Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz",-0.0822254909074377,0.0811376700607041,"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz",604,"CEC","HET","Female","One","Luminal_Colon","No"
"17","Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz",0.126881820662662,-0.00579740060432678,"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz",661,"COL","MUT","Male","One","Luminal_Colon","No"
"18","Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz",-0.141578861611311,-0.0959939008791091,"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz",663,"CEC","WT","Male","One","Luminal_Colon","No"
"19","Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz",-0.265764485247352,-0.11667590208304,"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz",663,"COL","WT","Male","One","Luminal_Colon","No"
"20","Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz",0.0102883526650215,0.143627650149149,"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz",667,"CEC","MUT","Female","One","Luminal_Colon","No"
"21","Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz",0.0578497649572275,0.0752905103870741,"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz",716,"CEC","HET","Female","One","Luminal_Colon","No"
"22","Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz",0.150417017777992,-0.0194108857445356,"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz",716,"COL","HET","Female","One","Luminal_Colon","No"
"23","Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz",-0.0310616312033394,0.0271558456466203,"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz",717,"CEC","MUT","Female","One","Luminal_Colon","No"
"24","Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz",-0.0457734795758266,0.011666775908881,"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz",717,"COL","MUT","Female","One","Luminal_Colon","No"
"25","Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz",-0.00650571562160418,-0.123887004537869,"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz",719,"CEC","HET","Female","One","Luminal_Colon","No"
"26","Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz",0.0458148122943742,-0.172196769854522,"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz",719,"COL","HET","Female","One","Luminal_Colon","No"
"27","Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz",-0.19010319475716,-0.0882966768353333,"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz",791,"CEC","WT","Male","One","Luminal_Colon","No"
"28","Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz",-0.151840800403481,-0.104800692232296,"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz",791,"COL","WT","Male","One","Luminal_Colon","No"
"29","Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz",0.00776330432334637,0.0290436790260067,"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz",838,"CEC","WT","Female","Two","Luminal_Colon","No"
"30","Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz",0.0893351683521728,0.0408800911134977,"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz",841,"CEC","MUT","Female","Two","Luminal_Colon","No"
