"","sample","x","y","MouseID","SampleID","Site","Genotype","Sex","Cohort","Subset","Omit","Average_Latency"
"1","Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz",-0.0650796761247381,-0.0104735105596688,331,"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","One","Luminal_Colon","No",53.13333333
"2","Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz",0.00701161130567955,0.117678584277241,337,"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","One","Luminal_Colon","No",88.93333333
"3","Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz",0.0554676546009983,0.0257563850159161,337,"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz","COL","HET","Male","One","Luminal_Colon","No",88.93333333
"4","Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz",-0.0854889005158472,-0.0138302502954876,351,"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz","CEC","HET","Female","One","Luminal_Colon","No",79.06666667
"5","Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz",0.00360162257759068,-0.10276718245497,351,"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz","COL","HET","Female","One","Luminal_Colon","No",79.06666667
"6","Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz",-0.0608466430700114,0.0525149822009374,536,"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz","COL","HET","Male","One","Luminal_Colon","No",41.2
"7","Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz",0.287159794124449,-0.0806585209219287,540,"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz","COL","WT","Female","One","Luminal_Colon","No",37.83333333
"8","Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz",-0.0456780460274467,0.0027653316742924,542,"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz","CEC","MUT","Female","One","Luminal_Colon","No",139
"9","Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz",-0.0346293328575114,-0.0537578767123189,542,"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz","COL","MUT","Female","One","Luminal_Colon","No",139
"10","Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz",-0.0659728489809234,-0.0645055492861459,544,"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz","COL","HET","Female","One","Luminal_Colon","No",1.4
"11","Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz",-0.148049223790393,0.257342456888077,547,"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","One","Luminal_Colon","No",44.03333333
"12","Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz",-0.0168364979541262,0.0250101004195258,547,"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz","COL","HET","Male","One","Luminal_Colon","No",44.03333333
"13","Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz",-0.0923399368472034,0.0513238173661122,579,"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","One","Luminal_Colon","No",18.66666667
"14","Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz",-0.0628656594884056,-0.0550243749606016,582,"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz","CEC","HET","Male","One","Luminal_Colon","No",64.93333333
"15","Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz",-0.0140300816705162,-0.101464135811302,582,"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz","COL","HET","Male","One","Luminal_Colon","No",64.93333333
