"","reads.in","reads.out"
"Julianne-331-CEC_S246_L001_R1_001.fastq.gz",63988,41510
"Julianne-331-JEJ_S219_L001_R1_001.fastq.gz",51647,32929
"Julianne-337-CEC_S242_L001_R1_001.fastq.gz",27845,17751
"Julianne-337-COL_S269_L001_R1_001.fastq.gz",37388,24221
"Julianne-351-CEC_S244_L001_R1_001.fastq.gz",31365,20204
"Julianne-351-COL_S271_L001_R1_001.fastq.gz",22989,14899
"Julianne-536-COL_S265_L001_R1_001.fastq.gz",41761,27030
"Julianne-536-JEJ_S211_L001_R1_001.fastq.gz",36261,23010
"Julianne-540-COL_S267_L001_R1_001.fastq.gz",40961,26370
"Julianne-542-CEC_S232_L001_R1_001.fastq.gz",34961,22678
"Julianne-542-COL_S259_L001_R1_001.fastq.gz",22998,14859
"Julianne-542-JEJ_S205_L001_R1_001.fastq.gz",39771,25811
"Julianne-544-COL_S255_L001_R1_001.fastq.gz",31759,20496
"Julianne-547-CEC_S233_L001_R1_001.fastq.gz",36318,23338
"Julianne-547-COL_S260_L001_R1_001.fastq.gz",32628,21165
"Julianne-547-JEJ_S206_L001_R1_001.fastq.gz",35903,23307
"Julianne-579-CEC_S234_L001_R1_001.fastq.gz",63522,40593
"Julianne-579-JEJ_S207_L001_R1_001.fastq.gz",34947,22646
"Julianne-582-CEC_S243_L001_R1_001.fastq.gz",31503,20150
"Julianne-582-COL_S270_L001_R1_001.fastq.gz",50323,31786
"Julianne-604-CEC_S235_L001_R1_001.fastq.gz",13966,8995
"Julianne-604-JEJ_S208_L001_R1_001.fastq.gz",40522,26159
"Julianne-661-COL_S266_L001_R1_001.fastq.gz",34678,22240
"Julianne-661-JEJ_S212_L001_R1_001.fastq.gz",46238,30095
"Julianne-663-CEC_S241_L001_R1_001.fastq.gz",27519,17811
"Julianne-663-COL_S268_L001_R1_001.fastq.gz",34691,22432
"Julianne-665-JEJ_S210_L001_R1_001.fastq.gz",45451,29082
"Julianne-667-CEC_S236_L001_R1_001.fastq.gz",23753,15242
"Julianne-667-JEJ_S209_L001_R1_001.fastq.gz",42401,27588
"Julianne-716-CEC_S231_L001_R1_001.fastq.gz",41279,26278
"Julianne-716-COL_S258_L001_R1_001.fastq.gz",35953,23283
"Julianne-717-CEC_S230_L001_R1_001.fastq.gz",32006,20762
"Julianne-717-COL_S257_L001_R1_001.fastq.gz",28645,18674
"Julianne-719-CEC_S245_L001_R1_001.fastq.gz",45237,29127
"Julianne-719-COL_S272_L001_R1_001.fastq.gz",28145,18300
"Julianne-719-JEJ_S218_L001_R1_001.fastq.gz",21498,13813
"Julianne-791-CEC_S229_L001_R1_001.fastq.gz",28709,18593
"Julianne-791-COL_S256_L001_R1_001.fastq.gz",46046,29616
"Julianne-835-JEJ_S198_L001_R1_001.fastq.gz",27920,17919
"Julianne-838-CEC_S281_L001_R1_001.fastq.gz",40391,26159
"Julianne-838-JEJ_S277_L001_R1_001.fastq.gz",25689,16643
"Julianne-841-CEC_S278_L001_R1_001.fastq.gz",31602,20480
"Julianne-841-COL_S282_L001_R1_001.fastq.gz",35744,23317
"Julianne-847-CEC_S279_L001_R1_001.fastq.gz",43633,28193
"Julianne-847-COL_S283_L001_R1_001.fastq.gz",40160,25881
"Julianne-853-CEC_S280_L001_R1_001.fastq.gz",40937,26579
"Julianne-853-COL_S284_L001_R1_001.fastq.gz",34537,22169
"Julianne-856-COL_S254_L001_R1_001.fastq.gz",28847,18659
"Julianne-856-JEJ_S200_L001_R1_001.fastq.gz",50270,32559
"Julianne-882-COL_S253_L001_R1_001.fastq.gz",31229,20306
"Julianne-882-JEJ_S199_L001_R1_001.fastq.gz",45412,29608
"Julianne-891-CEC_S220_L001_R1_001.fastq.gz",35480,22757
"Julianne-891-COL_S247_L001_R1_001.fastq.gz",28861,18650
"Julianne-891-JEJ_S193_L001_R1_001.fastq.gz",57865,36985
"Julianne-899-CEC_S221_L001_R1_001.fastq.gz",43583,28457
"Julianne-899-COL_S248_L001_R1_001.fastq.gz",30792,20040
"Julianne-899-JEJ_S194_L001_R1_001.fastq.gz",91720,59265
"Julianne-923-CEC_S223_L001_R1_001.fastq.gz",34359,22254
"Julianne-923-JEJ_S196_L001_R1_001.fastq.gz",34373,22068
"Julianne-924-CEC_S224_L001_R1_001.fastq.gz",31649,20396
"Julianne-924-JEJ_S197_L001_R1_001.fastq.gz",37759,24512
"Julianne-962-CEC_S222_L001_R1_001.fastq.gz",42693,27718
"Julianne-962-JEJ_S195_L001_R1_001.fastq.gz",66044,42841
"Rep1-Julianne-337-JEJ_S134_L001_R1_001.fastq.gz",39524,22654
"Rep1-Julianne-351-JEJ_S150_L001_R1_001.fastq.gz",46263,26491
"Rep1-Julianne-536-CEC_S103_L001_R1_001.fastq.gz",38056,21772
"Rep1-Julianne-540-CEC_S119_L001_R1_001.fastq.gz",21388,12262
"Rep1-Julianne-540-JEJ_S118_L001_R1_001.fastq.gz",34564,19783
"Rep1-Julianne-544-CEC_S179_L001_R1_001.fastq.gz",25609,14679
"Rep1-Julianne-544-JEJ_S178_L001_R1_001.fastq.gz",24004,13900
"Rep1-Julianne-579-COL_S159_L001_R1_001.fastq.gz",20233,11651
"Rep1-Julianne-582-JEJ_S142_L001_R1_001.fastq.gz",48655,28154
"Rep1-Julianne-604-COL_S166_L001_R1_001.fastq.gz",25942,14987
"Rep1-Julianne-661-CEC_S111_L001_R1_001.fastq.gz",20321,11792
"Rep1-Julianne-663-JEJ_S126_L001_R1_001.fastq.gz",48101,27555
"Rep1-Julianne-665-COL_S180_L001_R1_001.fastq.gz",79210,45415
"Rep1-Julianne-667-COL_S173_L001_R1_001.fastq.gz",21928,12608
"Rep1-Julianne-716-JEJ_S110_L001_R1_001.fastq.gz",34326,19870
"Rep1-Julianne-717-JEJ_S102_L001_R1_001.fastq.gz",46810,26815
"Rep1-Julianne-835-CEC_S158_L001_R1_001.fastq.gz",22556,13207
"Rep1-Julianne-835-COL_S151_L001_R1_001.fastq.gz",20471,11877
"Rep1-Julianne-838-COL_S128_L001_R1_001.fastq.gz",27899,16114
"Rep1-Julianne-840-CEC_S109_L001_R1_001.fastq.gz",23889,13923
"Rep1-Julianne-840-COL_S141_L001_R1_001.fastq.gz",35124,20186
