feature	k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.sensu.stricto.1	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia
PFF_Jejunum_11	0	0	13	192	12	19934	457	0	0	0	1999	5224	30	25	188	193	11297	548	311	11	0	0	383	0	335	24	0	17	0	0	27	0	0	0	0	0	85	10	20
PFF_Jejunum_12	0	0	0	59	0	4930	109	0	0	4	2177	0	0	0	381	80	42121	0	0	0	0	0	8	0	23	147	0	0	0	0	0	0	0	0	0	22	22	0	6
PFF_Jejunum_13	5	398	11	221	0	16748	329	0	0	0	7646	435	0	0	326	246	24781	247	30	0	0	0	134	0	87	33	0	0	0	0	0	0	0	0	0	0	18	0	179
PFF_Jejunum_14	0	279	7	664	0	21292	74	0	0	0	12365	302	10	0	47	0	7925	0	0	15	0	0	952	0	274	8	0	33	38	0	0	0	0	0	0	0	93	0	69
PFF_Jejunum_15	0	0	0	38	0	4558	146	0	0	0	815	0	0	0	33	0	50057	55	12	0	0	0	16	0	0	356	0	0	0	0	0	0	0	0	0	25	0	0	504
PFF_Jejunum_16	0	0	15	493	24	15778	0	0	0	7	13980	1103	0	54	19	35	30300	14	34	29	0	0	618	0	206	86	0	24	0	9	46	0	0	0	8	0	16	0	555
PFF_Jejunum_17	5	20	0	32	0	4638	100	22	7	10	373	189	159	0	7492	16486	6046	142	34	14	17	0	114	0	33	282	31	15	57	72	0	0	0	0	14	0	28	0	51
PFF_Jejunum_18	0	0	0	5	0	239	0	0	0	0	360	14	0	20	2312	4313	41319	275	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	18
PFF_Jejunum_19	0	76	0	69	0	7243	179	78	18	36	1387	349	145	0	303	851	29439	106	59	39	0	0	331	0	188	390	72	144	137	12	16	0	17	14	19	0	130	6	108
PFF_Jejunum_1904	0	969	8	172	0	18645	362	0	0	0	2266	726	657	0	401	0	28460	147	0	8	0	0	105	0	1352	27	0	9	0	0	0	11	0	0	0	0	9	0	0
PFF_Jejunum_1906	35	0	0	0	0	632	36	2	0	0	51	22	118	50	2062	508	49353	3041	109	0	2056	9	36	0	0	14	16	0	0	0	0	0	0	0	0	15	23	13	0
PFF_Jejunum_1908	0	118	14	62	0	2735	86	14	3	16	1620	274	116	0	2179	3157	32810	376	50	0	0	0	179	19	89	51	0	26	48	0	0	0	0	0	18	0	21	0	47
PFF_Jejunum_1910	0	0	3	13	0	8388	707	0	0	0	596	23	211	0	6995	11863	6993	163	0	5	0	17	260	0	198	0	0	27	0	0	0	0	0	0	0	0	53	0	0
PFF_Jejunum_1913	0	684	0	213	0	10636	179	4	0	12	2834	332	131	33	94	0	21738	99	71	0	0	0	78	0	670	367	0	63	0	56	88	0	7	0	0	0	9	0	10
PFF_Jejunum_1914	3	0	4	51	6	8283	209	0	0	0	545	345	87	0	1159	2219	30621	42	15	0	0	0	0	0	38	31	0	23	0	0	10	7	0	0	0	17	29	0	118
PFF_Jejunum_1917	0	0	16	109	9	11112	205	0	0	0	2524	98	127	0	2073	5965	7266	71	0	81	4	18	1316	0	237	17	20	24	0	16	29	7	0	0	0	0	56	0	62
PFF_Jejunum_1920	0	0	0	13	0	5233	77	0	0	0	190	446	467	13	10795	22541	4632	11	0	0	0	35	59	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	109
PFF_Jejunum_1921	5	0	0	0	0	2217	48	0	4	0	30	0	0	0	20508	16476	5992	345	80	0	141	0	0	0	0	34	0	0	0	0	0	0	0	0	4	4	0	89	36
PFF_Jejunum_1937	0	0	0	76	8	13714	519	0	0	0	19	131	48	0	0	0	33256	0	0	10	0	0	0	0	0	34	0	0	0	0	11	4	0	0	6	0	92	0	11290
PFF_Jejunum_1938	0	577	0	28	0	31104	683	0	0	0	0	7029	0	0	186	0	4511	49	0	0	5	0	16	0	40	0	0	0	0	0	0	0	0	0	0	0	279	0	449
PFF_Jejunum_1942	0	3	9	344	0	11747	63	0	0	6	4388	56	0	0	724	380	29472	261	115	22	132	0	45	0	0	15	0	11	0	0	0	0	0	0	0	59	41	53	43
PFF_Jejunum_1943	0	0	7	361	0	16745	64	3	0	0	6060	46	6	0	0	0	14570	36	16	0	0	9	58	0	309	309	0	95	0	25	0	0	29	0	0	0	0	0	203
PFF_Jejunum_1944	0	0	0	142	0	8067	0	0	0	0	1310	7	0	0	15	0	37035	589	7	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	565
PFF_Jejunum_1945	0	76	4	146	0	26053	1361	0	0	0	3620	655	0	0	9	0	16127	52	0	71	0	0	210	65	798	74	0	27	68	0	0	0	0	0	0	0	79	0	124
