feature	k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.sensu.stricto.1	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia
PFF_Jejunum_11	-14.8357214757075	-14.9654536291595	-11.634636548201	-7.75011376562097	-11.750113765621	-1.05213265322704	-6.49902591128405	-15.8287563210446	-14.8444442407928	-14.6122061888006	-4.3700135095975	-2.98413708479569	-10.4281856707336	-10.6912200765674	-7.78048741466449	-7.74261922907404	-1.87142418138663	-6.2370441833816	-7.05430549621152	-11.8756446477048	-14.1342979608596	-13.6588313196023	-6.75387568441717	-12.1814792280704	-6.94705898099699	-10.750113765621	-13.7830493819289	-11.2476134250918	-12.0119260663068	-13.7834757530925	-10.5801887641787	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-8.92568533020442	-12.0131481714548	-11.0131481714548
PFF_Jejunum_12	-14.8357214757075	-14.9654536291595	-14.598605039617	-9.7295631394388	-13.8537481460054	-3.34483425753537	-8.84402186402372	-15.8287563210446	-14.8444442407928	-13.6122061888006	-4.52408049661244	-13.7362811177654	-13.6644102463071	-12.7457066406296	-7.03855900130732	-9.29027809391328	-0.249954121275142	-13.1460458324772	-13.7362811177654	-13.8342735152347	-14.1342979608596	-13.6588313196023	-12.6122061888006	-12.1814792280704	-11.0886442327436	-8.41253384396428	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-11.1527745701633	-11.1527745701633	-14.1265431607123	-13.0272436880795
PFF_Jejunum_13	-13.3407959047522	-7.02609937909592	-12.2032923810023	-7.87482144024814	-13.8537481460054	-1.63102279689927	-7.30078022590433	-15.8287563210446	-14.8444442407928	-14.6122061888006	-2.76223451480492	-6.89785240890348	-13.6644102463071	-12.7457066406296	-7.3139958454085	-7.72020949430033	-1.06577721364746	-7.7143567680549	-10.7558334040311	-13.8342735152347	-14.1342979608596	-13.6588313196023	-8.5966348091818	-12.1814792280704	-9.21978050379084	-10.6183298802811	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-11.4927989981973	-14.1265431607123	-8.17890822237532
PFF_Jejunum_14	-14.8357214757075	-7.3156771137453	-12.6324435035169	-6.06475899422756	-13.8537481460054	-1.061774574649	-9.23034505994554	-15.8287563210446	-14.8444442407928	-14.6122061888006	-1.84582380629719	-7.20139368624941	-12.1178703306871	-12.7457066406296	-9.88520957389685	-12.3542187667524	-2.48760320566035	-13.1460458324772	-13.7362811177654	-11.532907829966	-14.1342979608596	-13.6588313196023	-5.54498066226654	-12.1814792280704	-7.34176634261396	-12.4397984255745	-13.7830493819289	-10.395404306216	-10.1918709121309	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-8.90063961446645	-14.1265431607123	-9.33127396879632
PFF_Jejunum_15	-14.8357214757075	-14.9654536291595	-14.598605039617	-10.5409692081837	-13.8537481460054	-3.63471151236202	-8.5990721627473	-15.8287563210446	-14.8444442407928	-14.6122061888006	-6.11824047250888	-13.7362811177654	-13.6644102463071	-12.7457066406296	-10.7445026022689	-12.3542187667524	-0.177612511595268	-10.0075370081027	-12.2039342209062	-13.8342735152347	-14.1342979608596	-13.6588313196023	-11.7888967216273	-12.1814792280704	-12.0886442327436	-7.31316329066092	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-11.1450405318526	-13.5596426384007	-14.1265431607123	-6.8116167981274
PFF_Jejunum_16	-14.8357214757075	-14.9654536291595	-12.0465101589263	-7.00795691815686	-11.3684382538136	-2.00777403230495	-11.9250683868013	-15.8287563210446	-14.8444442407928	-13.1460458324772	-2.18232401427198	-5.84618367894339	-13.6644102463071	-10.1985132523713	-11.7054732410912	-10.8241177375898	-1.0663705812871	-12.1460458324772	-10.8659379132844	-11.0954197594072	-14.1342979608596	-13.6588313196023	-6.6819377266304	-12.1814792280704	-8.26690022735156	-9.52713599983268	-13.7830493819289	-11.3684382538136	-12.0119260663068	-12.7834757530925	-10.4298387984778	-14.8537481460054	-13.421764298601	-13.5415806599912	-12.9534007545348	-14.4897539012813	-11.9534007545348	-14.1265431607123	-6.83705679329731
PFF_Jejunum_17	-12.8330086519709	-10.8330086519709	-14.598605039617	-10.1549367468583	-13.8537481460054	-2.97564964221225	-8.51108055708353	-10.695505128221	-12.3475818248007	-11.8330086519709	-6.61190492660302	-7.59269432263718	-7.8420537915739	-12.7457066406296	-2.28380156261521	-1.14598296733206	-2.59317148323055	-8.00518962735357	-10.0674739056079	-11.3475818248007	-11.0674739056079	-13.6588313196023	-8.32204673269351	-12.1814792280704	-10.1105426274998	-7.01538539445946	-10.2007404364714	-11.2480461512497	-9.32204673269351	-8.98501174541594	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-11.3475818248007	-14.4897539012813	-10.3475818248007	-14.1265431607123	-9.48251140488676
PFF_Jejunum_18	-14.8357214757075	-14.9654536291595	-14.598605039617	-13.2574762404158	-13.8537481460054	-7.67853752732246	-11.9250683868013	-15.8287563210446	-14.8444442407928	-14.6122061888006	-7.08755123897353	-11.7720494132456	-13.6644102463071	-11.2574762404158	-4.40447865280253	-3.5049283345687	-0.244886617148527	-7.47611652689118	-11.994441834582	-13.8342735152347	-14.1342979608596	-13.6588313196023	-13.6122061888006	-12.1814792280704	-12.0886442327436	-13.4397984255745	-13.7830493819289	-13.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-14.8537481460054	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-13.5596426384007	-9.33147682185962	-11.4094793338609
PFF_Jejunum_19	-14.8357214757075	-9.10883392623863	-14.598605039617	-9.24823698290404	-13.8537481460054	-2.53438977971889	-7.87294566241796	-9.07135922081997	-11.1868364382399	-10.1868364382399	-4.91900936735861	-6.90967821347256	-8.17685234966728	-12.7457066406296	-7.11358745620926	-5.62374611799625	-0.511320394157124	-8.62884098511902	-9.47411839032037	-10.07135922082	-14.1342979608596	-13.6588313196023	-6.986074032875	-12.1814792280704	-7.80217258800458	-6.7494311259326	-9.1868364382399	-8.1868364382399	-8.25872935672169	-11.7717989389611	-11.3567614396822	-14.8537481460054	-11.2692985984319	-11.5494065176246	-11.1088339262386	-14.4897539012813	-8.33439362665376	-12.7717989389611	-8.60187393751875
PFF_Jejunum_1904	-14.8357214757075	-5.80921478442797	-12.7295676398431	-8.30330288514095	-13.8537481460054	-1.54306646318205	-7.22972175275985	-15.8287563210446	-14.8444442407928	-14.6122061888006	-4.58363549402254	-6.2257419018473	-6.36981807952072	-12.7457066406296	-7.08210921338813	-12.3542187667524	-0.932919598429207	-8.52989529500669	-13.7362811177654	-12.7295676398431	-14.1342979608596	-13.6588313196023	-9.01532212217693	-12.1814792280704	-5.32868820356087	-10.9746801376796	-13.7830493819289	-12.5596426384007	-12.0119260663068	-13.7834757530925	-13.3943165273681	-12.2701360212058	-13.421764298601	-13.5415806599912	-14.4897539012813	-14.4897539012813	-12.5596426384007	-14.1265431607123	-14.8791045691476
