feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz	7641	10474	34	4	79	27	0
Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz	5558	4895	4	2	35	23	0
Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz	8783	9025	41	9	95	154	4
Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz	7784	7198	129	7	90	103	0
Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz	8754	6394	18	11	57	55	18
Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz	12962	8822	118	117	251	471	0
Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz	5081	10800	19	305	93	62	0
Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz	4847	7081	55	800	64	93	0
Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz	10714	2988	62	0	41	5	8
Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz	4787	8141	30	10	259	59	0
Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz	4375	4087	8	19	56	103	0
Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz	4841	6388	67	69	37	187	0
Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz	5652	5164	23	674	31	43	0
Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz	6651	4593	24	8	59	13	0
Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz	6071	4541	22	0	18	0	0
Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz	6826	7367	29	0	119	420	3
Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz	7352	6462	115	7	52	56	6
Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz	8357	8318	203	4	135	85	0
Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz	6934	8406	92	81	94	230	0
Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz	8115	6719	41	10	51	18	0
Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz	5527	8563	72	79	175	44	0
Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz	14512	17434	302	43	77	250	3
Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz	3786	5335	12	12	27	52	0
Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz	5443	3076	110	5	34	9	0
Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz	6820	6630	1282	31	67	134	0
Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz	7901	9556	35	525	117	147	0
Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz	11303	5020	78	6	54	89	0
Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz	9411	11421	212	0	103	47	4
Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz	5958	5374	32	0	115	72	0
Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz	5390	5246	65	0	34	81	0
Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz	6286	7328	52	11	111	67	0
Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz	5842	7880	41	9	85	53	7
