	observed_features
Julianne-331-CEC_S246_L001_R1_001_F_filt-fastq-gz	187
Julianne-331-JEJ_S219_L001_R1_001_F_filt-fastq-gz	71
Julianne-337-CEC_S242_L001_R1_001_F_filt-fastq-gz	109
Julianne-337-COL_S269_L001_R1_001_F_filt-fastq-gz	124
Julianne-351-CEC_S244_L001_R1_001_F_filt-fastq-gz	138
Julianne-351-COL_S271_L001_R1_001_F_filt-fastq-gz	93
Julianne-536-COL_S265_L001_R1_001_F_filt-fastq-gz	158
Julianne-536-JEJ_S211_L001_R1_001_F_filt-fastq-gz	18
Julianne-540-COL_S267_L001_R1_001_F_filt-fastq-gz	75
Julianne-542-CEC_S232_L001_R1_001_F_filt-fastq-gz	135
Julianne-542-COL_S259_L001_R1_001_F_filt-fastq-gz	111
Julianne-542-JEJ_S205_L001_R1_001_F_filt-fastq-gz	37
Julianne-544-COL_S255_L001_R1_001_F_filt-fastq-gz	112
Julianne-547-CEC_S233_L001_R1_001_F_filt-fastq-gz	173
Julianne-547-COL_S260_L001_R1_001_F_filt-fastq-gz	122
Julianne-547-JEJ_S206_L001_R1_001_F_filt-fastq-gz	45
Julianne-579-CEC_S234_L001_R1_001_F_filt-fastq-gz	214
Julianne-579-JEJ_S207_L001_R1_001_F_filt-fastq-gz	78
Julianne-582-CEC_S243_L001_R1_001_F_filt-fastq-gz	140
Julianne-582-COL_S270_L001_R1_001_F_filt-fastq-gz	136
Julianne-604-CEC_S235_L001_R1_001_F_filt-fastq-gz	112
Julianne-604-JEJ_S208_L001_R1_001_F_filt-fastq-gz	97
Julianne-661-COL_S266_L001_R1_001_F_filt-fastq-gz	117
Julianne-661-JEJ_S212_L001_R1_001_F_filt-fastq-gz	50
Julianne-663-CEC_S241_L001_R1_001_F_filt-fastq-gz	140
Julianne-663-COL_S268_L001_R1_001_F_filt-fastq-gz	150
Julianne-665-JEJ_S210_L001_R1_001_F_filt-fastq-gz	24
Julianne-667-CEC_S236_L001_R1_001_F_filt-fastq-gz	124
Julianne-667-JEJ_S209_L001_R1_001_F_filt-fastq-gz	60
Julianne-716-CEC_S231_L001_R1_001_F_filt-fastq-gz	148
Julianne-716-COL_S258_L001_R1_001_F_filt-fastq-gz	105
Julianne-717-CEC_S230_L001_R1_001_F_filt-fastq-gz	148
Julianne-717-COL_S257_L001_R1_001_F_filt-fastq-gz	142
Julianne-719-CEC_S245_L001_R1_001_F_filt-fastq-gz	123
Julianne-719-COL_S272_L001_R1_001_F_filt-fastq-gz	108
Julianne-719-JEJ_S218_L001_R1_001_F_filt-fastq-gz	68
Julianne-791-CEC_S229_L001_R1_001_F_filt-fastq-gz	142
Julianne-791-COL_S256_L001_R1_001_F_filt-fastq-gz	159
Julianne-835-JEJ_S198_L001_R1_001_F_filt-fastq-gz	43
Julianne-838-CEC_S281_L001_R1_001_F_filt-fastq-gz	120
Julianne-838-JEJ_S277_L001_R1_001_F_filt-fastq-gz	51
Julianne-841-CEC_S278_L001_R1_001_F_filt-fastq-gz	138
Julianne-841-COL_S282_L001_R1_001_F_filt-fastq-gz	137
Julianne-847-CEC_S279_L001_R1_001_F_filt-fastq-gz	42
Julianne-847-COL_S283_L001_R1_001_F_filt-fastq-gz	41
