feature	k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.sensu.stricto.1	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group	k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia
PFF_Jejunum_11	0	0	0.000314503447441635	0.00464497399298415	0.00029031087456151	0.482254747792428	0.0110560058062175	0	0	0	0.0483609531873715	0.126382000725777	0.000725777186403774	0.000604814322003145	0.00454820370146365	0.00466916656586428	0.273303495826781	0.0132575299383089	0.00752389016571912	0.000266118301681384	0	0	0.00926575541308818	0	0.00810451191484214	0.000580621749123019	0	0.000411273738962139	0	0	0.000653199467763397	0	0	0	0	0	0.00205636869481069	0.000241925728801258	0.000483851457602516
PFF_Jejunum_12	0	0	0	0.00117790333206892	0	0.0984248038491485	0.00217612649483919	0	0	7.98578530216215e-05	0.0434626365070175	0	0	0	0.00760646050030945	0.00159715706043243	0.84092315678093	0	0	0	0	0	0.000159715706043243	0	0.000459182654874324	0.00293477609854459	0	0	0	0	0	0	0	0	0	0.000439218191618918	0.000439218191618918	0	0.000119786779532432
PFF_Jejunum_13	9.63874002390407e-05	0.00767243705902764	0.00021205228052589	0.0042603230905656	0	0.322859235840691	0.00634229093572888	0	0	0	0.147395612445541	0.00838570382079654	0	0	0.00628445849558546	0.00474226009176081	0.477715233064734	0.00476153757180861	0.000578324401434245	0	0	0	0.00258318232640629	0	0.00167714076415931	0.000636156841577669	0	0	0	0	0	0	0	0	0	0	0.000346994640860547	0	0.00345066892855766
PFF_Jejunum_14	0	0.00627713906450379	0.000157490944270704	0.0149391409993925	0	0.479042455058834	0.00166490426800459	0	0	0	0.278196503701037	0.00679460930996468	0.000224987063243863	0	0.00105743919724616	0	0.178302247620762	0	0	0.000337480594865795	0	0	0.0214187684208158	0	0.00616464553288186	0.000179989650595091	0	0.000742457308704749	0.000854950840326681	0	0	0	0	0	0	0	0.00209237968816793	0	0.00155241073638266
PFF_Jejunum_15	0	0	0	0.000671200211957962	0	0.0805086991080102	0.00257882186699638	0	0	0	0.014395478230151	0	0	0	0.000582884394595072	0	0.884164973946834	0.000971473990991787	0.000211957961670935	0	0	0	0.000282610615561247	0	0	0.00628808619623775	0	0	0	0	0	0	0	0	0	0.000441579086814448	0	0	0.00890223439017928
PFF_Jejunum_16	0	0	0.000236395442295873	0.00776953020345768	0.000378232707673396	0.248656485902952	0	0	0	0.000110317873071407	0.220320552219753	0.0173829448568232	0	0.000851023592265141	0.000299434226908105	0.000551589365357036	0.477518793437663	0.000220635746142814	0.000535829669203978	0.000457031188438687	0	0	0.00973949222258995	0	0.00324649740752998	0.001355333869163	0	0.000378232707673396	0	0.000141837265377524	0.000724946023040676	0	0	0	0.000126077569224465	0	0.000252155138448931	0	0.00874663136494728
PFF_Jejunum_17	0.000137050132938629	0.000548200531754516	0	0.000877120850807225	0	0.127127703313872	0.00274100265877258	0.000603020584929967	0.000191870186114081	0.000274100265877258	0.0102239399172217	0.00518049502508017	0.0043581942274484	0	0.205355919195242	0.451881698325247	0.16572102074939	0.00389222377545706	0.000931940903982677	0.000383740372228161	0.000465970451991338	0	0.00312474303100074	0	0.000904530877394951	0.00772962749773867	0.000849710824219499	0.000411150398815887	0.00156237151550037	0.00197352191431626	0	0	0	0	0.000383740372228161	0	0.000767480744456322	0	0.00139791135597402
PFF_Jejunum_18	0	0	0	0.000102117925780692	0	0.00488123685231706	0	0	0	0	0.00735249065620979	0.000285930192185936	0	0.000408471703122766	0.0472193288809918	0.0880869227784245	0.843882115066479	0.00561648591793803	0.00024508302187366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155219247186651	0.00036762453281049
PFF_Jejunum_19	0	0.00181120564333548	0	0.001644384070923	0	0.172612664140511	0.00426586592311909	0.00185886894973904	0.000428969757632087	0.000857939515264174	0.0330545029908725	0.00831724696742213	0.00345558971425848	0	0.00722099092014013	0.020280736874717	0.701580038607278	0.00252615523938896	0.00140606753890517	0.000929434474869522	0	0	0.00788827720979004	0	0.00448035080193513	0.00929434474869522	0.00171587903052835	0.0034317580610567	0.00326493648864422	0.000285979838421391	0.000381306451228522	0	0.000405138104430304	0.000333643144824957	0.00045280141083387	0	0.00309811491623174	0.000142989919210696	0.00257381854579252
PFF_Jejunum_1904	0	0.0178341370044539	0.000147237457209114	0.00316560532999595	0	0.343155298707991	0.00666249493871241	0	0	0	0.0417050097544815	0.0133617992417271	0.0120918761732985	0	0.00738027754260684	0	0.523797254021423	0.00270548827621747	0	0.000147237457209114	0	0	0.00193249162586962	0	0.0248831302683403	0.00049692641808076	0	0.000165642139360253	0	0	0	0.000202451503662532	0	0	0	0	0.000165642139360253	0	0
