feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz	-0.811487942930421	-1.31648604783454	-6.22136626856155	-8.73647766002873	-8.67328383354154	-6.57374815999063	-14.1326603771473
Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz	-0.522506070388636	-1.76664060207723	-6.92109708810679	-10.9210970881068	-9.7284520101644	-11.5589946156992	-14.1326603771473
Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz	-0.846660126305667	-1.21333854873904	-6.87676648302517	-13.4564827630503	-9.23431848764326	-8.6493559869221	-14.1326603771473
Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz	-0.331540253535647	-2.39087207781811	-7.45991372224776	-13.4564827630503	-9.04487622296892	-8.96241406277695	-7.62454442402056
Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz	-0.881655007878507	-1.21686680764445	-6.80899621352119	-10.8736491718634	-6.7861863306131	-7.42298776285388	-8.53261225402838
Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz	-0.932026217280021	-1.1747650550145	-6.53813110409714	-6.96918092136461	-6.83402133808297	-7.52860832997863	-14.1326603771473
Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz	-0.807510931253851	-1.31280495701218	-6.10167670047004	-8.11603199344711	-9.58996318177952	-7.23632622716482	-14.1326603771473
Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz	-1.2206389407422	-0.878058958396202	-6.38046583288662	-7.39965939811993	-7.81469689739877	-8.11955147892719	-10.2070143201775
Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz	-1.53060032018694	-0.732234181356591	-5.48479663057382	-5.27771863071404	-9.93796925873943	-8.49739666735345	-14.1326603771473
Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz	-1.37227780965003	-0.77081614813383	-7.77948486590422	-10.9087678828492	-5.7438609561735	-8.10141296079158	-11.9087678828492
Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz	-0.776516962156384	-1.33989025978153	-6.83851384449567	-11.6146178325688	-8.89215180809774	-6.73687358261983	-10.6146178325688
Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz	-0.586286681668538	-1.74433758282256	-5.4380357230846	-13.4564827630503	-8.72754234027958	-6.71424551766612	-10.8974673417219
Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz	-0.627964817004833	-1.5403691737071	-7.45578384162215	-13.4564827630503	-8.19274943578836	-11.5589946156992	-14.1326603771473
Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz	-0.323100055213476	-2.38606712609534	-7.19442218340332	-13.4564827630503	-9.07356778852894	-10.5589946156992	-14.1326603771473
