Mouse ID,Score_Severe,Cohort,SLC_Genotype,ASO_Tg,Sex,Score,Score_Truncated
339,1,One,HET,Negative,Male,0.5,0
338,1,One,HET,Negative,Male,0.5,0
327,1,One,HET,Negative,Female,0.5,0
336,1,One,MUT,Positive,Female,0.5,0
539,1,One,HET,Negative,Female,0.5,0
329,1,One,HET,Negative,Male,0.5,0
718,1,One,HET,Negative,Female,0.5,0
719,1,One,HET,Positive,Female,0.5,0
839,1,Two,HET,Negative,Female,0.5,0
856,1,Two,HET,Positive,Male,0.5,0
672,1,Two,HET,Negative,Male,0.5,0
876,1,Two,WT,Negative,Female,0.5,0
844,1,Two,WT,Negative,Female,0.5,0
45,1,Three,MUT,Negative,Female,0.5,0
43,1,Three,MUT,Positive,Male,0.5,0
42,1,Three,MUT,Negative,Male,0.5,0
892,1,Three,WT,Negative,Male,0.5,0
962,1,Three,WT,Positive,Female,0.5,0
667,2,One,MUT,Positive,Female,1.5,1
669,2,One,HET,Negative,Female,1.5,1
536,2,One,HET,Positive,Male,1.5,1
341,2,One,HET,Negative,Male,1.5,1
330,2,One,HET,Negative,Male,1.5,1
331,2,One,HET,Positive,Male,1.5,1
791,2,One,WT,Positive,Male,1.5,1
351,2,One,HET,Positive,Female,1.5,1
668,2,Two,WT,Positive,Female,1.5,1
853,2,Two,MUT,Positive,Male,1.5,1
666,2,Two,WT,Positive,Male,1.5,1
662,2,Two,MUT,Positive,Female,1.5,1
612,2,Two,MUT,Positive,Female,1.5,1
667_845,2,Two,MUT,Negative,Male,1.5,1
37,2,Three,HET,Negative,Male,1.5,1
40,2,Three,WT,Negative,Male,1.5,1
544,3,One,HET,Positive,Female,2.5,2
542,3,One,MUT,Positive,Female,2.5,2
663_835,3,Two,MUT,Positive,Female,2.5,2
337,0,One,HET,Positive,Male,0,0
326,1,One,HET,Positive,Female,1,1
320,0,One,HET,Negative,Female,0,0
328,0,One,HET,Negative,Female,0,0
665,1,One,MUT,Positive,Female,1,1
661,1,One,MUT,Positive,Male,1,1
340,1,One,HET,Positive,Male,1,1
582,1,One,HET,Positive,Male,1,1
577,0,One,HET,Positive,Female,0,0
663,1,One,WT,Positive,Male,1,1
333,1,One,HET,Negative,Male,1,1
335,1,One,HET,Negative,Male,1,1
334,1,One,HET,Positive,Male,1,1
545,1,One,HET,Negative,Male,1,1
537,1,One,WT,Negative,Male,1,1
332_666,3,One,MUT,Negative,Female,3,3
670,1,One,WT,Negative,Female,1,1
540,2,One,WT,Positive,Female,2,2
670_842,2,Two,HET,Positive,Female,2,2
669_843,1,Two,HET,Negative,Female,1,1
609,1,Two,HET,Negative,Male,1,1
665_857,1,Two,WT,Negative,Male,1,1
661_837,1,Two,MUT,Negative,Female,1,1
611,0,Two,MUT,Negative,Female,0,0
610,3,Two,MUT,Positive,Female,3,3
607,2,Two,HET,Negative,Female,2,2
606,0,Two,HET,Positive,Female,0,0
605,2,Two,HET,Negative,Female,2,2
673,2,Two,WT,Negative,Male,2,2
664,1,Two,WT,Positive,Female,1,1
889,0,Three,MUT,Negative,Female,0,0
963,1,Three,HET,Negative,Male,1,1
44,1,Three,HET,Positive,Male,1,1
894,1,Three,HET,Negative,Male,1,1
36,2,Three,HET,Negative,Male,2,2
39,1,Three,HET,Negative,Male,1,1
964,1,Three,MUT,Negative,Male,1,1
41,1,Three,WT,Positive,Male,1,1
35,1,Three,WT,Positive,Female,1,1
