"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz"
"1CMET2-PWY"	18655.6695882284	11055.5550026561	8451.79299782204	13493.6441708277	16869.2499600188	7875.88550090071	4447.4956563939	10081.0700999943	9902.24890902241	7272.65278006502	9725.28629812016	8239.15744732982	5395.36073016642	12449.9467923637	7134.61739391128	9072.20568876025	6844.45335991088	7856.21933294569	7847.33574436152	9605.05020350403	10377.2004147345	5529.20037071612	4527.03530217539	5106.69297277341	8183.77469392273	7722.91820733562	7977.38235857994	9945.90036931952	12996.718022154	8606.11296579117	8607.50633069927	13024.5931847096	5091.82126090057	7668.86776939033
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"	0	0	0	0	6.72623613109454	0	0	0	0	0	0	0	0	10.0305297362654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.1122271299084	0	0	0	0	0
"AEROBACTINSYN-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.29	0	0	0	0	0
"ALL-CHORISMATE-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	32.0291367672702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.527696313832	0	0	0	0	0
"ANAEROFRUCAT-PWY"	22347.4885465881	10065.0271269809	10112.7721659288	13454.4067885266	20625.5315920613	10042.8273264127	4819.01064846469	12153.2418733248	11727.5075319882	9392.15906648871	11214.0880781082	8493.17054936789	6066.68691635903	12865.9158982916	9078.2416508368	11417.0540811846	8291.70929788687	9093.46868169297	9930.63601453591	12277.8765422157	13713.2326070062	6613.51452278362	6083.00322091221	6430.27277774106	9719.9979535026	9179.26699340992	9017.54080104791	12565.3826286865	14315.0452241104	10427.8440196392	8918.95156062439	11454.8847750306	6020.93686621112	9413.95082733764
"ANAGLYCOLYSIS-PWY"	25019.0239391733	13838.190861014	11260.2347936043	17939.1280275249	22968.8742046652	10817.1410299572	5815.50866147543	13189.3506545824	12881.5147422637	10036.3652186511	13072.6199374873	10710.2278260335	7012.82875405927	16060.0853996023	10083.0862586779	12483.4044159621	9241.05038084043	10357.7505462504	10808.232066182	13290.0983667711	14666.1315023909	7522.83138802326	6951.99644756002	6865.65550499317	10779.2364242315	10081.5655366089	10366.830247516	13717.729955983	18232.8408894857	11419.1376054954	11256.7175094131	16905.0924757629	6877.33459102437	10257.9470905892
"ARG+POLYAMINE-SYN"	3165.50432422789	542.403657217531	936.569246159357	1962.0831024245	2785.69714176127	1146.24746820386	530.817689660746	1027.070851086	915.86844133206	925.430457502041	1167.88077085225	1133.74402390917	336.470864021616	552.807991638248	1242.46269797486	908.439320164743	391.849547972644	782.699700087825	862.816417125638	1087.04770160365	1883.10389439637	448.543527281339	233.993388527808	731.56498235484	984.000163503939	1011.47368495231	977.720679018858	1625.664094257	1487.99209012459	1391.27918587538	985.899980277073	2047.13347337731	753.431628759006	1101.03201411942
"ARGDEG-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	13.8488577487229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.6549269040709	0	0	0	0	0
"ARGORNPROST-PWY"	2928.86156639532	331.567087438077	776.858227692945	1662.88226331526	2095.63941753707	478.997968614758	309.321562790662	1042.97133188636	684.099493459621	590.565669691193	932.019883538625	716.62662049375	126.608569703343	231.722806015247	538.871522287842	551.011361081435	595.781354354397	636.886663104107	560.204292885548	724.307548975875	1602.79358334879	536.177774062843	160.268720131565	113.737789172424	751.579366683103	728.749998495085	734.989568212751	727.3182620311	226.391239036963	501.071618016389	912.315140211671	1469.04791089134	268.830701326878	1014.87014356403
"ARGSYN-PWY"	15436.7977633655	9714.89329820965	7216.05053324229	12575.3185872053	14757.7076367818	6168.03128417141	3716.92012801347	7703.3645883065	7654.1566930976	5603.01383349541	8622.5538517634	7354.18373530251	4926.2416774783	11435.7624382356	5463.06344294521	7054.9200446223	5570.47152570413	6775.16230376307	5993.92566266385	7887.94067870652	7949.38145596421	4813.5869854794	2371.13888179197	4224.41979798122	7033.65493942671	6345.16259938301	6952.09043088279	7057.56465598665	10674.6004245445	6894.37744385638	7904.35730694273	12463.3454735775	4431.39725660434	6485.68097949992
