#SampleID	MouseID	Site	Genotype	Sex	Cohort	Subset
Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz	331	CEC	HET	Male	One	Luminal_Colon
Julianne.331.JEJ_S219_L001_R1_001_F_filt.fastq.gz	331	JEJ	HET	Male	One	Jejunum
Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz	337	CEC	HET	Male	One	Luminal_Colon
Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz	337	COL	HET	Male	One	Luminal_Colon
Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz	351	CEC	HET	Female	One	Luminal_Colon
Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz	351	COL	HET	Female	One	Luminal_Colon
Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz	536	COL	HET	Male	One	Luminal_Colon
Julianne.536.JEJ_S211_L001_R1_001_F_filt.fastq.gz	536	JEJ	HET	Male	One	Jejunum
Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz	544	COL	HET	Female	One	Luminal_Colon
Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz	547	CEC	HET	Male	One	Luminal_Colon
Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz	547	COL	HET	Male	One	Luminal_Colon
Julianne.547.JEJ_S206_L001_R1_001_F_filt.fastq.gz	547	JEJ	HET	Male	One	Jejunum
Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz	579	CEC	HET	Male	One	Luminal_Colon
Julianne.579.JEJ_S207_L001_R1_001_F_filt.fastq.gz	579	JEJ	HET	Male	One	Jejunum
Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz	582	CEC	HET	Male	One	Luminal_Colon
Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz	582	COL	HET	Male	One	Luminal_Colon
Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz	604	CEC	HET	Female	One	Luminal_Colon
Julianne.604.JEJ_S208_L001_R1_001_F_filt.fastq.gz	604	JEJ	HET	Female	One	Jejunum
Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz	716	CEC	HET	Female	One	Luminal_Colon
Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz	716	COL	HET	Female	One	Luminal_Colon
Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz	719	CEC	HET	Female	One	Luminal_Colon
Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz	719	COL	HET	Female	One	Luminal_Colon
Julianne.719.JEJ_S218_L001_R1_001_F_filt.fastq.gz	719	JEJ	HET	Female	One	Jejunum
Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz	856	COL	HET	Male	Two	Luminal_Colon
Julianne.856.JEJ_S200_L001_R1_001_F_filt.fastq.gz	856	JEJ	HET	Male	Two	Jejunum
Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz	891	CEC	HET	Male	Three	Luminal_Colon
Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz	891	COL	HET	Male	Three	Luminal_Colon
Julianne.891.JEJ_S193_L001_R1_001_F_filt.fastq.gz	891	JEJ	HET	Male	Three	Jejunum
Rep1.Julianne.337.JEJ_S134_L001_R1_001_F_filt.fastq.gz	337	JEJ	HET	Male	One	Jejunum
Rep1.Julianne.351.JEJ_S150_L001_R1_001_F_filt.fastq.gz	351	JEJ	HET	Female	One	Jejunum
Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz	536	CEC	HET	Male	One	Luminal_Colon
Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz	544	CEC	HET	Female	One	Luminal_Colon
Rep1.Julianne.544.JEJ_S178_L001_R1_001_F_filt.fastq.gz	544	JEJ	HET	Female	One	Jejunum
Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz	579	COL	HET	Male	One	Luminal_Colon
Rep1.Julianne.582.JEJ_S142_L001_R1_001_F_filt.fastq.gz	582	JEJ	HET	Male	One	Jejunum
Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz	604	COL	HET	Female	One	Luminal_Colon
Rep1.Julianne.716.JEJ_S110_L001_R1_001_F_filt.fastq.gz	716	JEJ	HET	Female	One	Jejunum
Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz	842	COL	HET	Female	Two	Luminal_Colon
Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz	856	CEC	HET	Male	Two	Luminal_Colon
Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz	872	CEC	HET	Female	Two	Luminal_Colon
Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz	872	COL	HET	Female	Two	Luminal_Colon
Rep1.Julianne.872.JEJ_S101_L001_R1_001_F_filt.fastq.gz	872	JEJ	HET	Female	Two	Jejunum
Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz	842	CEC	HET	Female	Two	Luminal_Colon
Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz	542	CEC	MUT	Female	One	Luminal_Colon
Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz	542	COL	MUT	Female	One	Luminal_Colon
Julianne.542.JEJ_S205_L001_R1_001_F_filt.fastq.gz	542	JEJ	MUT	Female	One	Jejunum
Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz	661	COL	MUT	Male	One	Luminal_Colon
Julianne.661.JEJ_S212_L001_R1_001_F_filt.fastq.gz	661	JEJ	MUT	Male	One	Jejunum
Julianne.665.JEJ_S210_L001_R1_001_F_filt.fastq.gz	665	JEJ	MUT	Female	One	Jejunum
Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz	667	CEC	MUT	Female	One	Luminal_Colon
Julianne.667.JEJ_S209_L001_R1_001_F_filt.fastq.gz	667	JEJ	MUT	Female	One	Jejunum
