SampleID,reads.in,reads.out,MouseID,Site,SLC_Genotype,Sex,Exclude,Rotarod,Subset
Julianne_331_CEC_S246,63988,41510,331,Cecum,HET,Male,NO,YES,Luminal_Colon
Julianne_337_CEC_S242,27845,17752,337,Cecum,HET,Male,NO,YES,Luminal_Colon
Julianne_351_CEC_S244,31365,20204,351,Cecum,HET,Female,NO,YES,Luminal_Colon
Julianne_542_CEC_S232,34961,22681,542,Cecum,MUT,Female,NO,YES,Luminal_Colon
Julianne_547_CEC_S233,36318,23338,334,Cecum,HET,Male,NO,YES,Luminal_Colon
Julianne_579_CEC_S234,63522,40594,340,Cecum,HET,Male,NO,YES,Luminal_Colon
Julianne_582_CEC_S243,31503,20150,582,Cecum,HET,Male,NO,YES,Luminal_Colon
Julianne_604_CEC_S235,13966,8995,577,Cecum,HET,Female,NO,YES,Luminal_Colon
Julianne_663_CEC_S241,27519,17811,663,Cecum,WT,Male,NO,YES,Luminal_Colon
Julianne_667_CEC_S236,23753,15243,667,Cecum,MUT,Female,NO,YES,Luminal_Colon
Julianne_716_CEC_S231,41279,26279,326,Cecum,HET,Female,NO,YES,Luminal_Colon
Julianne_717_CEC_S230,32006,20762,336,Cecum,MUT,Female,NO,YES,Luminal_Colon
Julianne_719_CEC_S245,45237,29129,719,Cecum,HET,Female,NO,YES,Luminal_Colon
Julianne_791_CEC_S229,28709,18593,791,Cecum,WT,Male,NO,YES,Luminal_Colon
Julianne_838_CEC_S281,40391,26161,664,Cecum,WT,Female,NO,YES,Luminal_Colon
Julianne_841_CEC_S278,31602,20481,662,Cecum,MUT,Female,NO,YES,Luminal_Colon
Julianne_847_CEC_S279,43633,28193,668,Cecum,WT,Female,YES,YES,Luminal_Colon
Julianne_853_CEC_S280,40937,26579,853,Cecum,MUT,Male,NO,YES,Luminal_Colon
Julianne_891_CEC_S220,35480,22757,44,Cecum,HET,Male,NO,YES,Luminal_Colon
Julianne_899_CEC_S221,43583,28457,43,Cecum,MUT,Male,NO,YES,Luminal_Colon
Julianne_923_CEC_S223,34359,22254,35,Cecum,WT,Female,NO,YES,Luminal_Colon
Julianne_924_CEC_S224,31649,20397,41,Cecum,WT,Male,NO,YES,Luminal_Colon
Julianne_962_CEC_S222,42693,27718,962,Cecum,WT,Female,NO,YES,Luminal_Colon
Julianne_337_COL_S269,37388,24225,337,Colon,HET,Male,NO,YES,Luminal_Colon
Julianne_351_COL_S271,22989,14899,351,Colon,HET,Female,NO,YES,Luminal_Colon
Julianne_536_COL_S265,41761,27030,536,Colon,HET,Male,NO,YES,Luminal_Colon
Julianne_540_COL_S267,40961,26372,540,Colon,WT,Female,NO,YES,Luminal_Colon
Julianne_542_COL_S259,22998,14859,542,Colon,MUT,Female,NO,YES,Luminal_Colon
Julianne_544_COL_S255,31759,20497,544,Colon,HET,Female,NO,YES,Luminal_Colon
Julianne_547_COL_S260,32628,21166,334,Colon,HET,Male,NO,YES,Luminal_Colon
Julianne_582_COL_S270,50323,31789,582,Colon,HET,Male,NO,YES,Luminal_Colon
Julianne_661_COL_S266,34678,22241,661,Colon,MUT,Male,NO,YES,Luminal_Colon
Julianne_663_COL_S268,34691,22432,663,Colon,WT,Male,NO,YES,Luminal_Colon
Julianne_716_COL_S258,35953,23283,326,Colon,HET,Female,NO,YES,Luminal_Colon
Julianne_717_COL_S257,28645,18674,336,Colon,MUT,Female,NO,YES,Luminal_Colon
Julianne_719_COL_S272,28145,18301,719,Colon,HET,Female,NO,YES,Luminal_Colon
Julianne_791_COL_S256,46046,29616,791,Colon,WT,Male,NO,YES,Luminal_Colon
Julianne_841_COL_S282,35744,23317,662,Colon,MUT,Female,NO,YES,Luminal_Colon
Julianne_847_COL_S283,40160,25885,668,Colon,WT,Female,YES,YES,Luminal_Colon
Julianne_853_COL_S284,34537,22169,853,Colon,MUT,Male,NO,YES,Luminal_Colon
Julianne_856_COL_S254,28847,18659,856,Colon,HET,Male,NO,YES,Luminal_Colon
Julianne_882_COL_S253,31229,20306,612,Colon,MUT,Female,NO,YES,Luminal_Colon
Julianne_891_COL_S247,28861,18650,44,Colon,HET,Male,NO,YES,Luminal_Colon
Julianne_899_COL_S248,30792,20040,43,Colon,MUT,Male,NO,YES,Luminal_Colon
Julianne_331_JEJ_S219,51647,32929,331,Jejunum,HET,Male,NO,YES,Jejunum
Julianne_351_JEJ_S217,40443,25613,351,Jejunum,HET,Female,NO,YES,Jejunum
Julianne_536_JEJ_S211,36261,23011,536,Jejunum,HET,Male,NO,YES,Jejunum
Julianne_542_JEJ_S205,39771,25811,542,Jejunum,MUT,Female,NO,YES,Jejunum
Julianne_547_JEJ_S206,35903,23307,334,Jejunum,HET,Male,NO,YES,Jejunum
Julianne_579_JEJ_S207,34947,22646,340,Jejunum,HET,Male,NO,YES,Jejunum
Julianne_604_JEJ_S208,40522,26160,577,Jejunum,HET,Female,NO,YES,Jejunum
Julianne_661_JEJ_S212,46238,30096,661,Jejunum,MUT,Male,NO,YES,Jejunum
Julianne_665_JEJ_S210,45451,29083,665,Jejunum,MUT,Female,NO,YES,Jejunum
Julianne_667_JEJ_S209,42401,27589,667,Jejunum,MUT,Female,NO,YES,Jejunum
Julianne_719_JEJ_S218,21498,13816,719,Jejunum,HET,Female,NO,YES,Jejunum
Julianne_835_JEJ_S198,27920,17919,663_835,Jejunum,MUT,Female,NO,YES,Jejunum
Julianne_838_JEJ_S277,25689,16643,664,Jejunum,WT,Female,NO,YES,Jejunum
Julianne_856_JEJ_S200,50270,32560,856,Jejunum,HET,Male,NO,YES,Jejunum
Julianne_882_JEJ_S199,45412,29610,612,Jejunum,MUT,Female,NO,YES,Jejunum
Julianne_891_JEJ_S193,57865,36986,44,Jejunum,HET,Male,NO,YES,Jejunum
Julianne_899_JEJ_S194,91720,59267,43,Jejunum,MUT,Male,NO,YES,Jejunum
Julianne_923_JEJ_S196,34373,22071,35,Jejunum,WT,Female,NO,YES,Jejunum
Julianne_924_JEJ_S197,37759,24513,41,Jejunum,WT,Male,NO,YES,Jejunum
Julianne_962_JEJ_S195,66044,42845,962,Jejunum,WT,Female,NO,YES,Jejunum
